create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.assume_sorted,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.is_bisulfite_sequenced,parameters.minimum_genome_fraction,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.validation_stringency,parameters.window_size,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-03-11 11:23:07.429876,slurm_normal_16gb,1457696745.0,0,1.0,main_w2_handler1,2629649,12105298,False,,6896943,bam,6329384.roundup,slurm,,132112168.0,corral-repl,,"""9d1fbc78e77b11e59b95005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23795027,,,"""True""","""5e-05""",1,23788061,,history,"""LENIENT""","""100""",32.0,5393.0,fasta,,27519316,1457696739.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.136.0,1.136.0,,2016-03-11 11:45:47.770306,9209,6.0
2016-03-11 11:23:54.078541,slurm_normal_16gb,1457696913.0,0,1.0,main_w2_handler1,2629651,12105316,False,,6726417,bam,6329402.roundup,slurm,,132112168.0,corral-repl,,"""b938e7f4e77b11e5bc5c005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23795049,,,"""True""","""5e-05""",1,23788092,,history,"""LENIENT""","""100""",32.0,5393.0,fasta,,27519316,1457696908.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.136.0,1.136.0,,2016-03-11 11:48:35.564725,9209,5.0
2016-03-12 12:10:36.164861,slurm_normal_16gb,1457784995.0,0,1.0,main_w2_handler0,2631097,12113438,False,,6432260,bam,6336932.roundup,slurm,,132112168.0,corral-repl,,"""6947db12e84b11e586a3005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23807781,,,"""True""","""5e-05""",1,23806219,,history,"""LENIENT""","""100""",32.0,5393.0,fasta,,27519316,1457784986.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.136.0,1.136.0,,2016-03-12 12:16:37.946125,9209,9.0
2016-03-12 12:11:42.752557,slurm_normal_16gb,1457785139.0,0,1.0,main_w2_handler0,2631095,12113459,False,,6988503,bam,6336945.roundup,slurm,,132112168.0,corral-repl,,"""9247458ee84b11e5b2df005056a52a46""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23807806,,,"""True""","""5e-05""",1,23806209,,history,"""LENIENT""","""100""",32.0,5393.0,fasta,,27519316,1457785131.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.136.0,1.136.0,,2016-03-12 12:19:01.872034,9209,8.0
2016-03-12 12:29:44.785887,slurm_normal_16gb,1457785852.0,0,1.0,main_w2_handler0,2631095,12113521,False,,124,bam,6336989.roundup,slurm,,132112168.0,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23807868,,,"""True""","""5e-05""",1,23806209,,history,"""LENIENT""","""100""",32.0,5393.0,fasta,,27519316,1457785847.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.136.0,1.136.0,,2016-03-12 12:30:56.100210,9209,5.0
2016-03-12 12:28:52.643083,slurm_normal_16gb,1457785861.0,0,1.0,main_w2_handler1,2631095,12113517,False,,70710382,bam,6336988.roundup,slurm,,132112168.0,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23807862,,,"""True""","""5e-05""",1,23806209,,history,"""LENIENT""","""100""",32.0,5393.0,fasta,,27519316,1457785844.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.136.0,1.136.0,,2016-03-12 12:31:07.034245,9209,17.0
2016-03-12 12:35:05.273991,slurm_normal_16gb,1457786132.0,0,1.0,main_w2_handler0,2631095,12113546,False,,335868,bam,6337012.roundup,slurm,,132112168.0,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23807932,,,"""True""","""5e-05""",1,23806209,,history,"""LENIENT""","""100""",32.0,5393.0,fasta,,27519316,1457786128.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.136.0,1.136.0,,2016-03-12 12:35:37.461095,9209,4.0
2016-03-12 12:37:01.484734,slurm_normal_16gb,1457786248.0,0,1.0,main_w1_handler1,2631095,12113554,False,,1552249,sam,6337018.roundup,slurm,,132112168.0,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23807945,,,"""True""","""5e-05""",1,23806209,,history,"""LENIENT""","""100""",32.0,5393.0,fasta,,27519316,1457786242.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.136.0,1.136.0,,2016-03-12 12:37:30.877933,9209,6.0
2016-03-14 09:03:00.759253,slurm_normal_16gb,1457946744.0,0,1.0,main_w1_handler0,2625703,12125537,False,,8975237074,bam,6346122.roundup,slurm,,132112168.0,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23817072,,,"""True""","""5e-05""",1,23738553,,history,"""LENIENT""","""100""",32.0,3199905909.0,fasta,,28973133,1457946206.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.136.0,1.136.0,,2016-03-14 09:12:26.933111,59391,538.0
2016-02-18 11:53:23.023535,slurm_normal_16gb,1455796488.0,0,1.0,main_w2_handler0,2573293,11866681,False,,566082174,bam,6107514.roundup,slurm,,132112168.0,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",22990410,,,"""True""","""5e-05""",1,23370188,,history,"""LENIENT""","""100""",32.0,12361109.0,fasta,,28469181,1455796434.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/1.136.0,1.136.0,,2016-02-18 11:54:54.197902,10211,54.0
