chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.analysis_type,parameters.chromInfo,parameters.dbkey,parameters.vcf_input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,vcf_input,vcf_input_filetype,runtime
,,2018-02-08 10:54:03.590671,slurm_normal,1518087273.0,0,7680.0,1.0,main_w4_handler0,2923102,18310613,False,,12393553,slurm,,132112168.0,corral-repl,,"""count""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33745343}]",32.0,,43204573,1518087264.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/1.0.0_rc1.0,1.0.0_rc1.0,,2018-02-08 10:54:35.736831,80775.0,28886609,vcf,9.0
,,2017-10-28 21:03:41.111853,slurm_normal,1509224637.0,0,,1.0,main_w4_handler1,3126828,17251364,False,,11311452,slurm,,132112168.0,corral-repl,,"""count""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31939276}]",32.0,,41440524,1509224630.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-28 21:03:58.513551,47785.0,77613,vcf,7.0
,,2017-10-28 21:56:57.816468,slurm_normal,1509227836.0,0,,1.0,main_w3_handler1,3126828,17251588,False,,11311714,slurm,,132112168.0,corral-repl,,"""ratio""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31939278}]",32.0,,41440524,1509227832.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-28 21:57:19.373156,47785.0,504669,vcf,4.0
,,2017-10-28 21:56:58.044475,slurm_normal,1509227835.0,0,,1.0,main_w4_handler0,3126828,17251589,False,,11311713,slurm,,132112168.0,corral-repl,,"""ratio""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31939279}]",32.0,,41440524,1509227829.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-28 21:57:17.567394,47785.0,376210,vcf,6.0
,,2017-10-28 21:56:57.586556,slurm_normal,1509227833.0,0,,1.0,main_w3_handler1,3126828,17251587,False,,11311711,slurm,,132112168.0,corral-repl,,"""ratio""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31939277}]",32.0,,41440524,1509227826.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-28 21:57:15.254822,47785.0,76664,vcf,7.0
,,2017-10-28 21:56:58.486530,slurm_normal,1509227847.0,0,,1.0,main_w3_handler1,3126828,17251591,False,,11311716,slurm,,132112168.0,corral-repl,,"""ratio""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31939281}]",32.0,,41440524,1509227842.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-28 21:57:28.618603,47785.0,387926,vcf,5.0
,,2017-10-28 22:05:02.305270,slurm_normal,1509228315.0,0,,1.0,main_w4_handler0,3286705,17251645,False,,11311761,slurm,,132112168.0,corral-repl,,"""ratio""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31938722}]",32.0,,41440524,1509228311.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-28 22:05:19.756552,47785.0,923602,vcf,4.0
,,2017-10-28 22:05:02.607077,slurm_normal,1509228329.0,0,,1.0,main_w4_handler0,3286705,17251647,False,,11311766,slurm,,132112168.0,corral-repl,,"""ratio""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31938885}]",32.0,,41440524,1509228325.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-28 22:05:31.480036,47785.0,911744,vcf,4.0
,,2017-10-28 21:03:42.809441,slurm_normal,1509224641.0,0,,1.0,main_w4_handler1,3126828,17251369,False,,11311455,slurm,,132112168.0,corral-repl,,"""count""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31939281}]",32.0,,41440524,1509224636.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-28 21:04:02.636475,47785.0,387926,vcf,5.0
,,2017-10-28 21:09:31.331520,slurm_normal,1509224986.0,0,,1.0,main_w4_handler0,3286705,17251393,False,,11311483,slurm,,132112168.0,corral-repl,,"""count""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31938720}]",32.0,,41440524,1509224982.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-28 21:09:47.543184,47785.0,316999,vcf,4.0
,,2017-10-28 21:09:32.355510,slurm_normal,1509224985.0,0,,1.0,main_w3_handler1,3286705,17251396,False,,11311482,slurm,,132112168.0,corral-repl,,"""count""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31938723}]",32.0,,41440524,1509224979.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-28 21:09:47.673965,47785.0,1042575,vcf,6.0
,,2017-10-28 21:03:41.582207,slurm_normal,1509224653.0,0,,1.0,main_w3_handler0,3126828,17251365,False,,11311457,slurm,,132112168.0,corral-repl,,"""count""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31939277}]",32.0,,41440524,1509224647.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-28 21:04:22.543290,47785.0,76664,vcf,6.0
,,2017-10-28 21:09:31.702537,slurm_normal,1509225004.0,0,,1.0,main_w3_handler0,3286705,17251394,False,,11311487,slurm,,132112168.0,corral-repl,,"""count""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31938721}]",32.0,,41440524,1509224998.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-28 21:10:12.454583,47785.0,954224,vcf,6.0
,,2017-10-28 21:03:41.792527,slurm_normal,1509224665.0,0,,1.0,main_w3_handler0,3126828,17251366,False,,11311458,slurm,,132112168.0,corral-repl,,"""count""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31939278}]",32.0,,41440524,1509224659.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-28 21:04:34.946392,47785.0,504669,vcf,6.0
,,2017-10-28 21:09:32.688836,slurm_normal,1509225005.0,0,,1.0,main_w3_handler0,3286705,17251397,False,,11311488,slurm,,132112168.0,corral-repl,,"""count""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31938885}]",32.0,,41440524,1509225001.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-28 21:10:13.737072,47785.0,911744,vcf,4.0
