create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.align,parameters.best,parameters.chromInfo,parameters.dbkey,parameters.gappenalty,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.intronpenalty,parameters.match,parameters.minscore,parameters.mismatch,parameters.mode,parameters.reverse,parameters.seed,parameters.shuffle,parameters.splice,parameters.splicepenalty,parameters.width,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-03-05 06:57:55.532732,slurm_normal,1520233092.0,0.0,7680.0,1.0,main_w4_handler1,3428032,18606270,False,,83919,fasta,83919,fasta,12701566,slurm,,132112168.0,corral-repl,,"""no""","""yes""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/dm3.len""","""dm3""","""2""",,"[{'src': 'hda', 'id': 33935277}]",,"[{'src': 'hda', 'id': 33935277}]","""40""","""1""","""30""","""1""","""both""","""no""","""20825""","""0""","""yes""","""20""","""50""",32.0,,44334043,1520233085.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: est2genome32/5.0.0,5.0.0,,2018-03-05 06:58:14.388452,105169.0,7.0
2015-06-25 05:29:23.912121,slurm_normal,1435210708.0,0.0,,1.0,main_w2_handler0,2354951,9729090,False,,8324347,fasta,8137464,fasta,4035719,slurm,,132112168.0,corral-repl,,"""yes""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",20125807,,20125808,,"""20""","""1""","""10""","""3""","""both""","""no""","""20825""","""0""","""yes""","""10""","""50""",32.0,,23817787,1435210210.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: est2genome32/5.0.0,5.0.0,,2015-06-25 05:38:30.224499,62137.0,498.0
2015-05-29 08:22:30.902671,slurm_normal,1432888202.0,0.0,,1.0,main_w2_handler0,2280779,9560820,False,,8324347,fasta,8137464,fasta,3874400.roundup,slurm,,132112168.0,corral-repl,,"""no""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",19851689,,19447847,,"""40""","""1""","""30""","""1""","""both""","""no""","""20825""","""0""","""yes""","""20""","""50""",32.0,,22688283,1432887766.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: est2genome32/5.0.0,5.0.0,,2015-05-29 08:30:05.397755,,436.0
2015-05-29 08:36:05.137774,slurm_normal,1432888941.0,0.0,,1.0,main_w2_handler1,2323451,9560851,False,,8324347,fasta,8137464,fastqsanger,3874425.roundup,slurm,,132112168.0,corral-repl,,"""no""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",19852287,,19852288,,"""40""","""1""","""30""","""1""","""both""","""no""","""20825""","""0""","""yes""","""20""","""50""",32.0,,23330741,1432888576.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: est2genome32/5.0.0,5.0.0,,2015-05-29 08:42:24.363571,62137.0,365.0
2015-05-29 08:46:04.532562,slurm_normal,1432889530.0,0.0,,1.0,main_w1_handler1,2323451,9560875,False,,8324347,fasta,8137464,fastqsanger,3874448.roundup,slurm,,132112168.0,corral-repl,,"""yes""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",19852287,,19852288,,"""40""","""1""","""30""","""1""","""both""","""no""","""20825""","""0""","""yes""","""20""","""50""",32.0,,23330741,1432889176.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: est2genome32/5.0.0,5.0.0,,2015-05-29 08:52:13.281266,62137.0,354.0
2015-06-05 09:36:19.272866,slurm_normal,1433497422.0,0.0,,1.0,main_w2_handler1,2323451,9603016,False,,8324347,fasta,8137464,fastqsanger,3914641.roundup,slurm,,132112168.0,corral-repl,,"""no""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",19852287,,19852288,,"""40""","""1""","""100""","""1""","""both""","""no""","""20825""","""0""","""yes""","""20""","""50""",32.0,,23330741,1433496998.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: est2genome32/5.0.0,5.0.0,,2015-06-05 09:43:44.523363,62137.0,424.0
2015-06-05 09:10:26.658197,slurm_normal,1433495817.0,0.0,,1.0,main_w1_handler0,2323451,9602926,False,,8324347,fasta,8137464,fastqsanger,3914556.roundup,slurm,,132112168.0,corral-repl,,"""yes""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",19852287,,19852288,,"""40""","""1""","""30""","""1""","""both""","""yes""","""20825""","""0""","""yes""","""20""","""50""",32.0,,23330741,1433495463.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: est2genome32/5.0.0,5.0.0,,2015-06-05 09:17:01.869603,62137.0,354.0
2015-06-05 09:27:51.851753,slurm_normal,1433496868.0,0.0,,1.0,main_w1_handler0,2323451,9602996,False,,8324347,fasta,8137464,fastqsanger,3914606.roundup,slurm,,132112168.0,corral-repl,,"""no""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",19852287,,19852288,,"""40""","""1""","""10""","""1""","""both""","""no""","""20825""","""0""","""yes""","""20""","""50""",32.0,,23330741,1433496493.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: est2genome32/5.0.0,5.0.0,,2015-06-05 09:34:31.153724,62137.0,375.0
2015-06-17 08:04:54.839545,slurm_normal,1434528653.0,0.0,,1.0,main_w1_handler2,2323451,9671359,False,,8324347,fasta,8137464,fasta,3981111.roundup,slurm,,132112168.0,corral-repl,,"""yes""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",19852287,,20006012,,"""20""","""1""","""10""","""3""","""both""","""no""","""20825""","""0""","""yes""","""10""","""50""",32.0,,23330741,1434528326.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: est2genome32/5.0.0,5.0.0,,2015-06-17 08:10:56.030495,62137.0,327.0
2015-09-23 15:56:20.701651,slurm_normal,1443023822.0,0.0,,1.0,main_w1_handler2,2448765,10395031,False,,7718,fasta,13271,fasta,4675366.roundup,slurm,,132112168.0,corral-repl,,"""no""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",21226866,,21226865,,"""40""","""1""","""30""","""1""","""both""","""no""","""20825""","""0""","""yes""","""20""","""50""",32.0,,25340038,1443023810.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: est2genome32/5.0.0,5.0.0,,2015-09-23 15:57:05.359260,,12.0
