create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.aligned_reads_only,parameters.assume_sorted,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.pf_reads_only,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.validation_stringency,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-04-28 09:50:18.554480,slurm_normal_16gb,1461837062.0,0,1.0,main_w1_handler1,2678620,12665252,False,,13559564,bam,6867172.roundup,slurm,,132112168.0,corral-repl,,"""true""","""true""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59d10d23902318550'}]","""true""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b557536284695494c2'}]",history,"""LENIENT""",32.0,482.0,fasta,,29729529,1461837048.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.136.0,1.136.0,,2016-04-28 09:51:05.984056,83088,14.0
2016-03-14 20:08:30.742695,slurm_normal_16gb,1457986160.0,0,1.0,main_w1_handler2,2632737,12130861,False,,146444,bam,6350301.roundup,slurm,,132112168.0,corral-repl,,"""True""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23833965,,"""True""",1,23826470,,history,"""LENIENT""",32.0,210224.0,fasta,,28974815,1457986135.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.136.0,1.136.0,,2016-03-14 20:09:21.753228,63092,25.0
2016-03-04 10:01:09.645036,slurm_normal_16gb,1457085717.0,0,1.0,main_w1_handler1,2596243,12018088,False,,43851105,sam,6247585.roundup,slurm,,132112168.0,corral-repl,,"""True""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23666018,,"""True""",1,23353772,,history,"""LENIENT""",32.0,60311570.0,fasta,,28288145,1457085700.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.136.0,1.136.0,,2016-03-04 10:02:00.551186,78441,17.0
2016-03-18 09:36:49.613175,slurm_normal_16gb,1458294111.0,0,1.0,main_w1_handler1,2427090,12176161,False,,2790876601,bam,6392842.roundup,slurm,,132112168.0,corral-repl,,"""True""","""True""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",23885986,,"""True""",0,hg38,,cached,"""LENIENT""",32.0,,,,28029926,1458293848.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.136.0,1.136.0,,2016-03-18 09:41:53.799603,64160,263.0
2016-06-05 15:49:04.527707,slurm_normal_16gb,1465142311.0,0,1.0,main_w2_handler1,2728339,13074043,False,,1293715547,bam,7259458.roundup,slurm,,132112168.0,corral-repl,,"""true""","""true""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5999d79fbf2d19311'}]","""true""",0,hg19,,cached,"""LENIENT""",32.0,,,,30647430,1465142221.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.136.0,1.136.0,,2016-06-05 15:58:33.444345,65917,90.0
2017-01-12 05:48:31.204164,slurm_normal,1484200121.0,0,1.0,main_w4_handler1,2236425,14746210,False,,10049,bam,8910670.roundup,slurm,,132111800.0,corral-repl,,"""true""","""true""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 18847805}]","""true""",0,Araly1,,cached,"""LENIENT""",32.0,,,,35338323,1484200115.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.136.0,1.136.0,,2017-01-12 05:48:44.084423,36191,6.0
2017-01-16 08:18:46.685360,slurm_normal,1484554850.0,0,1.0,main_w4_handler0,2952876,14775373,False,,1823507282,bam,8937795.roundup,slurm,,132112168.0,corral-repl,,"""true""","""true""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 27893825}]","""true""",0,Arabidopsis_thaliana_TAIR10,,cached,"""LENIENT""",32.0,,,,35318487,1484554730.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.136.0,1.136.0,,2017-01-16 08:20:52.435124,66482,120.0
2017-03-31 07:37:57.064317,slurm_normal,1490945902.0,0,1.0,main_w3_handler1,3048905,15442670,False,,435210131,bam,9574072.roundup,slurm,,132112168.0,corral-repl,,"""true""","""true""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28988212}]","""true""",1,,"[{'src': 'hda', 'id': 28988742}]",history,"""LENIENT""",32.0,49251.0,fasta,,36924385,1490945880.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.136.0,1.136.0,,2017-03-31 07:38:23.956834,103036,22.0
2017-03-03 15:03:38.833486,slurm_normal,1488553535.0,0,1.0,main_w3_handler0,3009207,15200655,False,,1515822445,bam,9350882.roundup,slurm,,132112168.0,corral-repl,,"""true""","""true""","""/galaxy-repl/localdata/chrom/oryza_sativa_japonica_nipponbare_IRGSP4.0.len""","""oryza_sativa_japonica_nipponbare_IRGSP4.0""",,"[{'src': 'hda', 'id': 28604022}]","""true""",0,oryza_sativa_japonica_nipponbare_IRGSP4.0,,cached,"""LENIENT""",32.0,,,,36410322,1488553424.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.136.0,1.136.0,,2017-03-03 15:05:38.478863,98123,111.0
2017-07-05 07:03:32.247247,slurm_normal,1499238255.0,0,1.0,main_w3_handler0,3167912,16259676,False,,1010503503,bam,10331364.roundup,slurm,,132112168.0,corral-repl,,"""true""","""true""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30140903}]","""true""",0,Araly1,,cached,"""LENIENT""",32.0,,,,39102726,1499238222.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectBaseDistributionByCycle/1.136.0,1.136.0,,2017-07-05 07:04:18.087221,104224,33.0
