create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,otu,otu_filetype,param_filename,parameters.__workflow_invocation_uuid__,parameters.abund,parameters.calc,parameters.chromInfo,parameters.dbkey,parameters.freq,parameters.iters,parameters.label,parameters.otu.values,parameters.otu|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-01-12 16:55:42.226387,slurm_normal,1515776154.0,0,,1.0,main_w4_handler1,3287353,18018722,False,,12096019,slurm,,132112168.0,corral-repl,16268,mothur.shared,,,"""10""","[""sobs""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""100.0""","""1000""",,"[{'src': 'hda', 'id': 33288209}]",,32.0,,43135597.0,1515776146.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_rarefaction_single/mothur_rarefaction_single/1.36.1.0,1.36.1.0,,2018-01-12 16:55:57.324288,113659.0,8.0
2018-01-12 17:12:32.947262,slurm_normal,1515777161.0,0,,1.0,main_w3_handler1,3390534,18019000,False,,12096311,slurm,,132112168.0,corral-repl,340,mothur.shared,,,"""10""","[""sobs""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""100.0""","""1000""",,"[{'src': 'hda', 'id': 33288848}]",,32.0,,43165624.0,1515777156.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_rarefaction_single/mothur_rarefaction_single/1.36.1.0,1.36.1.0,,2018-01-12 17:12:46.172381,119655.0,5.0
2018-01-12 17:28:11.731857,slurm_normal,1515778108.0,0,,1.0,main_w3_handler1,3390534,18019130,False,,12096491,slurm,,132112168.0,corral-repl,20847,mothur.shared,,,"""10""","[""sobs""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""100.0""","""1000""",,"[{'src': 'hda', 'id': 33289388}]",,32.0,,43165624.0,1515778097.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_rarefaction_single/mothur_rarefaction_single/1.36.1.0,1.36.1.0,,2018-01-12 17:28:31.395971,119655.0,11.0
2018-01-12 17:49:22.604367,slurm_normal,1515779379.0,0,,1.0,main_w3_handler0,3390534,18019351,False,,12096739,slurm,,132112168.0,corral-repl,20847,mothur.shared,,,"""10""","[""sobs""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""100.0""","""1000""",,"[{'src': 'hda', 'id': 33289388}]",,32.0,,43165624.0,1515779368.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_rarefaction_single/mothur_rarefaction_single/1.36.1.0,1.36.1.0,,2018-01-12 17:49:43.121930,119655.0,11.0
2018-01-12 21:47:59.741661,slurm_normal,1515793697.0,0,,1.0,main_w4_handler0,3390748,18022714,False,,12099922,slurm,,132112168.0,corral-repl,205263,mothur.shared,,,"""10""","[""sobs""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""100.0""","""1000""",,"[{'src': 'hda', 'id': 33294877}]",,32.0,,43135597.0,1515793683.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_rarefaction_single/mothur_rarefaction_single/1.36.1.0,1.36.1.0,,2018-01-12 21:48:21.544558,113659.0,14.0
2017-11-27 20:01:12.291178,slurm_normal,1511812915.0,0,,1.0,main_w3_handler0,3329496,17609200,False,,11669169,slurm,,132112168.0,corral-repl,22071,mothur.shared,,,"""10""","[""sobs""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""100.0""","""1000""",,"[{'src': 'hda', 'id': 32569703}]",,32.0,,42074081.0,1511812901.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_rarefaction_single/mothur_rarefaction_single/1.36.1.0,1.36.1.0,,2017-11-27 20:01:59.706528,116551.0,14.0
2017-11-28 03:24:47.979359,slurm_normal,1511839497.0,0,,1.0,main_w4_handler0,3307154,17613336,False,,11674090,slurm,,132112168.0,corral-repl,354,mothur.shared,,,"""10""","[""sobs""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""100.0""","""1000""",,"[{'src': 'hda', 'id': 32575656}]",,32.0,,42295298.0,1511839492.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_rarefaction_single/mothur_rarefaction_single/1.36.1.0,1.36.1.0,,2017-11-28 03:24:59.619729,114886.0,5.0
2017-11-28 07:31:07.729954,slurm_normal,1511854284.0,0,,1.0,main_w3_handler1,3307154,17614381,False,,11675275,slurm,,132112168.0,corral-repl,21206,mothur.shared,,,"""10""","[""sobs""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""100.0""","""1000""",,"[{'src': 'hda', 'id': 32577045}]",,32.0,,42297227.0,1511854272.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_rarefaction_single/mothur_rarefaction_single/1.36.1.0,1.36.1.0,,2017-11-28 07:31:27.334616,114886.0,12.0
2017-11-28 07:46:44.388440,slurm_normal,1511855216.0,0,,1.0,main_w4_handler0,3307154,17614486,False,,11675366,slurm,,132112168.0,corral-repl,16025,mothur.shared,,,"""10""","[""sobs""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""100.0""","""1000""",,"[{'src': 'hda', 'id': 32577442}]","""0.03""",32.0,,42297227.0,1511855209.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_rarefaction_single/mothur_rarefaction_single/1.36.1.0,1.36.1.0,,2017-11-28 07:46:58.127724,114886.0,7.0
2017-11-28 08:11:46.078708,slurm_normal,1511856721.0,0,,1.0,main_w4_handler1,3307154,17614776,False,,11675624,slurm,,132112168.0,corral-repl,21206,mothur.shared,,,"""10""","[""sobs""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""100.0""","""1000""",,"[{'src': 'hda', 'id': 32577045}]",,32.0,,42297227.0,1511856709.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_rarefaction_single/mothur_rarefaction_single/1.36.1.0,1.36.1.0,,2017-11-28 08:12:03.238934,114886.0,12.0
