chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
97363.0,len,2015-05-20 01:35:36.106771,slurm_normal,1432085845.0,0,1.0,main_w2_handler0,2298193,9500399,False,,3704161,vcf,3821978.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/011/283/dataset_11283542.dat""","""?""",19657959,,32.0,,23018374.0,1432085815.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfsort/vcfsort/0.0.1,0.0.1,,2015-05-20 01:38:04.081068,60434.0,30.0
97363.0,len,2015-05-20 01:56:39.987479,slurm_normal,1432087088.0,0,1.0,main_w2_handler1,2298193,9500504,False,,5134702,vcf,3822081.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/011/283/dataset_11283542.dat""","""?""",19760465,,32.0,,23018374.0,1432087080.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfsort/vcfsort/0.0.1,0.0.1,,2015-05-20 01:58:13.252396,60434.0,8.0
97363.0,len,2015-05-20 02:55:01.546782,slurm_normal,1432090524.0,0,1.0,main_w1_handler0,2298193,9500687,False,,6047900,vcf,3822250.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/011/283/dataset_11283542.dat""","""?""",19760728,,32.0,,23018374.0,1432090518.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfsort/vcfsort/0.0.1,0.0.1,,2015-05-20 02:55:25.959293,60434.0,6.0
97363.0,len,2015-05-20 03:07:42.252188,slurm_normal,1432091293.0,0,1.0,main_w1_handler0,2298193,9500717,False,,5316838,vcf,3822284.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/011/283/dataset_11283542.dat""","""?""",19760795,,32.0,,23018374.0,1432091285.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfsort/vcfsort/0.0.1,0.0.1,,2015-05-20 03:08:16.005443,60434.0,8.0
97363.0,len,2015-05-20 03:07:31.713896,slurm_normal,1432091302.0,0,1.0,main_w2_handler1,2298193,9500716,False,,5176082,vcf,3822283.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/011/283/dataset_11283542.dat""","""?""",19760787,,32.0,,23018374.0,1432091291.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfsort/vcfsort/0.0.1,0.0.1,,2015-05-20 03:08:25.073938,60434.0,11.0
97363.0,len,2015-05-20 02:55:16.865384,slurm_normal,1432090556.0,0,1.0,main_w2_handler1,2298193,9500689,False,,5099281,vcf,3822252.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/011/283/dataset_11283542.dat""","""?""",19760740,,32.0,,23018374.0,1432090551.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfsort/vcfsort/0.0.1,0.0.1,,2015-05-20 02:55:59.082066,60434.0,5.0
97363.0,len,2015-05-20 04:37:05.976079,slurm_normal,1432096653.0,0,1.0,main_w1_handler1,2298193,9501132,False,,5163211,vcf,3822644.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/011/283/dataset_11283542.dat""","""?""",19760973,,32.0,,23018374.0,1432096647.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfsort/vcfsort/0.0.1,0.0.1,,2015-05-20 04:37:35.245793,60434.0,6.0
97363.0,len,2015-05-20 04:31:24.261786,slurm_normal,1432096328.0,0,1.0,main_w2_handler1,2298193,9501124,False,,5183871,vcf,3822622.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/011/283/dataset_11283542.dat""","""?""",19760902,,32.0,,23018374.0,1432096322.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfsort/vcfsort/0.0.1,0.0.1,,2015-05-20 04:32:10.139421,60434.0,6.0
97363.0,len,2015-05-20 04:39:31.552245,slurm_normal,1432096798.0,0,1.0,main_w2_handler1,2298193,9501137,False,,5218266,vcf,3822651.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/011/283/dataset_11283542.dat""","""?""",19761049,,32.0,,23018374.0,1432096793.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfsort/vcfsort/0.0.1,0.0.1,,2015-05-20 04:40:00.356871,60434.0,5.0
97363.0,len,2015-05-20 04:37:25.817586,slurm_normal,1432096683.0,0,1.0,main_w2_handler1,2298193,9501133,False,,5266042,vcf,3822645.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/011/283/dataset_11283542.dat""","""?""",19760994,,32.0,,23018374.0,1432096678.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfsort/vcfsort/0.0.1,0.0.1,,2015-05-20 04:38:05.915530,60434.0,5.0
97363.0,len,2015-05-20 04:46:27.890422,slurm_normal,1432097212.0,0,1.0,main_w1_handler1,2298193,9501142,False,Job output deleted by user before job completed.,5218266,vcf,3822663.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/011/283/dataset_11283542.dat""","""?""",19761416,,32.0,,23018374.0,1432097207.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfsort/vcfsort/0.0.1,0.0.1,,2015-05-20 04:46:57.334761,60434.0,5.0
97363.0,len,2015-05-20 04:31:04.721580,slurm_normal,1432096388.0,0,1.0,main_w2_handler1,2298193,9501121,False,,5153685,vcf,3822617.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/011/283/dataset_11283542.dat""","""?""",19760831,,32.0,,23018374.0,1432096286.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfsort/vcfsort/0.0.1,0.0.1,,2015-05-20 04:33:12.149961,60434.0,102.0
97363.0,len,2015-05-20 04:32:33.182274,slurm_normal,1432096710.0,0,1.0,main_w1_handler1,2298193,9501128,False,,5205958,vcf,3822628.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/011/283/dataset_11283542.dat""","""?""",19760948,,32.0,,23018374.0,1432096390.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfsort/vcfsort/0.0.1,0.0.1,,2015-05-20 04:38:34.614551,60434.0,320.0
97363.0,len,2015-05-20 04:33:08.031167,slurm_normal,1432096413.0,0,1.0,main_w1_handler0,2298193,9501129,False,,5250496,vcf,3822630.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/011/283/dataset_11283542.dat""","""?""",19760971,,32.0,,23018374.0,1432096408.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfsort/vcfsort/0.0.1,0.0.1,,2015-05-20 04:33:36.359682,60434.0,5.0
