create_time,destination_id,end_epoch,exit_code,fasta_in,fasta_in_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fasta_in.values,parameters.large,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-22 07:03:05.415598,slurm_normal,1519283000.0,0,16213239,fasta,7680.0,1.0,main_w3_handler1,3438290,18479276,False,,12573860,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34006668}]","""true""",32.0,,43791088,1519282995.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_sort_seqs/mothur_sort_seqs/1.36.1.0,1.36.1.0,,2018-02-22 07:03:21.505110,100803,5.0
2018-02-22 07:03:10.567646,slurm_normal,1519283010.0,0,14075102,fasta,7680.0,1.0,main_w3_handler1,3438290,18479285,False,,12573866,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34006675}]","""true""",32.0,,43791088,1519283005.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_sort_seqs/mothur_sort_seqs/1.36.1.0,1.36.1.0,,2018-02-22 07:03:33.079197,100803,5.0
2018-02-22 07:03:20.297415,slurm_normal,1519283012.0,0,13209674,fasta,7680.0,1.0,main_w3_handler1,3438290,18479300,False,,12573867,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34006692}]","""true""",32.0,,43791088,1519283008.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_sort_seqs/mothur_sort_seqs/1.36.1.0,1.36.1.0,,2018-02-22 07:03:34.022910,100803,4.0
2018-02-22 07:03:08.284105,slurm_normal,1519283013.0,0,14682891,fasta,7680.0,1.0,main_w3_handler0,3438290,18479282,False,,12573868,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34006673}]","""true""",32.0,,43791088,1519283008.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_sort_seqs/mothur_sort_seqs/1.36.1.0,1.36.1.0,,2018-02-22 07:03:35.133423,100803,5.0
2018-02-22 07:03:06.315529,slurm_normal,1519283014.0,0,14608981,fasta,7680.0,1.0,main_w4_handler1,3438290,18479280,False,,12573871,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34006671}]","""true""",32.0,,43791088,1519283010.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_sort_seqs/mothur_sort_seqs/1.36.1.0,1.36.1.0,,2018-02-22 07:03:37.764485,100803,4.0
2018-02-22 07:03:11.744231,slurm_normal,1519283036.0,0,13069094,fasta,7680.0,1.0,main_w4_handler1,3438290,18479287,False,,12573880,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34006677}]","""true""",32.0,,43791088,1519283032.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_sort_seqs/mothur_sort_seqs/1.36.1.0,1.36.1.0,,2018-02-22 07:03:59.446848,100803,4.0
2018-02-22 07:03:16.080206,slurm_normal,1519283025.0,0,10108202,fasta,7680.0,1.0,main_w4_handler0,3438290,18479294,False,,12573875,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34006686}]","""true""",32.0,,43791088,1519283021.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_sort_seqs/mothur_sort_seqs/1.36.1.0,1.36.1.0,,2018-02-22 07:03:47.623157,100803,4.0
2018-02-22 07:03:11.019646,slurm_normal,1519283032.0,0,14076027,fasta,7680.0,1.0,main_w4_handler1,3438290,18479286,False,,12573877,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34006676}]","""true""",32.0,,43791088,1519283028.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_sort_seqs/mothur_sort_seqs/1.36.1.0,1.36.1.0,,2018-02-22 07:03:55.094927,100803,4.0
2018-02-22 07:03:18.143067,slurm_normal,1519283032.0,0,14138326,fasta,7680.0,1.0,main_w4_handler0,3438290,18479297,False,,12573878,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34006689}]","""true""",32.0,,43791088,1519283028.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_sort_seqs/mothur_sort_seqs/1.36.1.0,1.36.1.0,,2018-02-22 07:03:54.961812,100803,4.0
2018-02-22 07:03:13.317781,slurm_normal,1519283035.0,0,12228589,fasta,7680.0,1.0,main_w3_handler0,3438290,18479289,False,,12573879,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34006681}]","""true""",32.0,,43791088,1519283031.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_sort_seqs/mothur_sort_seqs/1.36.1.0,1.36.1.0,,2018-02-22 07:03:59.414381,100803,4.0
2018-02-22 07:03:13.884923,slurm_normal,1519283047.0,0,12780824,fasta,7680.0,1.0,main_w4_handler1,3438290,18479291,False,,12573886,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34006683}]","""true""",32.0,,43791088,1519283043.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_sort_seqs/mothur_sort_seqs/1.36.1.0,1.36.1.0,,2018-02-22 07:04:10.144934,100803,4.0
2018-02-22 07:03:14.578647,slurm_normal,1519283051.0,0,12781734,fasta,7680.0,1.0,main_w3_handler0,3438290,18479292,False,,12573887,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34006684}]","""true""",32.0,,43791088,1519283047.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_sort_seqs/mothur_sort_seqs/1.36.1.0,1.36.1.0,,2018-02-22 07:04:15.107234,100803,4.0
2018-02-22 07:03:18.731919,slurm_normal,1519283055.0,0,14141317,fasta,7680.0,1.0,main_w3_handler0,3438290,18479298,False,,12573889,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34006690}]","""true""",32.0,,43791088,1519283051.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_sort_seqs/mothur_sort_seqs/1.36.1.0,1.36.1.0,,2018-02-22 07:04:20.306338,100803,4.0
2018-02-22 07:03:16.869434,slurm_normal,1519283064.0,0,13296688,fasta,7680.0,1.0,main_w4_handler1,3438290,18479295,False,,12573898,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34006687}]","""true""",32.0,,43791088,1519283060.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_sort_seqs/mothur_sort_seqs/1.36.1.0,1.36.1.0,,2018-02-22 07:04:26.341186,100803,4.0
2018-02-22 07:03:17.411326,slurm_normal,1519283071.0,0,13297618,fasta,7680.0,1.0,main_w4_handler1,3438290,18479296,False,,12573899,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34006688}]","""true""",32.0,,43791088,1519283066.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_sort_seqs/mothur_sort_seqs/1.36.1.0,1.36.1.0,,2018-02-22 07:04:34.342974,100803,5.0
2018-02-22 07:03:19.493996,slurm_normal,1519283071.0,0,13209140,fasta,7680.0,1.0,main_w4_handler1,3438290,18479299,False,,12573900,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34006691}]","""true""",32.0,,43791088,1519283066.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_sort_seqs/mothur_sort_seqs/1.36.1.0,1.36.1.0,,2018-02-22 07:04:34.743465,100803,5.0
