chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,fastq,fastq2,fastq2_filetype,fastq_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.allow_and_ignore_empty_lines,parameters.chromInfo,parameters.comment,parameters.dbkey,parameters.description,parameters.input_type.__current_case__,parameters.input_type.fastq,parameters.input_type.fastq.values,parameters.input_type.fastq2,parameters.input_type.fastq2.values,parameters.input_type.input_type_selector,parameters.library_name,parameters.max_q,parameters.min_q,parameters.platform,parameters.platform_unit,parameters.predicted_insert_size,parameters.quality_format,parameters.read_group_name,parameters.run_date,parameters.sample_name,parameters.sequencing_center,parameters.strip_unpairied_mate_number,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-04-12 07:03:53.853885,slurm_normal,1460444811.0,0,1613164198,,,fastqsanger,1.0,main_w1_handler2,2620822,12426969,False,,6627449.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,24238313.0,,,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""False""","""LENIENT""",32.0,,29464816,1460444660.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-04-12 07:06:57.139605,50962.0,151.0
,,2016-04-13 22:05:21.959432,slurm_normal,1460585426.0,0,1557070506,,,fastq,1.0,main_w2_handler1,2663617,12447066,False,,6644598.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e4ed406b1effe4b8'}]",,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,29522744,1460585155.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-04-13 22:10:29.301768,82197.0,271.0
,,2016-04-15 18:21:47.326991,slurm_normal,1460744554.0,0,65358,65358.0,fastq,fastq,1.0,main_w1_handler0,2651707,12478590,False,,6664148.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55e31d8b21aa32acc'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55e31d8b21aa32acc'}]",pe,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,29393288,1460744548.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-04-15 18:22:37.648196,81896.0,6.0
,,2016-04-16 03:17:50.959023,slurm_normal,1460776872.0,0,1780954892,,,fastq,1.0,main_w1_handler2,2671779,12482131,False,,6668877.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/mm9.len""","""""","""mm9""","""""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53570c156dcd47918'}]",,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,29635074,1460776713.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-04-16 03:21:14.437634,36562.0,159.0
,,2016-10-19 10:45:45.258455,slurm_normal,1476873955.0,0,26114418,,,fastq,1.0,main_w3_handler1,2859386,14116754,False,,8331238.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a58288aa234fa0df'}]",,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,33801681,1476873949.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-10-19 10:45:56.680660,92465.0,6.0
,,2016-04-19 17:14:55.030796,slurm_normal,1461086780.0,0,1219639784,1219639784.0,fastq,fastq,1.0,main_w2_handler0,2663617,12526293,False,,6712576.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c5a778a94d4d6286'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5880fb49ef62366d7'}]",pe,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,29541776,1461086324.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-04-19 17:26:27.507069,82197.0,456.0
,,2016-06-01 13:02:49.714109,slurm_normal,1464786210.0,0,152710298,,,fastq,1.0,main_w2_handler0,1404569,13039640,False,,7220135.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d8f61f26df040ebc'}]",,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,30541393,1464786199.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-06-01 13:03:33.133211,30878.0,11.0
,,2016-07-18 22:56:30.080405,reserved,1468882625.0,0,458882,458882.0,fastqsanger,fastqsanger,1.0,main_w2_handler0,2769200,13438075,False,,7649562.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b579d03705caae3941'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b557e74ebd3efe2f98'}]",pe,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,30731085,1468882617.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-07-18 22:57:06.395903,5254.0,8.0
,,2016-07-21 01:21:54.163364,slurm_normal,1469064168.0,0,43147839,,,fastq,1.0,main_w1_handler0,2766253,13457320,False,,7671562.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/hg19Patch10.len""","""""","""hg19Patch10""","""""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b550cebf21ea4b5d23'}]",,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,31531833,1469064158.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-07-21 01:22:50.490611,84952.0,10.0
,,2016-07-21 21:28:18.134123,slurm_normal,1469136622.0,0,6863,,,fastqsanger,1.0,main_w2_handler0,2772453,13465425,False,,7680023.roundup,slurm,,132112168.0,corral-repl,,,"""false""","""/galaxy-repl/localdata/chrom/falciparum.len""","""""","""falciparum""","""""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5de4cf51bf00e23e0'}]",,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",32.0,,30428573,1469136596.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-07-21 21:30:27.041587,73057.0,26.0
