create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.detail,parameters.inputA.values,parameters.inputB.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-15 00:19:33.500427,slurm_normal,1476490785.0,0,1.0,main_w4_handler1,2835343,14086496,False,,109146367,bed,1166260,bed,8303306.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b58c04951d4048c4b7'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5676c5c394e387320'}]",32.0,,33659886,1476490776.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-15 00:19:47.649015,61250.0,9.0
2016-10-15 00:18:51.341588,slurm_normal,1476490761.0,0,1.0,main_w3_handler0,2835343,14086494,False,,109146367,bed,328256228,bed,8303304.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b58c04951d4048c4b7'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5858059907b46a395'}]",32.0,,33659886,1476490739.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-15 00:19:22.847151,61250.0,22.0
2016-10-15 00:23:35.222228,slurm_normal,1476491021.0,0,1.0,main_w3_handler0,2835343,14086513,False,,1707867,bed,1166260,bed,8303323.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c88ca73b4bff098d'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5676c5c394e387320'}]",32.0,,33659886,1476491018.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-15 00:23:44.365324,61250.0,3.0
2016-10-15 00:19:18.223813,slurm_normal,1476490769.0,0,1.0,main_w4_handler1,2835343,14086495,False,,109146367,bed,1707867,bed,8303305.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b58c04951d4048c4b7'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c88ca73b4bff098d'}]",32.0,,33659886,1476490760.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-15 00:19:31.722370,61250.0,9.0
2016-10-15 00:23:05.634557,slurm_normal,1476490998.0,0,1.0,main_w3_handler1,2835343,14086511,False,,1707867,bed,109146367,bed,8303321.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c88ca73b4bff098d'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b58c04951d4048c4b7'}]",32.0,,33659886,1476490988.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-15 00:23:20.484357,61250.0,10.0
2016-10-21 17:39:43.477322,slurm_normal,1477071597.0,0,1.0,main_w3_handler0,2863925,14143076,False,,1611896,bed,1697402,bed,8356289.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b54623760a56c62562'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5533b8d460e4e1db3'}]",32.0,,33845406,1477071593.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-21 17:39:59.749830,,4.0
2016-10-20 20:57:33.089242,slurm_normal,1476997101.0,0,1.0,main_w4_handler1,2851457,14134793,False,,8147,bed,354453,bed,8348993.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ce80684b04d21b79'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e4a03d9903f0afd2'}]",32.0,,33619070,1476997069.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-20 20:58:27.727424,92059.0,32.0
2016-10-20 21:02:04.170684,slurm_normal,1476997341.0,0,1.0,main_w3_handler1,2851457,14134810,False,,354453,bed,8147,bed,8349018.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e4a03d9903f0afd2'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ce80684b04d21b79'}]",32.0,,33619070,1476997329.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-20 21:02:26.982886,92059.0,12.0
2016-10-20 21:03:04.128260,slurm_normal,1476997424.0,0,1.0,main_w4_handler1,2851457,14134821,False,,354453,bed,8147,bed,8349026.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e4a03d9903f0afd2'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ce80684b04d21b79'}]",32.0,,33619070,1476997393.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-20 21:03:47.480966,92059.0,31.0
2016-10-21 18:31:20.923674,slurm_normal,1477074700.0,0,1.0,main_w3_handler1,2863925,14143254,False,,5997,bed,1033432,bed,8356482.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5091a389d4c8ee02a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5839ed83f14153ace'}]",32.0,,33845406,1477074697.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.24.0,2.24.0,,2016-10-21 18:31:44.025751,,3.0
