GCbiasFrequenciesFile,GCbiasFrequenciesFile_filetype,bamInput,bamInput_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.GCbiasFrequenciesFile.values,parameters.GCbiasFrequenciesFile|__identifier__,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.bamInput.values,parameters.bamInput|__identifier__,parameters.chromInfo,parameters.dbkey,parameters.effectiveGenomeSize.__current_case__,parameters.effectiveGenomeSize.effectiveGenomeSize,parameters.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.region,parameters.source.__current_case__,parameters.source.input1.values,parameters.source.input1_2bit,parameters.source.ref_source,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
11325,tabular,24971705,bam,2017-04-04 15:56:18.050531,reserved_multi,1491322690.0,0,,4.0,main_w4_handler2,3058234,15485118,False,,,,9612015.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 29063133}]","""Input_R2""",0,no,,"[{'src': 'hda', 'id': 29056207}]","""Input_R2""","""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",0,12000000,specific,"""""",0,,sacCer3,cached,32.0,,35746799.0,1491322635.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.5.0.0,2.5.0.0,,2017-04-04 16:18:12.094305,621,55.0
11325,tabular,51109535,bam,2017-04-04 15:56:17.425360,reserved_multi,1491322737.0,0,,4.0,main_w4_handler2,3058234,15485116,False,,,,9612013.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 29063131}]","""Reb1_R2""",0,no,,"[{'src': 'hda', 'id': 29056206}]","""Reb1_R2""","""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",0,12000000,specific,"""""",0,,sacCer3,cached,32.0,,35746799.0,1491322632.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.5.0.0,2.5.0.0,,2017-04-04 16:18:59.339572,621,105.0
11325,tabular,165222020,bam,2017-04-04 15:56:18.663947,reserved_multi,1491322959.0,0,,4.0,main_w4_handler2,3058234,15485119,False,,,,9612016.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 29063135}]","""Input_R1""",0,no,,"[{'src': 'hda', 'id': 29056208}]","""Input_R1""","""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",0,12000000,specific,"""""",0,,sacCer3,cached,32.0,,35746799.0,1491322638.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.5.0.0,2.5.0.0,,2017-04-04 16:22:41.364988,621,321.0
11325,tabular,206083895,bam,2017-04-04 15:56:19.130223,reserved_multi,1491323016.0,0,,4.0,main_w4_handler2,3058234,15485120,False,,,,9612017.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 29063137}]","""Reb1_R1""",0,no,,"[{'src': 'hda', 'id': 29056209}]","""Reb1_R1""","""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",0,12000000,specific,"""""",0,,sacCer3,cached,32.0,,35746799.0,1491322638.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.5.0.0,2.5.0.0,,2017-04-04 16:23:38.233552,621,378.0
7575,tabular,2252839137,bam,2017-05-05 21:36:05.121187,slurm_multi,1494021792.0,0,,6.0,main_w3_handler2,3097326,15763260,False,,,,9870274,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 29490323}]",,0,no,,"[{'src': 'hda', 'id': 29480215}]",,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,,2150570000,"""""",0,,mm10,cached,32.0,,37747051.0,1494020172.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.5.0.0,2.5.0.0,,2017-05-05 22:04:41.186792,105172,1620.0
7575,tabular,2750886906,bam,2017-05-05 20:25:06.652007,slurm_multi,1494017331.0,0,,6.0,main_w4_handler2,3097326,15761793,False,,,,9869692,slurm,,132111800.0,corral-repl,,"[{'src': 'hda', 'id': 29490320}]",,0,no,,"[{'src': 'hda', 'id': 29480214}]",,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,,2150570000,"""""",0,,mm10,cached,32.0,,37747051.0,1494015910.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.5.0.0,2.5.0.0,,2017-05-05 20:48:53.524472,105172,1421.0
11325,tabular,225193667,bam,2017-05-17 06:08:02.541035,slurm_multi,1495001881.0,0,,6.0,main_w4_handler2,3081638,15864510,False,,,,9964905,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 29628126}]",,0,no,,"[{'src': 'hda', 'id': 29627662}]",,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,2451960000,"""chr11:1900000:3200000""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,37473067.0,1495001837.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.5.0.0,2.5.0.0,,2017-05-17 06:18:02.597033,91999,44.0
22575,tabular,2551081677,bam,2017-06-19 09:33:01.929153,slurm_multi,1497875471.0,0,,6.0,main_w3_handler2,3154999,16130380,False,,,,10211459,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 30076687}]",,0,no,,"[{'src': 'hda', 'id': 30076499}]",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,38663649.0,1497873858.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.5.0.0,2.5.0.0,,2017-06-19 12:31:14.020900,107669,1613.0
22575,tabular,798461402,bam,2017-06-19 09:34:00.891988,slurm_multi,1497877507.0,0,,6.0,main_w3_handler2,3154999,16130386,False,,,,10211683,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 30076684}]",,0,no,,"[{'src': 'hda', 'id': 30076498}]",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,38663649.0,1497877086.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.5.0.0,2.5.0.0,,2017-06-19 13:05:09.979743,107669,421.0
22575,tabular,2431294501,bam,2017-06-19 09:33:29.087324,slurm_multi,1497884139.0,0,,6.0,main_w4_handler2,3154999,16130384,False,,,,10212487,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 30076681}]",,0,no,,"[{'src': 'hda', 'id': 30076497}]",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,38663649.0,1497882578.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.5.0.0,2.5.0.0,,2017-06-19 14:55:40.444576,107669,1561.0
