create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fasta.values,parameters.input.values,parameters.mc,parameters.soft,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-01-09 22:39:47.101852,slurm_normal,1484001614.0,0,439583339,fasta,1.0,main_w3_handler0,2928921,14720171,False,,85478,gff3,8889094.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27622868}]","[{'src': 'hda', 'id': 27858753}]","""N""","""false""",32.0,,34831412,1484001592.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_maskfastabed/2.24.0,2.24.0,,2017-01-09 22:40:18.213166,96829.0,22.0
2016-06-21 16:46:27.040541,slurm_normal,1466527636.0,0,832058951,fasta,1.0,main_w2_handler0,2738833,13226681,False,,797630,bed,7411444.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/016/310/dataset_16310716.dat""","""create""","[{'src': 'hda', 'id': 'bbd44e69cb8906b542838928b53dd158'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c5d107505ed5755c'}]","""N""","""false""",32.0,,30867771,1466527598.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_maskfastabed/2.24.0,2.24.0,,2016-06-21 16:47:20.905839,86111.0,38.0
2016-07-15 09:06:33.069454,slurm_normal,1468573639.0,0,189438,fasta,1.0,main_w2_handler0,2685364,13418453,False,,61388,bed,7630897.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b566406a8a17eecd05'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a2e2416281668fd6'}]","""N""","""false""",32.0,,29843861,1468573636.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_maskfastabed/2.24.0,2.24.0,,2016-07-15 09:07:20.969428,,3.0
2016-07-15 09:08:41.800156,slurm_normal,1468573776.0,0,114956,fasta,1.0,main_w1_handler0,2685364,13418464,False,,61388,bed,7630921.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b51dcf8e3a7ed1a4e0'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a2e2416281668fd6'}]","""N""","""false""",32.0,,29843861,1468573773.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_maskfastabed/2.24.0,2.24.0,,2016-07-15 09:09:39.811551,,3.0
2016-09-21 17:07:37.673859,slurm_normal,1474477987.0,0,2793419363,fasta,1.0,main_w4_handler1,2821524,13908492,False,Job output deleted by user before job completed.,4549,bed,8131216.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/rn6.len""","""rn6""","[{'src': 'hda', 'id': 'bbd44e69cb8906b594946140de0fdf99'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a35d9d71855ca32c'}]","""N""","""false""",32.0,,32978475,1474477679.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_maskfastabed/2.24.0,2.24.0,,2016-09-21 17:13:09.344993,,308.0
2016-06-16 14:09:43.944885,slurm_normal,1466086218.0,0,39506610,fasta,1.0,main_w2_handler0,2525400,13184121,False,,100713436,gff3,7368430.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a53bb0d90f798d7c'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b55ba855b7c8d36f71'}]","""N""","""false""",32.0,,30850658,1466086198.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_maskfastabed/2.24.0,2.24.0,,2016-06-16 14:10:21.639913,57124.0,20.0
2016-08-12 13:56:40.343136,slurm_normal,1471010217.0,0,713424,fasta,1.0,main_w1_handler1,2790944,13651833,False,,23385651,bed,7867256.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5feeb5cfb443f2335'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5259859c3ab3e40b0'}]","""N""","""false""",32.0,,32165807,1471010212.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_maskfastabed/2.24.0,2.24.0,,2016-08-12 13:56:59.010228,,5.0
2016-11-11 09:26:35.573331,slurm_normal,1478856412.0,0,107210855,fasta,1.0,main_w3_handler1,2480912,14314327,False,,5636,bed,8522476.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ceda79179eebc352'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5be948a4f1428320c'}]","""N""","""false""",32.0,,33242966,1478856405.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_maskfastabed/2.24.0,2.24.0,,2016-11-11 09:26:54.299970,71005.0,7.0
2016-11-15 14:35:29.334775,slurm_normal,1479220615.0,0,11176281,fasta,1.0,main_w3_handler1,2886279,14345045,False,,187265,bed,8550967.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b54bfcf60d4a392a07'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b58f2d0fd7b8289123'}]","""N""","""false""",32.0,,34143476,1479220578.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_maskfastabed/2.24.0,2.24.0,,2016-11-15 14:37:10.410292,94242.0,37.0
2016-11-15 14:44:56.645238,slurm_normal,1479221247.0,0,11176281,fasta,1.0,main_w3_handler0,2886279,14345259,False,,12601,bed,8551141.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b54bfcf60d4a392a07'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5be95569920021421'}]","""N""","""false""",32.0,,34143476,1479221210.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_maskfastabed/2.24.0,2.24.0,,2016-11-15 14:47:29.076776,94242.0,37.0
