create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.allow_contig_length_discordance,parameters.allow_incomplete_dict_concordance,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.validation_stringency,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-10-30 16:25:09.389645,slurm_normal,1509381424.0,0,,1.0,main_w3_handler0,2386135,17266491,False,,1985007584,bam,11325590,slurm,,132112168.0,corral-repl,,,"""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31967602}]",,1,,"[{'src': 'hda', 'id': 31967671}]",history,"""LENIENT""",32.0,121662621.0,fasta,,39793038.0,1509380750.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/2.7.1.0,2.7.1.0,,2017-10-30 16:37:16.590638,59431,674.0
2017-10-30 17:16:19.290010,slurm_normal,1509383805.0,0,,1.0,main_w3_handler1,2386135,17267063,False,,212373,bam,11326265,slurm,,132112168.0,corral-repl,,,"""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31968876}]",,1,,"[{'src': 'hda', 'id': 31968856}]",history,"""LENIENT""",32.0,16813.0,fasta,,39793038.0,1509383796.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/2.7.1.0,2.7.1.0,,2017-10-30 17:16:49.922809,59431,9.0
2018-01-08 10:43:12.900664,slurm_normal,1515409000.0,0,,1.0,main_w3_handler1,3339864,17971058,False,,2376323663,bam,12047635,slurm,,132112168.0,corral-repl,,,"""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32536357}]",,1,,"[{'src': 'hda', 'id': 32536061}]",history,"""STRICT""",32.0,19144739.0,fasta,,42171384.0,1515408199.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/2.7.1.0,2.7.1.0,,2018-01-08 10:56:41.994020,108465,801.0
2018-01-08 10:43:13.871429,slurm_normal,1515409217.0,0,,1.0,main_w4_handler0,3339864,17971059,False,,3432802906,bam,12047634,slurm,,132112168.0,corral-repl,,,"""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32536358}]",,1,,"[{'src': 'hda', 'id': 32536061}]",history,"""STRICT""",32.0,19144739.0,fasta,,42171384.0,1515408199.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/2.7.1.0,2.7.1.0,,2018-01-08 11:00:20.419989,108465,1018.0
2018-01-08 11:59:26.520502,slurm_normal,1515412813.0,0,,1.0,main_w4_handler0,3381171,17971848,False,,74878972,bam,12048427,slurm,,132112168.0,corral-repl,,,"""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33215044}]",,1,,"[{'src': 'hda', 'id': 33213920}]",history,"""LENIENT""",32.0,16864.0,fasta,,42757219.0,1515412772.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/2.7.1.0,2.7.1.0,,2018-01-08 12:00:16.342010,118894,41.0
2018-01-08 13:41:43.933278,slurm_normal,1515418935.0,0,,1.0,main_w3_handler0,3381199,17972570,False,,42886894,bam,12049186,slurm,,132112168.0,corral-repl,,,"""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33215985}]",,1,,"[{'src': 'hda', 'id': 33215201}]",history,"""LENIENT""",32.0,16864.0,fasta,,42757219.0,1515418912.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/2.7.1.0,2.7.1.0,,2018-01-08 13:42:16.887383,118894,23.0
2018-01-08 15:43:39.471055,slurm_normal,1515426270.0,0,,1.0,main_w4_handler0,3381215,17973737,False,,50898313,bam,12050298,slurm,,132112168.0,corral-repl,,,"""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33217727}]",,1,,"[{'src': 'hda', 'id': 33217026}]",history,"""LENIENT""",32.0,16864.0,fasta,,42757219.0,1515426223.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/2.7.1.0,2.7.1.0,,2018-01-08 15:44:31.752784,118894,47.0
2018-01-09 09:08:17.836219,slurm_normal,1515488948.0,0,,1.0,main_w3_handler1,3381227,17979700,False,,70136493,bam,12056528,slurm,,132112168.0,corral-repl,,,"""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33226748}]",,1,,"[{'src': 'hda', 'id': 33226639}]",history,"""LENIENT""",32.0,16864.0,fasta,,42757219.0,1515488901.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/2.7.1.0,2.7.1.0,,2018-01-09 09:09:10.283688,118894,47.0
2018-01-09 01:36:28.049874,slurm_normal,1515463056.0,0,,1.0,main_w3_handler1,3339864,17977632,False,,1635003585,bam,12054381,slurm,,132112168.0,corral-repl,,,"""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33223274}]",,1,,"[{'src': 'hda', 'id': 32536061}]",history,"""LENIENT""",32.0,19144739.0,fasta,,42171384.0,1515462491.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/2.7.1.0,2.7.1.0,,2018-01-09 01:57:37.308459,108465,565.0
2018-01-09 01:36:27.696330,slurm_normal,1515465830.0,0,,1.0,main_w3_handler1,3339864,17977631,False,,3839609652,bam,12054536,slurm,,132112168.0,corral-repl,,,"""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33223273}]",,1,,"[{'src': 'hda', 'id': 32536061}]",history,"""LENIENT""",32.0,19144739.0,fasta,,42171384.0,1515464554.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/2.7.1.0,2.7.1.0,,2018-01-09 02:43:51.707529,108465,1276.0
2018-01-09 10:15:03.859957,slurm_normal,1515492972.0,0,,1.0,main_w3_handler1,3385481,17980065,False,,29024444,bam,12056905,slurm,,132112168.0,corral-repl,,,"""false""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33227339}]",,1,,"[{'src': 'hda', 'id': 33227227}]",history,"""LENIENT""",32.0,16864.0,fasta,,42757219.0,1515492936.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/2.7.1.0,2.7.1.0,,2018-01-09 10:16:14.314321,118894,36.0
