conditions_0|samples_0|sample,conditions_0|samples_0|sample_filetype,conditions_0|samples_10|sample,conditions_0|samples_10|sample_filetype,conditions_0|samples_11|sample,conditions_0|samples_11|sample_filetype,conditions_0|samples_12|sample,conditions_0|samples_12|sample_filetype,conditions_0|samples_13|sample,conditions_0|samples_13|sample_filetype,conditions_0|samples_14|sample,conditions_0|samples_14|sample_filetype,conditions_0|samples_15|sample,conditions_0|samples_15|sample_filetype,conditions_0|samples_16|sample,conditions_0|samples_16|sample_filetype,conditions_0|samples_17|sample,conditions_0|samples_17|sample_filetype,conditions_0|samples_1|sample,conditions_0|samples_1|sample_filetype,conditions_0|samples_2|sample,conditions_0|samples_2|sample_filetype,conditions_0|samples_3|sample,conditions_0|samples_3|sample_filetype,conditions_0|samples_4|sample,conditions_0|samples_4|sample_filetype,conditions_0|samples_5|sample,conditions_0|samples_5|sample_filetype,conditions_0|samples_6|sample,conditions_0|samples_6|sample_filetype,conditions_0|samples_7|sample,conditions_0|samples_7|sample_filetype,conditions_0|samples_8|sample,conditions_0|samples_8|sample_filetype,conditions_0|samples_9|sample,conditions_0|samples_9|sample_filetype,conditions_10|samples_0|sample,conditions_10|samples_0|sample_filetype,conditions_10|samples_1|sample,conditions_10|samples_1|sample_filetype,conditions_10|samples_2|sample,conditions_10|samples_2|sample_filetype,conditions_10|samples_3|sample,conditions_10|samples_3|sample_filetype,conditions_10|samples_4|sample,conditions_10|samples_4|sample_filetype,conditions_10|samples_5|sample,conditions_10|samples_5|sample_filetype,conditions_11|samples_0|sample,conditions_11|samples_0|sample_filetype,conditions_11|samples_1|sample,conditions_11|samples_1|sample_filetype,conditions_11|samples_2|sample,conditions_11|samples_2|sample_filetype,conditions_12|samples_0|sample,conditions_12|samples_0|sample_filetype,conditions_12|samples_1|sample,conditions_12|samples_1|sample_filetype,conditions_12|samples_2|sample,conditions_12|samples_2|sample_filetype,conditions_13|samples_0|sample,conditions_13|samples_0|sample_filetype,conditions_13|samples_1|sample,conditions_13|samples_1|sample_filetype,conditions_13|samples_2|sample,conditions_13|samples_2|sample_filetype,conditions_14|samples_0|sample,conditions_14|samples_0|sample_filetype,conditions_14|samples_1|sample,conditions_14|samples_1|sample_filetype,conditions_14|samples_2|sample,conditions_14|samples_2|sample_filetype,conditions_15|samples_0|sample,conditions_15|samples_0|sample_filetype,conditions_15|samples_1|sample,conditions_15|samples_1|sample_filetype,conditions_16|samples_0|sample,conditions_16|samples_0|sample_filetype,conditions_16|samples_1|sample,conditions_16|samples_1|sample_filetype,conditions_16|samples_2|sample,conditions_16|samples_2|sample_filetype,conditions_17|samples_0|sample,conditions_17|samples_0|sample_filetype,conditions_18|samples_0|sample,conditions_18|samples_0|sample_filetype,conditions_19|samples_0|sample,conditions_19|samples_0|sample_filetype,conditions_1|samples_0|sample,conditions_1|samples_0|sample_filetype,conditions_1|samples_10|sample,conditions_1|samples_10|sample_filetype,conditions_1|samples_11|sample,conditions_1|samples_11|sample_filetype,conditions_1|samples_12|sample,conditions_1|samples_12|sample_filetype,conditions_1|samples_13|sample,conditions_1|samples_13|sample_filetype,conditions_1|samples_14|sample,conditions_1|samples_14|sample_filetype,conditions_1|samples_15|sample,conditions_1|samples_15|sample_filetype,conditions_1|samples_16|sample,conditions_1|samples_16|sample_filetype,conditions_1|samples_17|sample,conditions_1|samples_17|sample_filetype,conditions_1|samples_18|sample,conditions_1|samples_18|sample_filetype,conditions_1|samples_19|sample,conditions_1|samples_19|sample_filetype,conditions_1|samples_1|sample,conditions_1|samples_1|sample_filetype,conditions_1|samples_20|sample,conditions_1|samples_20|sample_filetype,conditions_1|samples_21|sample,conditions_1|samples_21|sample_filetype,conditions_1|samples_22|sample,conditions_1|samples_22|sample_filetype,conditions_1|samples_23|sample,conditions_1|samples_23|sample_filetype,conditions_1|samples_24|sample,conditions_1|samples_24|sample_filetype,conditions_1|samples_25|sample,conditions_1|samples_25|sample_filetype,conditions_1|samples_2|sample,conditions_1|samples_2|sample_filetype,conditions_1|samples_3|sample,conditions_1|samples_3|sample_filetype,conditions_1|samples_4|sample,conditions_1|samples_4|sample_filetype,conditions_1|samples_5|sample,conditions_1|samples_5|sample_filetype,conditions_1|samples_6|sample,conditions_1|samples_6|sample_filetype,conditions_1|samples_7|sample,conditions_1|samples_7|sample_filetype,conditions_1|samples_8|sample,conditions_1|samples_8|sample_filetype,conditions_1|samples_9|sample,conditions_1|samples_9|sample_filetype,conditions_20|samples_0|sample,conditions_20|samples_0|sample_filetype,conditions_21|samples_0|sample,conditions_21|samples_0|sample_filetype,conditions_22|samples_0|sample,conditions_22|samples_0|sample_filetype,conditions_23|samples_0|sample,conditions_23|samples_0|sample_filetype,conditions_24|samples_0|sample,conditions_24|samples_0|sample_filetype,conditions_25|samples_0|sample,conditions_25|samples_0|sample_filetype,conditions_2|samples_0|sample,conditions_2|samples_0|sample_filetype,conditions_2|samples_1|sample,conditions_2|samples_1|sample_filetype,conditions_2|samples_2|sample,conditions_2|samples_2|sample_filetype,conditions_2|samples_3|sample,conditions_2|samples_3|sample_filetype,conditions_2|samples_4|sample,conditions_2|samples_4|sample_filetype,conditions_2|samples_5|sample,conditions_2|samples_5|sample_filetype,conditions_2|samples_6|sample,conditions_2|samples_6|sample_filetype,conditions_2|samples_7|sample,conditions_2|samples_7|sample_filetype,conditions_3|samples_0|sample,conditions_3|samples_0|sample_filetype,conditions_3|samples_1|sample,conditions_3|samples_1|sample_filetype,conditions_3|samples_2|sample,conditions_3|samples_2|sample_filetype,conditions_3|samples_3|sample,conditions_3|samples_3|sample_filetype,conditions_3|samples_4|sample,conditions_3|samples_4|sample_filetype,conditions_3|samples_5|sample,conditions_3|samples_5|sample_filetype,conditions_3|samples_6|sample,conditions_3|samples_6|sample_filetype,conditions_3|samples_7|sample,conditions_3|samples_7|sample_filetype,conditions_4|samples_0|sample,conditions_4|samples_0|sample_filetype,conditions_4|samples_1|sample,conditions_4|samples_1|sample_filetype,conditions_4|samples_2|sample,conditions_4|samples_2|sample_filetype,conditions_4|samples_3|sample,conditions_4|samples_3|sample_filetype,conditions_5|samples_0|sample,conditions_5|samples_0|sample_filetype,conditions_5|samples_1|sample,conditions_5|samples_1|sample_filetype,conditions_5|samples_2|sample,conditions_5|samples_2|sample_filetype,conditions_5|samples_3|sample,conditions_5|samples_3|sample_filetype,conditions_6|samples_0|sample,conditions_6|samples_0|sample_filetype,conditions_6|samples_1|sample,conditions_6|samples_1|sample_filetype,conditions_6|samples_2|sample,conditions_6|samples_2|sample_filetype,conditions_7|samples_0|sample,conditions_7|samples_0|sample_filetype,conditions_7|samples_1|sample,conditions_7|samples_1|sample_filetype,conditions_7|samples_2|sample,conditions_7|samples_2|sample_filetype,conditions_8|samples_0|sample,conditions_8|samples_0|sample_filetype,conditions_8|samples_1|sample,conditions_8|samples_1|sample_filetype,conditions_8|samples_2|sample,conditions_8|samples_2|sample_filetype,conditions_9|samples_0|sample,conditions_9|samples_0|sample_filetype,conditions_9|samples_1|sample,conditions_9|samples_1|sample_filetype,conditions_9|samples_2|sample,conditions_9|samples_2|sample_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,gtf_input,gtf_input_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.additional.__current_case__,parameters.additional.frag_len_std_dev,parameters.additional.frag_mean_len,parameters.additional.sAdditional,parameters.bias_correction.__current_case__,parameters.bias_correction.do_bias_correction,parameters.bias_correction.seq_source.__current_case__,parameters.bias_correction.seq_source.index_source,parameters.bias_correction.seq_source.ref_file,parameters.chromInfo,parameters.conditions,parameters.dbkey,parameters.dispersion_method,parameters.do_normalization,parameters.fdr,parameters.group_analysis.__current_case__,parameters.group_analysis.aligned_reads1,parameters.group_analysis.aligned_reads2,parameters.group_analysis.do_groups,parameters.group_analysis.groups,parameters.gtf_input,parameters.gtf_input.values,parameters.include_read_group_files,parameters.library_norm_method,parameters.min_alignment_count,parameters.multiread_correct,parameters.singlePaired.__current_case__,parameters.singlePaired.sPaired,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
1456625127.0,bam,,,,,,,,,,,,,,,,,1456632055.0,bam,2098555281.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455398608.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-26 19:02:24.912625,roundup_multi,1427419102.0,0.0,6.0,444986916.0,gtf,main_w2_handler2,2250324,9052255,False,,3339776,slurm,,132112168.0,corral-repl,,,,"""93c666d6d3ea11e49c15005056a51846""",0,,,No,1,No,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{""__index__"": 0, ""name"": """", ""samples"": [{""sample"": 19015858, ""__index__"": 0}, {""sample"": 19015860, ""__index__"": 1}, {""sample"": 19015861, ""__index__"": 2}]}, {""__index__"": 1, ""name"": """", ""samples"": [{""sample"": 19015862, ""__index__"": 0}]}]","""hg19""","""pooled""","""Yes""","""0.05""",,,,,,19015829,,"""No""","""geometric""","""0""","""No""",,,32.0,,,,22002697.0,1427416468.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.6,0.0.6,,2015-03-27 01:18:41.323638,7227.0,2634.0
1124757383.0,bam,,,,,,,,,,,,,,,,,1456626732.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2098563921.0,bam,,,,,,,,,,,,,,,,,,,,,1455400174.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-29 23:01:18.769519,roundup_multi,1427688834.0,0.0,6.0,444986916.0,gtf,main_w2_handler2,2253475,9078054,False,,3365830,slurm,,132112168.0,corral-repl,,,,"""6b08d01ad66711e4bf09005056a52a46""",0,,,No,1,No,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{""__index__"": 0, ""name"": """", ""samples"": [{""sample"": 19052015, ""__index__"": 0}, {""sample"": 19052016, ""__index__"": 1}]}, {""__index__"": 1, ""name"": """", ""samples"": [{""sample"": 19052017, ""__index__"": 0}, {""sample"": 19052018, ""__index__"": 1}]}]","""hg19""","""pooled""","""Yes""","""0.05""",,,,,,19015829,,"""No""","""geometric""","""0""","""No""",,,32.0,,,,22002697.0,1427686403.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.6,0.0.6,,2015-03-30 04:14:10.530673,7227.0,2431.0
2818652.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2298574.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-13 05:41:52.267203,slurm_multi,1428903827.0,0.0,6.0,48499.0,gtf,main_w2_handler2,2268167,9212449,False,,3494838,slurm,,132112168.0,corral-repl,,,,,0,,,No,0,Yes,0.0,cached,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{""__index__"": 0, ""name"": ""r1"", ""samples"": [{""sample"": 19258190, ""__index__"": 0}]}, {""__index__"": 1, ""name"": ""r2"", ""samples"": [{""sample"": 19258242, ""__index__"": 0}]}]","""hg19""","""pooled""",,"""0.05""",,,,,,19258978,,"""No""","""geometric""","""10""","""No""",,,32.0,,,,22275722.0,1428903738.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.6,0.0.6,,2015-04-13 05:44:00.908678,58748.0,89.0
2818652.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2298574.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-13 05:42:39.301573,slurm_multi,1428903880.0,0.0,6.0,48499.0,gtf,main_w2_handler2,2268167,9212453,False,,3494845,slurm,,132112168.0,corral-repl,,,,,0,,,No,0,Yes,0.0,cached,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{""__index__"": 0, ""name"": ""r1"", ""samples"": [{""sample"": 19258190, ""__index__"": 0}]}, {""__index__"": 1, ""name"": ""r2"", ""samples"": [{""sample"": 19258242, ""__index__"": 0}]}]","""hg19""","""pooled""",,"""0.05""",,,,,,19258978,,"""No""","""geometric""","""10""","""No""",,,32.0,,,,22275722.0,1428903791.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.6,0.0.6,,2015-04-13 05:44:56.443180,58748.0,89.0
2818652.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2298574.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-13 05:47:22.979647,slurm_multi,1428904960.0,0.0,6.0,48499.0,gtf,main_w2_handler2,2268167,9212481,False,,3494906,slurm,,132112168.0,corral-repl,,,,,0,,,No,0,Yes,0.0,cached,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{""__index__"": 0, ""name"": ""r1"", ""samples"": [{""sample"": 19258190, ""__index__"": 0}]}, {""__index__"": 1, ""name"": ""r2"", ""samples"": [{""sample"": 19258242, ""__index__"": 0}]}]","""hg19""","""pooled""",,"""0.05""",,,,,,19258978,,"""No""","""geometric""","""10""","""No""",,,32.0,,,,22275722.0,1428904869.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.6,0.0.6,,2015-04-13 06:02:53.397309,58748.0,91.0
2555420.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2555420.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-19 11:41:45.739533,slurm_multi_dynamic_walltime,1432035869.0,0.0,6.0,6165347.0,gtf,main_w2_handler2,2311809,9494767,False,,3816964,slurm,,132112168.0,corral-repl,,0.0,no,,0,,,No,1,No,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{""__index__"": 0, ""name"": ""Brain"", ""samples"": [{""sample"": 19752170, ""__index__"": 0}]}, {""__index__"": 1, ""name"": ""Adrenal"", ""samples"": [{""sample"": 19752170, ""__index__"": 0}]}]","""hg19""","""pooled""",,"""0.05""",,,,,,19751823,,"""No""","""geometric""","""10""","""No""",,,32.0,,,,23171189.0,1432035737.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.6,0.0.6,,2015-05-19 11:44:47.505421,63705.0,132.0
11505070.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11283126.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-19 11:04:42.171710,slurm_multi_dynamic_walltime,1432033658.0,0.0,6.0,272479.0,gtf,main_w2_handler2,2311768,9494583,False,,3816798,slurm,,132112168.0,corral-repl,,0.0,no,,0,,,No,1,No,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{""__index__"": 0, ""name"": ""tumor"", ""samples"": [{""sample"": 19751708, ""__index__"": 0}]}, {""__index__"": 1, ""name"": ""normal"", ""samples"": [{""sample"": 19751779, ""__index__"": 0}]}]","""hg19""","""pooled""",,"""0.05""",,,,,,19752049,,"""No""","""geometric""","""10""","""No""",,,32.0,,,,23135923.0,1432033566.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.6,0.0.6,,2015-05-19 11:07:54.835857,57315.0,92.0
11505070.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11283126.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-19 11:16:49.609559,slurm_multi_dynamic_walltime,1432034344.0,0.0,6.0,272479.0,gtf,main_w2_handler2,2311768,9494630,False,,3816843,slurm,,132112168.0,corral-repl,,0.0,no,,0,,,No,1,No,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{""__index__"": 0, ""name"": ""tumor"", ""samples"": [{""sample"": 19751708, ""__index__"": 0}]}, {""__index__"": 1, ""name"": ""normal"", ""samples"": [{""sample"": 19751779, ""__index__"": 0}]}]","""hg19""","""pooled""",,"""0.05""",,,,,,19752049,,"""No""","""geometric""","""10""","""No""",,,32.0,,,,23135923.0,1432034250.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.6,0.0.6,,2015-05-19 11:19:18.105038,57315.0,94.0
1746675573.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3074979464.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1809128232.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-26 18:16:02.414063,slurm_multi_dynamic_walltime,1435347184.0,0.0,6.0,65795326.0,gtf,main_w2_handler2,2294744,9745839,False,,4047896,slurm,,132112168.0,corral-repl,,0.0,no,,0,,,No,1,No,,,,"""/galaxy-repl/localdata/chrom/bosTau6.len""","[{""__index__"": 0, ""name"": ""pre"", ""samples"": [{""sample"": 19615209, ""__index__"": 0}]}, {""__index__"": 1, ""name"": ""dur"", ""samples"": [{""sample"": 19615219, ""__index__"": 0}]}, {""__index__"": 2, ""name"": ""post"", ""samples"": [{""sample"": 19615204, ""__index__"": 0}]}]","""bosTau6""","""pooled""",,"""0.05""",,,,,,20154327,,"""No""","""geometric""","""10""","""No""",,,32.0,,,,23837059.0,1435342665.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.6,0.0.6,,2015-06-26 19:33:20.563492,10048.0,4519.0
1543823537.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3215223818.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1383194907.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-26 18:16:22.647381,slurm_multi_dynamic_walltime,1435347045.0,0.0,6.0,65795326.0,gtf,main_w2_handler2,2294744,9745845,False,,4047898,slurm,,132112168.0,corral-repl,,0.0,no,,0,,,No,1,No,,,,"""/galaxy-repl/localdata/chrom/bosTau6.len""","[{""__index__"": 0, ""name"": ""pre"", ""samples"": [{""sample"": 19615214, ""__index__"": 0}]}, {""__index__"": 1, ""name"": ""dur"", ""samples"": [{""sample"": 19615225, ""__index__"": 0}]}, {""__index__"": 2, ""name"": ""post"", ""samples"": [{""sample"": 20140405, ""__index__"": 0}]}]","""bosTau6""","""pooled""",,"""0.05""",,,,,,20154327,,"""No""","""geometric""","""10""","""No""",,,32.0,,,,23837059.0,1435342666.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/0.0.6,0.0.6,,2015-06-26 19:31:10.409659,10048.0,4379.0
