create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.inputA.values,parameters.inputB.values,parameters.overlap,parameters.removeIfOverlap,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-04-14 17:24:27.363542,slurm_normal,1492190684.0,0,,1.0,main_w3_handler1,2788464,15588312,False,,514391,bed,2479037,bed,9710250.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 29155217}]","[{'src': 'hda', 'id': 28591416}]","""0.01""","""-A""","""""",32.0,,36330861.0,1492190680.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.26.0.0,2.26.0.0,,2017-04-14 17:24:45.192968,66832.0,4.0
2017-04-14 18:38:34.426901,slurm_normal,1492195138.0,0,,1.0,main_w4_handler0,2788464,15588910,False,,835466,bed,3171444,bed,9710729.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 29222075}]","[{'src': 'hda', 'id': 29154946}]","""0.01""","""-A""","""""",32.0,,37283654.0,1492195133.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.26.0.0,2.26.0.0,,2017-04-14 18:39:00.904879,66832.0,5.0
2017-05-30 10:39:44.318198,slurm_normal,1496140837.0,0,,1.0,main_w4_handler0,2648527,15967114,False,,107844120,bed,130240052,bed,10063944.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 29713107}]","[{'src': 'hda', 'id': 29814310}]","""0.75""","""-A""","""""",32.0,,37518652.0,1496140794.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.26.0.0,2.26.0.0,,2017-05-30 10:40:39.075440,81493.0,43.0
2017-05-30 10:44:04.544613,slurm_normal,1496141115.0,0,,1.0,main_w3_handler0,2648527,15967144,False,,197239787,bed,130240052,bed,10063969.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 29713108}]","[{'src': 'hda', 'id': 29814310}]","""0.75""","""-A""","""""",32.0,,37518652.0,1496141053.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.26.0.0,2.26.0.0,,2017-05-30 10:45:18.801044,81493.0,62.0
2017-05-30 13:32:34.982692,slurm_normal,1496151174.0,0,,1.0,main_w3_handler1,2648527,15968376,False,,4785383,bed,6755524,bed,10065102.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 29816445}]","[{'src': 'hda', 'id': 29816665}]","""0.75""","""-A""","""""",32.0,,37518652.0,1496151168.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.26.0.0,2.26.0.0,,2017-05-30 13:32:57.770832,81493.0,6.0
2017-05-30 13:32:34.316338,slurm_normal,1496151176.0,0,,1.0,main_w3_handler0,2648527,15968375,False,,9229423,bed,6755524,bed,10065100.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 29816444}]","[{'src': 'hda', 'id': 29816665}]","""0.75""","""-A""","""""",32.0,,37518652.0,1496151168.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.26.0.0,2.26.0.0,,2017-05-30 13:33:01.990893,81493.0,8.0
2017-06-20 05:01:29.803586,slurm_normal,1497934909.0,0,,1.0,main_w4_handler0,2788464,16139380,False,,2616834,bed,3171444,bed,10219094.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30090686}]","[{'src': 'hda', 'id': 29154946}]","""0.1""","""-A""","""""",32.0,,37283654.0,1497934903.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.26.0.0,2.26.0.0,,2017-06-20 05:01:50.580630,66832.0,6.0
2017-04-10 20:51:27.712951,slurm_normal,1491857510.0,0,,1.0,main_w3_handler0,2788464,15546339,False,,1523844,bed,2215893,bed,9670939.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 29155213}]","[{'src': 'hda', 'id': 29013280}]","""0.1""","""-A""","""""",32.0,,35333241.0,1491857505.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.26.0.0,2.26.0.0,,2017-04-10 20:51:52.575812,66832.0,5.0
2017-04-07 15:33:08.873828,slurm_normal,1491579221.0,0,,1.0,main_w4_handler1,3061885,15521914,False,,111,bed,114166,bed,9648405.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29119916}]","[{'src': 'hda', 'id': 29120376}]","""1e-09""","""""","""""",32.0,,37155655.0,1491579196.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.26.0.0,2.26.0.0,,2017-04-07 15:33:43.268342,,25.0
2017-04-10 21:11:30.824479,slurm_normal,1491858707.0,0,,1.0,main_w3_handler1,2788464,15546570,False,,514391,bed,4357893,bed,9671194.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 29155217}]","[{'src': 'hda', 'id': 29017026}]","""0.1""","""-A""","""""",32.0,,35333241.0,1491858702.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.26.0.0,2.26.0.0,,2017-04-10 21:11:50.303436,66832.0,5.0
2017-04-10 21:32:50.163864,slurm_normal,1491860059.0,0,,1.0,main_w4_handler0,2788464,15546791,False,,1523844,bed,3045040,bed,9671389.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 29155213}]","[{'src': 'hda', 'id': 28954857}]","""0.1""","""-A""","""""",32.0,,35333241.0,1491860053.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.26.0.0,2.26.0.0,,2017-04-10 21:34:59.883264,66832.0,6.0
