create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.input2,parameters.input2.values,parameters.out_format1,parameters.out_format2,parameters.out_format3,parameters.wordsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-06-10 15:44:51.584490,slurm_normal,1433951122.0,0.0,,1.0,main_w2_handler0,2336883,9627991,False,,425,fasta,85207,fasta,3938598.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19966257,,,19966255,,"""match""","""gff""","""gff""","""6""",32.0,,23564530,1433951118.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordmatch110/5.0.0,5.0.0,,2015-06-10 15:45:27.018523,,4.0
2015-06-10 15:50:47.300948,slurm_normal,1433951484.0,0.0,,1.0,main_w2_handler0,2336883,9628125,False,,442,fasta,85207,fasta,3938685.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19966490,,,19966255,,"""match""","""gff""","""gff""","""6""",32.0,,23564530,1433951480.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordmatch110/5.0.0,5.0.0,,2015-06-10 15:51:30.338644,,4.0
2015-06-11 12:30:26.564436,slurm_normal,1434025855.0,0.0,,1.0,main_w1_handler0,2337958,9633114,False,,442,fasta,85207,fasta,3944198.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19974644,,,19974645,,"""match""","""gff""","""gff""","""6""",32.0,,23583627,1434025852.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordmatch110/5.0.0,5.0.0,,2015-06-11 12:30:58.341083,,3.0
2015-08-18 03:09:06.622957,slurm_normal,1439867388.0,0.0,,1.0,main_w1_handler0,2411199,10138437,False,,824,fasta,809,fasta,4409416.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20807457,,,20807456,,"""match""","""gff""","""gff""","""4""",32.0,,24695213,1439867384.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordmatch110/5.0.0,5.0.0,,2015-08-18 03:09:53.563643,65190.0,4.0
2016-07-06 17:48:50.927951,slurm_normal,1467827380.0,0.0,,1.0,main_w2_handler1,2748255,13345995,False,,2312,fasta,8849,fasta,7555048.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5590b343c16e7d146'}]","""Mock24.txt""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b8dd9b3a08dfdaa2'}]","""match""","""gff""","""gff""","""6""",32.0,,31047820,1467827376.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordmatch110/5.0.0,5.0.0,,2016-07-06 17:49:47.098767,86540.0,4.0
2016-07-06 17:48:54.350722,slurm_normal,1467827392.0,0.0,,1.0,main_w1_handler1,2748255,13345997,False,,1202,fasta,8849,fasta,7555051.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5281f4bb277c9d248'}]","""Mayinga48.txt""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b8dd9b3a08dfdaa2'}]","""match""","""gff""","""gff""","""6""",32.0,,31047820,1467827376.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordmatch110/5.0.0,5.0.0,,2016-07-06 17:49:56.123123,86540.0,16.0
2016-07-06 17:59:27.573854,slurm_normal,1467828003.0,0.0,,1.0,main_w2_handler1,2748255,13346035,False,,2312,fasta,8849,fasta,7555087.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c776fa77fe0b081f'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b8dd9b3a08dfdaa2'}]","""match""","""gff""","""gff""","""6""",32.0,,31047820,1467827998.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordmatch110/5.0.0,5.0.0,,2016-07-06 18:00:08.452460,86540.0,5.0
2016-07-06 17:48:55.583211,slurm_normal,1467827381.0,0.0,,1.0,main_w2_handler1,2748255,13345998,False,,1258,fasta,8849,fasta,7555050.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cc3f338ea64f4ebd'}]","""Maygina24.txt""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b8dd9b3a08dfdaa2'}]","""match""","""gff""","""gff""","""6""",32.0,,31047820,1467827376.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordmatch110/5.0.0,5.0.0,,2016-07-06 17:49:47.131196,86540.0,5.0
2016-07-06 17:48:48.004839,slurm_normal,1467827380.0,0.0,,1.0,main_w2_handler1,2748255,13345993,False,,1036,fasta,8849,fasta,7555049.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cb87bc9b2815c110'}]","""Mock6.txt""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b8dd9b3a08dfdaa2'}]","""match""","""gff""","""gff""","""6""",32.0,,31047820,1467827376.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordmatch110/5.0.0,5.0.0,,2016-07-06 17:49:47.153292,86540.0,4.0
2016-07-06 17:48:53.044799,slurm_normal,1467827501.0,0.0,,1.0,main_w2_handler0,2748255,13345996,False,,1844,fasta,8849,fasta,7555046.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f5e5eb147ee1c34e'}]","""Mayinga6.txt""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b8dd9b3a08dfdaa2'}]","""match""","""gff""","""gff""","""6""",32.0,,31047820,1467827365.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: wordmatch110/5.0.0,5.0.0,,2016-07-06 17:51:45.217589,86540.0,136.0
