chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,file,file_filetype,file_list,file_list_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adv.alignments,parameters.adv.clip,parameters.adv.matepairDist,parameters.adv.maxID,parameters.adv.minID,parameters.adv.minlen,parameters.adv.readfilter,parameters.adv.region,parameters.adv.skip_technical,parameters.adv.split,parameters.adv.spotgroups,parameters.chromInfo,parameters.dbkey,parameters.file_list|__identifier__,parameters.file|__identifier__,parameters.input.__current_case__,parameters.input.accession,parameters.input.file.values,parameters.input.file_list.values,parameters.input.input_select,parameters.outputformat,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-05-30 07:02:02.343316,slurm_normal,1496127909.0,0,343750861.0,sra,,,,1.0,main_w3_handler1,3131679,15966013,False,,10062929.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,,"[{'src': 'hda', 'id': 29807070}]",,file,"""fastqsanger.gz""",32.0,,38233970.0,1496127733.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-30 07:05:10.315831,106683.0,176.0
,,2017-05-30 07:02:39.588890,slurm_normal,1496127989.0,0,414296226.0,sra,,,,1.0,main_w3_handler1,3131679,15966020,False,,10062937.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,,"[{'src': 'hda', 'id': 29813275}]",,file,"""fastqsanger.gz""",32.0,,38233970.0,1496127767.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-30 07:06:31.258998,106683.0,222.0
,,2017-05-30 07:02:57.470535,slurm_normal,1496128009.0,0,397544211.0,sra,,,,1.0,main_w3_handler0,3131679,15966023,False,,10062939.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,1,,"[{'src': 'hda', 'id': 29813278}]",,file,"""fastqsanger.gz""",32.0,,38233970.0,1496127787.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-30 07:06:50.181901,106683.0,222.0
,,2017-05-30 09:14:22.338195,slurm_normal,1496139495.0,0,,,,,,1.0,main_w4_handler0,3132585,15966610,False,,10063490.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,0,SRR925744,,,accession_number,"""fastqsanger.gz""",32.0,,38303475.0,1496135673.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-30 10:18:18.271450,106825.0,3822.0
,,2017-05-30 09:59:38.386505,slurm_normal,1496143119.0,0,,,,,,1.0,main_w3_handler0,3132625,15966864,False,,10063719.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,0,SRR925745,,,accession_number,"""fastqsanger.gz""",32.0,,38304238.0,1496138392.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-30 11:18:43.572838,106828.0,4727.0
,,2017-06-20 02:51:08.298322,slurm_normal,1497927163.0,0,,,,,,1.0,main_w4_handler1,3164206,16138846,False,,10218550.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,0,SRR1527419,,,accession_number,"""fastqsanger.gz""",32.0,,38384116.0,1497927117.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-06-20 02:52:46.688765,31580.0,46.0
,,2017-06-20 02:48:00.445936,slurm_normal,1497927170.0,0,,,,,,1.0,main_w3_handler0,3164202,16138809,False,,10218543.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,0,SRR1527070,,,accession_number,"""fastqsanger.gz""",32.0,,38384116.0,1497927055.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-06-20 02:52:57.220874,31580.0,115.0
,,2017-06-20 02:51:25.860728,slurm_normal,1497927383.0,0,,,,,,1.0,main_w3_handler0,3164206,16138847,False,,10218587.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,0,SRR1527420,,,accession_number,"""fastqsanger.gz""",32.0,,38384116.0,1497927330.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-06-20 02:56:28.921213,31580.0,53.0
,,2017-05-30 17:30:49.846164,slurm_normal,1496165841.0,0,,,,,,1.0,main_w3_handler0,3109904,15971016,False,,10067630.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,0,SRR1605917,,,accession_number,"""fastqsanger.gz""",32.0,,37953612.0,1496165483.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-30 17:37:25.693594,,358.0
,,2017-05-30 17:55:40.561992,slurm_normal,1496167546.0,0,,,,,,1.0,main_w3_handler0,3109904,15971252,False,,10067829.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,,0,SRR5061713,,,accession_number,"""fastqsanger.gz""",32.0,,37953612.0,1496166954.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.2,2.8.1.2,,2017-05-30 18:05:51.041314,,592.0
