create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.inputA.values,parameters.inputB.values,parameters.overlap,parameters.reciprocal,parameters.split,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-03-06 17:24:49.460555,slurm_normal,1488821098.0,0,1.0,main_w4_handler0,3016617,15221913,False,,292171,bed,692344,bed,9370608.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 28641462}]","[{'src': 'hda', 'id': 28641463}]","""1e-09""","""false""","""false""","""""",32.0,,36366215,1488821093.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.24.0,2.24.0,,2017-03-06 17:25:00.907068,37946.0,5.0
2016-10-14 13:05:42.271455,slurm_normal,1476450372.0,0,1.0,main_w4_handler1,2840969,14081978,False,,11837,bed,3741319,bed,8298302.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53d252c396cdb8a5a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b50c32c6d57deff553'}]","""1e-09""","""false""","""false""","""""",32.0,,33413038,1476450363.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.24.0,2.24.0,,2016-10-14 13:06:16.692117,91438.0,9.0
2016-10-14 13:06:58.673968,slurm_normal,1476450457.0,0,1.0,main_w3_handler1,2840969,14081987,False,,11837,bed,1737992,bed,8298314.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53d252c396cdb8a5a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b52ef9e175fd2d7366'}]","""1e-09""","""false""","""false""","""""",32.0,,33413038,1476450453.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.24.0,2.24.0,,2016-10-14 13:07:40.368721,91438.0,4.0
2016-10-14 13:07:11.253736,slurm_normal,1476450453.0,0,1.0,main_w3_handler0,2840969,14081988,False,,11837,bed,1639367,bed,8298313.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53d252c396cdb8a5a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5985529e4c0ba1565'}]","""1e-09""","""false""","""false""","""""",32.0,,33413038,1476450450.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.24.0,2.24.0,,2016-10-14 13:07:37.819739,91438.0,3.0
2016-10-14 12:56:30.306464,slurm_normal,1476449824.0,0,1.0,main_w3_handler0,2840969,14081892,False,,11837,bed,3182297,bed,8298243.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53d252c396cdb8a5a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b592cd683b55bd979f'}]","""1e-09""","""false""","""false""","""""",32.0,,33413038,1476449821.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.24.0,2.24.0,,2016-10-14 12:57:07.087547,91438.0,3.0
2016-10-14 13:08:18.085098,slurm_normal,1476450521.0,0,1.0,main_w4_handler1,2840969,14081994,False,,11837,bed,1330001,bed,8298321.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53d252c396cdb8a5a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5bc9e6f0f8920bf98'}]","""1e-09""","""false""","""false""","""""",32.0,,33413038,1476450515.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.24.0,2.24.0,,2016-10-14 13:08:42.899349,91438.0,6.0
2016-10-14 13:08:33.337920,slurm_normal,1476450532.0,0,1.0,main_w4_handler1,2840969,14081996,False,,11837,bed,3362301,bed,8298322.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53d252c396cdb8a5a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d5d05742dea372b7'}]","""1e-09""","""false""","""false""","""""",32.0,,33413038,1476450528.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.24.0,2.24.0,,2016-10-14 13:08:54.551761,91438.0,4.0
2016-10-14 13:07:36.625811,slurm_normal,1476450488.0,0,1.0,main_w4_handler0,2840969,14081992,False,,11837,bed,9190234,bed,8298317.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53d252c396cdb8a5a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b52797359dd2eef693'}]","""1e-09""","""false""","""false""","""""",32.0,,33413038,1476450483.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.24.0,2.24.0,,2016-10-14 13:08:09.615281,91438.0,5.0
2016-10-14 13:06:04.833365,slurm_normal,1476450393.0,0,1.0,main_w4_handler1,2840969,14081982,False,,11837,bed,4388861,bed,8298308.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53d252c396cdb8a5a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b57a85dbba365bf8ff'}]","""1e-09""","""false""","""false""","""""",32.0,,33413038,1476450389.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.24.0,2.24.0,,2016-10-14 13:06:36.507735,91438.0,4.0
2016-10-14 13:06:30.635616,slurm_normal,1476450418.0,0,1.0,main_w4_handler0,2840969,14081984,False,,11837,bed,3299664,bed,8298311.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53d252c396cdb8a5a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b592aae96c5ab16f25'}]","""1e-09""","""false""","""false""","""""",32.0,,33413038,1476450414.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.24.0,2.24.0,,2016-10-14 13:07:01.989036,91438.0,4.0
