bamfiles,bamfiles1,bamfiles10,bamfiles10_filetype,bamfiles11,bamfiles11_filetype,bamfiles12,bamfiles12_filetype,bamfiles13,bamfiles13_filetype,bamfiles14,bamfiles14_filetype,bamfiles15,bamfiles15_filetype,bamfiles16,bamfiles16_filetype,bamfiles17,bamfiles17_filetype,bamfiles18,bamfiles18_filetype,bamfiles19,bamfiles19_filetype,bamfiles1_filetype,bamfiles2,bamfiles20,bamfiles20_filetype,bamfiles2_filetype,bamfiles3,bamfiles3_filetype,bamfiles4,bamfiles4_filetype,bamfiles5,bamfiles5_filetype,bamfiles6,bamfiles6_filetype,bamfiles7,bamfiles7_filetype,bamfiles8,bamfiles8_filetype,bamfiles9,bamfiles9_filetype,bamfiles_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamfiles.values,parameters.chromInfo,parameters.dbkey,parameters.output.__current_case__,parameters.output.outFileFormat,parameters.output.saveRawCounts,parameters.output.showOutputSettings,parameters.region,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
3770701,3770701,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,bam,,,2017-01-10 15:23:02.179295,slurm_multi,1484061943.0,0,6.0,main_w4_handler2,2788086,14724383,False,,8893075,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27866254}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,no,"""""",32.0,,34733130,1484061916.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.3.6.0,2.3.6.0,,2017-01-10 15:25:44.950893,63628,27.0
3649316837,3649316837,,,,,,,,,,,,,,,,,,,,,bam,3612860827.0,,,bam,3418746296.0,bam,3720931193.0,bam,3034168145.0,bam,3394481851.0,bam,4174534090.0,bam,,,,,bam,,,2017-01-11 12:15:34.639461,slurm_multi,1484137379.0,0,6.0,main_w3_handler2,2388324,14739358,False,,8904279,slurm,,132112168.0,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 25064286}, {'src': 'hda', 'id': 25064292}, {'src': 'hda', 'id': 25065375}, {'src': 'hda', 'id': 25065376}, {'src': 'hda', 'id': 25117772}, {'src': 'hda', 'id': 25117775}, {'src': 'hda', 'id': 27596733}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",1,png,false,yes,"""""",32.0,,34695148,1484137034.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.3.6.0,2.3.6.0,,2017-01-11 12:23:00.076698,64160,345.0
13484322,13484322,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,bam,,,2016-11-01 15:17:50.073023,slurm_multi,1478013682.0,0,6.0,main_w3_handler2,2876957,14225431,False,,8435514,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b507c63ebd42384e94'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,no,"""""",32.0,,33960969,1478013656.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.3.6.0,2.3.6.0,,2016-11-01 15:21:24.044226,93261,26.0
7462727980,7462727980,,,,,,,,,,,,,,,,,,,,,bam,9918531422.0,,,bam,7978368412.0,bam,9358741612.0,bam,21699162261.0,bam,10387079429.0,bam,,,,,,,bam,,,2016-11-04 19:49:09.701245,slurm_multi,1478297957.0,0,6.0,main_w4_handler2,2881688,14256014,False,,8465213,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51f47ebac73d96a64'}, {'src': 'hda', 'id': 'bbd44e69cb8906b58f15266e84d68ed8'}, {'src': 'hda', 'id': 'bbd44e69cb8906b59d150cb6032ed81e'}, {'src': 'hda', 'id': 'bbd44e69cb8906b52c204a4b7969ca9f'}, {'src': 'hda', 'id': 'bbd44e69cb8906b511cda911ac8a86af'}, {'src': 'hda', 'id': 'bbd44e69cb8906b501605cf237dd9d07'}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,,,no,"""chr6""",32.0,,33899899,1478297012.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.3.6.0,2.3.6.0,,2016-11-04 22:19:21.617095,87789,945.0
152228471,152228471,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,bam,,,2016-11-04 13:34:37.675796,slurm_multi,1478268809.0,0,6.0,main_w4_handler2,2853541,14252197,False,,8461310,slurm,,132112168.0,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55bc21c59aa018552'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,png,false,yes,"""""",32.0,,33873511,1478268781.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.3.6.0,2.3.6.0,,2016-11-04 14:13:31.891302,92157,28.0
172724557,172724557,,,,,,,,,,,,,,,,,,,,,bam,121484510.0,,,bam,7458953.0,bam,7458953.0,bam,,,,,,,,,,,bam,,,2016-11-04 17:16:17.947605,slurm_multi,1478282127.0,0,6.0,main_w3_handler2,2880205,14254484,False,,8463302,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56c2a97ff6f70f8cb'}, {'src': 'hda', 'id': 'bbd44e69cb8906b58ccc063dd12830fc'}, {'src': 'hda', 'id': 'bbd44e69cb8906b58a2fbbb3bb30e60b'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5787695ec2fef7e31'}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,,,no,"""chr7:103739124:103940521""",32.0,,34069974,1478281552.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.3.6.0,2.3.6.0,,2016-11-04 17:55:31.031476,4519,575.0
2224571364,2224571364,,,,,,,,,,,,,,,,,,,,,bam,1740004834.0,,,bam,1977753365.0,bam,,,,,,,,,,,,,bam,,,2016-11-07 14:21:17.242415,slurm_multi,1478529689.0,0,6.0,main_w4_handler2,2841702,14274766,False,,8483363,slurm,,132112168.0,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c39d4e9ef3428fad'}, {'src': 'hda', 'id': 'bbd44e69cb8906b59aa49cabf526503e'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5c9d693182039bbdd'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,png,true,yes,"""""",32.0,,33968230,1478529337.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.3.6.0,2.3.6.0,,2016-11-07 14:41:33.585927,84687,352.0
1112355870,1112355870,710822043.0,bam,,,,,,,,,,,,,,,,,,,bam,1718413041.0,,,bam,1753778201.0,bam,905979527.0,bam,1812893545.0,bam,2013653010.0,bam,2028209856.0,bam,1921636630.0,bam,906760565.0,bam,bam,,,2017-01-13 22:34:53.137704,slurm_multi,1484348052.0,0,6.0,main_w4_handler2,2948021,14764774,False,,8928653,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 27831956}, {'src': 'hda', 'id': 27831963}, {'src': 'hda', 'id': 27831966}, {'src': 'hda', 'id': 27831970}, {'src': 'hda', 'id': 27831977}, {'src': 'hda', 'id': 27831980}, {'src': 'hda', 'id': 27831981}, {'src': 'hda', 'id': 27832002}, {'src': 'hda', 'id': 27832014}, {'src': 'hda', 'id': 27832017}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",1,png,false,yes,"""""",32.0,,35204014,1484347121.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.3.6.0,2.3.6.0,,2017-01-13 22:54:14.559167,71689,931.0
2115091874,2115091874,,,,,,,,,,,,,,,,,,,,,bam,2575151516.0,,,bam,,,,,,,,,,,,,,,bam,,,2016-11-18 11:22:29.692463,slurm_multi,1479469058.0,0,6.0,main_w3_handler2,2890574,14375840,False,,8581254,slurm,,132112168.0,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d7b2d4ccf3e9f37c'}, {'src': 'hda', 'id': 'bbd44e69cb8906b597d6ad71601f38bf'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,no,"""""",32.0,,34186490,1479468948.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.3.6.0,2.3.6.0,,2016-11-18 11:37:45.228202,94427,110.0
2532045165,2532045165,,,,,,,,,,,,,,,,,,,,,bam,2107456261.0,,,bam,2166098673.0,bam,,,,,,,,,,,,,bam,,,2016-11-17 17:42:24.173019,slurm_multi,1479444597.0,0,6.0,main_w3_handler2,2890574,14369429,False,,8578571,slurm,,132111800.0,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55715eee3519cadac'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5a0f776d1918eac61'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5b7251003547a5b80'}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",0,,,no,"""""",32.0,,34186490,1479444454.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.3.6.0,2.3.6.0,,2016-11-18 04:50:00.527117,94427,143.0
