create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,memtotal,object_store_id,param_filename,parameters.advancedOpt.__current_case__,parameters.advancedOpt.alpha,parameters.advancedOpt.averageTypeSummaryPlot,parameters.advancedOpt.colorList,parameters.advancedOpt.colorMap,parameters.advancedOpt.endLabel,parameters.advancedOpt.heatmapHeight,parameters.advancedOpt.heatmapWidth,parameters.advancedOpt.missingDataColor,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotTitle,parameters.advancedOpt.referencePointLabel,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.sortRegions,parameters.advancedOpt.sortUsing,parameters.advancedOpt.startLabel,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.clustering.k_kmeans,parameters.advancedOpt.used_multiple_regions.clustering.n_hclust,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.whatToShow,parameters.advancedOpt.xAxisLabel,parameters.advancedOpt.yAxisLabel,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.advancedOpt.zMax,parameters.advancedOpt.zMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.dpi,parameters.output.outFileFormat,parameters.output.saveMatrix,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-11 20:15:05.911203,slurm_normal,1476217130.0,0,1.0,main_w3_handler0,2833926,14057649,False,,8275067.roundup,slurm,,5722865,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,1.0,mean,,['Reds'],TES,12.5,7.5,black,false,,TSS,,,yes,descend,max,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,50,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59748a48bd94b4f38'}]",1,200,png,false,false,yes,32.0,,31606687,1476217106.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.5.0,2.3.5.0,,2016-10-11 20:18:52.844879,85504,24.0
2016-10-11 20:14:08.030996,slurm_normal,1476217299.0,0,1.0,main_w4_handler1,2849428,14057645,False,,8275094.roundup,slurm,,20290,deeptools_compute_matrix_archive,132112168.0,corral-repl,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50e8d6e68bb2818a9'}]",1,300,pdf,false,false,yes,32.0,,33035075,1476217262.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.5.0,2.3.5.0,,2016-10-11 20:21:43.740885,90536,37.0
2016-10-11 20:15:34.665243,slurm_normal,1476217490.0,0,1.0,main_w3_handler1,2849428,14057655,False,,8275113.roundup,slurm,,28032,deeptools_compute_matrix_archive,132112168.0,corral-repl,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53f93d7cb4daaca93'}]",1,300,pdf,false,false,yes,32.0,,33035075,1476217463.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.5.0,2.3.5.0,,2016-10-11 20:24:53.005563,90536,27.0
2016-10-11 20:35:55.243802,slurm_normal,1476218353.0,0,1.0,main_w4_handler0,2833926,14057768,False,,8275180.roundup,slurm,,5722743,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,1.0,max,,['Reds'],TES,12.5,7.5,black,false,,TSS,,,yes,descend,max,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,50,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51779caccd4ca83ac'}]",1,200,png,false,true,yes,32.0,,31606687,1476218317.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.5.0,2.3.5.0,,2016-10-11 20:39:16.395640,85504,36.0
2016-10-12 04:18:30.754545,slurm_normal,1476246228.0,0,1.0,main_w3_handler1,2685296,14060224,False,,8277156.roundup,slurm,,12401303,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,white,false,,TSS,,,yes,no,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f4180d3da5779576'}]",1,200,png,false,false,yes,32.0,,33468588,1476246195.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.5.0,2.3.5.0,,2016-10-12 04:23:49.170575,6531,33.0
2016-10-12 03:34:35.641129,slurm_normal,1476243545.0,0,1.0,main_w3_handler0,2408954,14059881,False,,8276835.roundup,slurm,,298538,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,1.0,mean,,['Blues'],TES,25.0,7.5,black,false,H3K4me1 24hpf,0,,,yes,descend,mean,TSS,0.0,0.0,kmeans,4,,no,"plot, heatmap and colorbar",distance from peak center,average,,,,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58ec98154860e767f'}]",1,200,png,false,true,yes,32.0,,33225411,1476243529.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.5.0,2.3.5.0,,2016-10-12 03:39:07.284883,65481,16.0
2016-10-12 03:48:27.923113,slurm_normal,1476244432.0,0,1.0,main_w3_handler1,2408954,14059916,False,,8276892.roundup,slurm,,765825,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,1.0,mean,,['Blues'],TES,25.0,7.5,black,false,H3K4me1 24hpf ,0,,,yes,no,mean,TSS,0.0,2.0,none,,,no,"plot, heatmap and colorbar",distance from peak center,average,,,,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5974cbd00be0dec62'}]",0,,,,,no,32.0,,33225411,1476244418.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.5.0,2.3.5.0,,2016-10-12 03:53:55.168086,65481,14.0
2016-10-12 04:03:20.841134,slurm_normal,1476287413.0,0,1.0,main_w3_handler1,2408954,14060084,False,,8281749.roundup,slurm,,699218,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,1.0,mean,,['Blues'],TES,25.0,7.5,black,false,H3K4me1 4.5hpf,0,,,yes,no,mean,TSS,0.0,2.0,none,,,no,"plot, heatmap and colorbar",distance from peak center,average,,,,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b599d6d33a21c3e55f'}]",0,,,,,no,32.0,,33225411,1476287386.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.5.0,2.3.5.0,,2016-10-12 15:50:17.917080,65481,27.0
2016-10-12 18:36:24.917854,slurm_normal,1476301219.0,0,1.0,main_w4_handler0,2586741,14066328,False,,8283839.roundup,slurm,,10614423,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,true,,TSS,,Pol-II Taf1,yes,descend,mean,TSS,0.0,0.0,kmeans,6,,no,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b575f665b161edb7b8'}]",1,200,png,false,false,yes,32.0,,33635418,1476301135.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.5.0,2.3.5.0,,2016-10-12 19:40:23.886243,77950,84.0
2016-10-13 06:03:55.659764,slurm_normal,1476338893.0,0,1.0,main_w4_handler1,2852919,14070014,False,,8287050.roundup,slurm,,896112,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,,TSS,,,yes,ascend,mean,TSS,0.0,0.0,kmeans,7,,no,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b579ff0af1fc12fac5'}]",1,300,eps,false,false,yes,32.0,,32088976,1476338801.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.5.0,2.3.5.0,,2016-10-13 06:08:15.685602,67966,92.0
