chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_bam,input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_bam.values,parameters.lower_limit,parameters.upper_limit,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-01-04 16:30:48.014180,slurm_normal,1515083497.0,0,,1.0,main_w4_handler1,2934619,17945532,False,,850931354,bam,12021624,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","[{'src': 'hda', 'id': 27720667}]","""25""","""250""",32.0,,41751955.0,1515083453.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/pe_histogram/pe_histogram/1.0.1,1.0.1,,2018-01-04 16:31:39.388518,46988.0,44.0
,,2018-01-24 02:15:10.937721,slurm_normal,1516764354.0,0,,1.0,main_w3_handler0,3403028,18139857,False,,1982161,bam,12220123,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19Patch10.len""","""hg19Patch10""","[{'src': 'hda', 'id': 33473038}]","""""","""""",32.0,,43396323.0,1516764330.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/pe_histogram/pe_histogram/1.0.1,1.0.1,,2018-01-24 03:25:55.973420,15586.0,24.0
,,2018-01-24 02:16:36.810230,slurm_normal,1516760476.0,0,,1.0,main_w3_handler0,3400407,18139865,False,,5738891119,bam,12219819,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 33454480}]","""200""","""500""",32.0,,43396323.0,1516760204.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/pe_histogram/pe_histogram/1.0.1,1.0.1,,2018-01-24 02:21:18.365902,15586.0,272.0
,,2018-01-08 22:20:08.620322,slurm_normal,1515450722.0,0,,1.0,main_w4_handler1,2922150,17976648,False,,2635078340,bam,12053160,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","[{'src': 'hda', 'id': 29223390}]","""50""","""500""",32.0,,41648724.0,1515450605.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/pe_histogram/pe_histogram/1.0.1,1.0.1,,2018-01-08 22:32:04.049421,46988.0,117.0
,,2018-01-08 22:20:09.342701,slurm_normal,1515450732.0,0,,1.0,main_w4_handler1,2922150,17976649,False,,2314157490,bam,12053162,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","[{'src': 'hda', 'id': 29226043}]","""50""","""500""",32.0,,41648724.0,1515450630.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/pe_histogram/pe_histogram/1.0.1,1.0.1,,2018-01-08 22:32:15.553195,46988.0,102.0
,,2017-11-03 16:55:46.022017,slurm_normal,1509728357.0,0,,1.0,main_w3_handler0,3215281,17320032,False,,2402891196,bam,11380097,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32013264}]","""""","""""",32.0,,41735235.0,1509728185.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/pe_histogram/pe_histogram/1.0.1,1.0.1,,2017-11-03 16:59:29.242889,107752.0,172.0
,,2017-11-03 16:55:49.604603,slurm_normal,1509728524.0,0,,1.0,main_w3_handler0,3215281,17320038,False,,1841873228,bam,11380157,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32013269}]","""""","""""",32.0,,41735235.0,1509728395.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/pe_histogram/pe_histogram/1.0.1,1.0.1,,2017-11-03 17:02:13.116574,107752.0,129.0
,,2017-11-03 16:55:47.490842,slurm_normal,1509728502.0,0,,1.0,main_w3_handler0,3215281,17320034,False,,1861785636,bam,11380155,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32013266}]","""""","""""",32.0,,41735235.0,1509728391.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/pe_histogram/pe_histogram/1.0.1,1.0.1,,2017-11-03 17:01:53.784792,107752.0,111.0
,,2017-11-03 16:55:48.540157,slurm_normal,1509728393.0,0,,1.0,main_w3_handler1,3215281,17320037,False,,1475996600,bam,11380101,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32013268}]","""""","""""",32.0,,41735235.0,1509728190.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/pe_histogram/pe_histogram/1.0.1,1.0.1,,2017-11-03 17:00:05.749979,107752.0,203.0
,,2017-11-03 16:55:50.242574,slurm_normal,1509728734.0,0,,1.0,main_w3_handler0,3215281,17320039,False,,2049648404,bam,11380220,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32013270}]","""""","""""",32.0,,41735235.0,1509728617.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/pe_histogram/pe_histogram/1.0.1,1.0.1,,2017-11-03 17:05:42.238649,107752.0,117.0
