chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-06-24 20:29:17.910521,slurm_normal,1435177808.0,0.0,1.0,main_w1_handler1,2354649,9726974,False,,685145,fasta,4033220,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20122813,,32.0,,23812899,1435177803.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-06-24 20:31:01.685369,,5.0
,,2015-06-26 22:24:47.358895,slurm_normal,1435357505.0,0.0,1.0,main_w2_handler1,2357084,9747268,False,,36675,fasta,4050199.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",20157225,,32.0,,23856468,1435357501.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-06-26 22:25:08.292948,,4.0
,,2015-06-27 14:53:01.281655,slurm_normal,1435417139.0,0.0,1.0,main_w2_handler0,2353085,9749372,False,,134059682,fasta,4052878.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/011/644/dataset_11644158.dat""","""0057""",20118412,,32.0,,23733048,1435416797.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-06-27 14:59:07.309652,48313.0,342.0
,,2015-06-27 16:54:55.598192,slurm_normal,1435424443.0,0.0,1.0,main_w1_handler1,2353085,9750055,False,,134059682,fasta,4053532.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/011/644/dataset_11644158.dat""","""0057""",20118412,,32.0,,23733048,1435424119.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-06-27 17:00:51.548218,48313.0,324.0
,,2015-05-25 19:14:30.518593,slurm_normal,1432581299.0,0.0,1.0,main_w1_handler1,2040005,9530026,False,,25676121,fasta,3844604.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19807337,,32.0,,23236734,1432581276.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-05-25 19:15:04.860932,25037.0,23.0
,,2015-07-01 18:49:41.884931,slurm_normal,1435776614.0,0.0,1.0,main_w2_handler0,2361408,9776385,False,,68,fasta,4078874.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20206720,,32.0,,23927741,1435776610.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-07-01 18:50:18.698979,65449.0,4.0
,,2015-06-09 17:38:58.192654,slurm_normal,1433871563.0,0.0,1.0,main_w1_handler2,2334423,9621455,False,,228,fasta,3932725.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19955462,,32.0,,23538275,1433871559.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-06-09 17:39:28.302291,34234.0,4.0
,,2015-06-09 18:47:31.560742,slurm_normal,1433875732.0,0.0,1.0,main_w1_handler2,2334423,9621915,False,,228,fasta,3933096.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19955462,,32.0,,23538275,1433875674.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-06-09 18:48:56.084788,34234.0,58.0
,,2015-06-09 18:40:21.469311,slurm_normal,1433875316.0,0.0,1.0,main_w1_handler0,2334423,9621881,False,,228,fasta,3933065.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19955462,,32.0,,23538275,1433875293.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-06-09 18:42:15.156667,34234.0,23.0
,,2015-08-17 13:17:13.270206,slurm_normal,1439817515.0,0.0,1.0,main_w2_handler0,2410414,10134346,False,,18225145,fasta,4405632.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20801271,,32.0,,24713736,1439817480.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-08-17 13:18:39.008177,67847.0,35.0
,,2015-08-25 04:06:20.588752,slurm_normal,1440475616.0,0.0,1.0,main_w2_handler0,2354951,10193735,False,,8324347,fasta,4463233.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20125807,,32.0,,23817787,1440475603.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-08-25 04:06:59.537032,62137.0,13.0
,,2015-08-25 04:08:17.705818,slurm_normal,1440475725.0,0.0,1.0,main_w2_handler1,2354951,10193737,False,,8137464,fasta,4463237.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20125808,,32.0,,23817787,1440475714.0,ok,1023996.0,CONVERTER_fasta_to_bowtie_base_index,1.0.0,,2015-08-25 04:08:49.071221,62137.0,11.0
