create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_database,input_database_filetype,input_motifs,input_motifs_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,options_type|bgfile,options_type|bgfile_filetype,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fasta_type.__current_case__,parameters.fasta_type.fasta_type_selector,parameters.fasta_type.input_database,parameters.fasta_type.input_database.values,parameters.input_motifs.values,parameters.non_commercial_use,parameters.options_type.__current_case__,parameters.options_type.alpha,parameters.options_type.bgfile_type.__current_case__,parameters.options_type.bgfile_type.bgfile.values,parameters.options_type.bgfile_type.bgfile_type_selector,parameters.options_type.max_stored_scores,parameters.options_type.max_strand,parameters.options_type.motif_pseudo,parameters.options_type.motifs_cond.__current_case__,parameters.options_type.motifs_cond.motifs_selector,parameters.options_type.no_qvalue,parameters.options_type.norc,parameters.options_type.options_type_selector,parameters.options_type.output_separate_motifs,parameters.options_type.parse_genomic_coord_cond.__current_case__,parameters.options_type.parse_genomic_coord_cond.parse_genomic_coord,parameters.options_type.parse_genomic_coord_cond.remove_duplicate_coords,parameters.options_type.prior_dist_cond.__current_case__,parameters.options_type.prior_dist_cond.prior_dist_selector,parameters.options_type.psp_cond.__current_case__,parameters.options_type.psp_cond.psp_selector,parameters.options_type.qv_thresh,parameters.options_type.thresh,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-09-08 18:47:49.173283,slurm_normal,1473360498.0,0,1.0,main_w3_handler0,2217144,13810087,False,,209194.0,fasta,649,memexml,8031051.roundup,slurm,,132112168.0,corral-repl,45.0,gg,,"""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57cbfb750f11eb070'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d399ff9391d1c683'}]","""true""",1,1.0,2.0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b581d9e1d29a95f95d'}]",bgfile,100000,false,0.1,0.0,yes,true,false,advanced,no,1.0,no,,0.0,no,0.0,no,false,0.01,32.0,,32849584,1473360490.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-09-08 18:48:24.867096,59767.0,8.0
2016-09-09 08:32:07.777798,slurm_normal,1473409960.0,0,1.0,main_w4_handler0,2217144,13813935,False,,209194.0,fasta,772,memexml,8035232.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57cbfb750f11eb070'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b503ed22c79e8553bd'}]","""true""",1,1.0,0.0,,motif_file,100000,false,0.1,0.0,yes,true,false,advanced,no,1.0,no,,0.0,no,0.0,no,false,0.01,32.0,,32849584,1473409947.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-09-09 08:32:44.620942,59767.0,13.0
2016-09-09 09:35:42.172541,slurm_normal,1473413782.0,0,1.0,main_w3_handler0,2217144,13814344,False,,2253823.0,fasta,772,memexml,8035697.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f1c57516369fea6d'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b503ed22c79e8553bd'}]","""true""",1,1.0,0.0,,motif_file,100000,false,0.1,0.0,yes,true,false,advanced,no,1.0,no,,0.0,no,0.0,no,false,0.01,32.0,,32849584,1473413766.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-09-09 09:36:30.275219,59767.0,16.0
2016-10-13 08:59:52.684360,slurm_normal,1476350529.0,0,1.0,main_w4_handler0,2841232,14071377,False,,,,178519,memexml,8288387.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,cached,hg19,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52094a32105a75b8d'}]","""true""",0,,,,,,,,,,,,basic,,,,,,,,,,,32.0,,33649301,1476349206.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-10-13 09:22:14.815234,92075.0,1323.0
2016-09-11 15:02:58.892394,slurm_normal,1473606221.0,0,1.0,main_w3_handler1,2217144,13824542,False,,2092329.0,fasta,1606,memexml,8046332.roundup,slurm,,132112168.0,corral-repl,45.0,gg,,"""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55841563fcd3210d6'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5da944dc50574a2f9'}]","""true""",1,1.0,2.0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b581d9e1d29a95f95d'}]",bgfile,100000,false,0.1,0.0,yes,true,false,advanced,no,1.0,no,,0.0,no,0.0,no,false,0.01,32.0,,32849584,1473606198.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-09-11 15:03:43.991111,59767.0,23.0
2016-09-11 16:14:10.887470,slurm_normal,1473610480.0,0,1.0,main_w3_handler1,2217144,13824823,False,,1140130.0,fasta,1606,memexml,8046615.roundup,slurm,,132112168.0,corral-repl,45.0,gg,,"""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ca9dfa725c4ae302'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5da944dc50574a2f9'}]","""true""",1,1.0,2.0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b581d9e1d29a95f95d'}]",bgfile,100000,false,0.1,0.0,yes,true,false,advanced,no,1.0,no,,0.0,no,0.0,no,false,0.01,32.0,,32849584,1473610466.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-09-11 16:14:42.725321,59767.0,14.0
2016-10-14 01:36:50.352229,slurm_normal,1476409152.0,0,1.0,main_w3_handler0,2853208,14078106,False,,96728.0,fasta,156288,memexml,8294840.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53ee4ee7751a3ebbe'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b560034ee9e6b758f7'}]","""true""",0,,,,,,,,,,,,basic,,,,,,,,,,,32.0,,33649963,1476409134.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-10-14 01:39:16.414310,,18.0
2016-10-14 16:35:02.980958,slurm_normal,1476462914.0,0,1.0,main_w3_handler0,2702820,14083429,False,,860969.0,fasta,284015,memexml,8300249.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b513b1777e1401b160'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c948ff1a0057fd71'}]","""true""",1,1.0,1.0,,default,100000,false,0.1,0.0,yes,true,false,advanced,no,1.0,no,,0.0,no,0.0,no,false,0.001,32.0,,32942487,1476462909.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-10-14 16:35:19.512949,19796.0,5.0
2017-03-19 12:08:56.833726,slurm_normal,1489925412.0,0,1.0,main_w4_handler1,3037269,15335496,False,,3675084.0,fasta,41633,memexml,9475675.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",1,history,,"[{'src': 'hda', 'id': 28824953}]","[{'src': 'hda', 'id': 28824958}]","""true""",0,,,,,,,,,,,,basic,,,,,,,,,,,32.0,,36707117,1489925396.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2017-03-19 12:10:20.538996,,16.0
2016-09-13 15:22:18.431541,slurm_normal,1473780176.0,0,1.0,main_w3_handler0,2217144,13842420,False,,1140130.0,fasta,1606,memexml,8065255.roundup,slurm,,132112168.0,corral-repl,45.0,gg,,"""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""",1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ca9dfa725c4ae302'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5da944dc50574a2f9'}]","""true""",1,1.0,2.0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b581d9e1d29a95f95d'}]",bgfile,100000,true,0.1,0.0,yes,true,false,advanced,no,1.0,no,,0.0,no,0.0,no,false,0.1,32.0,,32849584,1473780155.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.3,4.11.0.3,,2016-09-13 15:22:59.192162,59767.0,21.0
