create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,histdb,histdb_filetype,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.adv_opts.__current_case__,parameters.adv_opts.adv_optional_id_files_opts.__current_case__,parameters.adv_opts.adv_optional_id_files_opts.adv_optional_id_files_opts_selector,parameters.adv_opts.adv_opts_selector,parameters.adv_opts.db_gencode,parameters.adv_opts.filter_query,parameters.adv_opts.matrix,parameters.adv_opts.max_hits,parameters.adv_opts.max_hsps,parameters.adv_opts.parse_deflines,parameters.adv_opts.qcov_hsp_perc,parameters.adv_opts.word_size,parameters.blast_type,parameters.chromInfo,parameters.db_opts.__current_case__,parameters.db_opts.database,parameters.db_opts.db_opts_selector,parameters.db_opts.histdb,parameters.db_opts.histdb.values,parameters.db_opts.subject,parameters.db_opts.subject.values,parameters.dbkey,parameters.evalue_cutoff,parameters.output.__current_case__,parameters.output.out_format,parameters.query.values,processor_count,query,query_filetype,runner_name,session_id,start_epoch,state,subject,subject_filetype,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-03-09 12:38:15.498931,slurm_normal,1520599484.0,0,7680.0,1.0,main_w3_handler0,,,3457454,18671425,False,,12767919,slurm,,132112168.0,corral-repl,,1,0.0,none,advanced,1,true,BLOSUM62,1,1,false,100.0,0,"""tblastn-fast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""",2,,file,,,,"[{'src': 'hda', 'id': 34307213}]","""hg38""","""0.0001""",,,"[{'src': 'hda', 'id': 34310306}]",32.0,260355,fasta,,43957928,1520599103.0,ok,336879328.0,fasta,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastn_wrapper/0.2.01,0.2.01,,2018-03-09 12:44:46.793241,86263,381.0
2018-03-09 12:45:41.995247,slurm_normal,1520599899.0,0,7680.0,1.0,main_w3_handler1,,,3457454,18671465,False,,12767952,slurm,,132112168.0,corral-repl,,1,0.0,none,advanced,1,true,BLOSUM62,1,1,false,100.0,0,"""tblastn-fast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""",2,,file,,,,"[{'src': 'hda', 'id': 34307213}]","""hg38""","""0.0001""",,,"[{'src': 'hda', 'id': 34322844}]",32.0,269067,fasta,,43957928,1520599553.0,ok,336879328.0,fasta,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastn_wrapper/0.2.01,0.2.01,,2018-03-09 12:51:41.478972,86263,346.0
2018-03-09 13:10:48.385108,slurm_normal,1520601433.0,0,7680.0,1.0,main_w3_handler1,,,3457454,18671692,False,,12768185,slurm,,132112168.0,corral-repl,,1,0.0,none,advanced,1,true,BLOSUM62,1,1,false,95.0,0,"""tblastn-fast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""",2,,file,,,,"[{'src': 'hda', 'id': 34307213}]","""hg38""","""0.0001""",,,"[{'src': 'hda', 'id': 34322844}]",32.0,269067,fasta,,43957928,1520601056.0,ok,336879328.0,fasta,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastn_wrapper/0.2.01,0.2.01,,2018-03-09 13:17:15.060274,86263,377.0
2018-03-09 16:06:58.840764,slurm_normal,1520612078.0,0,7680.0,1.0,main_w3_handler1,,,3457454,18673682,False,,12769968,slurm,,132112168.0,corral-repl,,1,0.0,none,advanced,1,true,BLOSUM62,1,1,false,100.0,0,"""tblastn-fast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""",2,,file,,,,"[{'src': 'hda', 'id': 34307213}]","""hg38""","""0.01""",,,"[{'src': 'hda', 'id': 34322844}]",32.0,269067,fasta,,43957928,1520611630.0,ok,336879328.0,fasta,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastn_wrapper/0.2.01,0.2.01,,2018-03-09 16:14:39.985094,86263,448.0
2018-02-23 00:45:41.515043,slurm_normal,1519346771.0,0,7680.0,1.0,main_w4_handler1,,,3338917,18491175,False,,12586479,slurm,,132112168.0,corral-repl,,1,0.0,none,advanced,1,true,BLOSUM62,0,1,true,0.0,0,"""tblastn""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,,"""?""","""0.001""",0.0,6,"[{'src': 'hda', 'id': 34025060}]",32.0,554616,fasta,,44106311,1519346750.0,ok,,,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastn_wrapper/0.2.01,0.2.01,,2018-02-23 00:46:13.215803,99014,21.0
2018-02-23 02:58:49.958086,slurm_normal,1519364888.0,0,7680.0,1.0,main_w3_handler0,,,2036840,18492223,False,,12588261,slurm,,132112168.0,corral-repl,,0,,,basic,,,,,,,,,"""tblastn""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34023023}]",32.0,1629,fasta,,43945103,1519364884.0,ok,,,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastn_wrapper/0.2.01,0.2.01,,2018-02-23 05:48:10.955969,52619,4.0
2018-02-23 02:58:49.205214,slurm_normal,1519364351.0,0,7680.0,1.0,main_w3_handler0,,,2036840,18492220,False,,12588228,slurm,,132112168.0,corral-repl,,0,,,basic,,,,,,,,,"""tblastn""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34023011}]",32.0,1215,fasta,,43945103,1519364332.0,ok,,,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastn_wrapper/0.2.01,0.2.01,,2018-02-23 05:39:12.343099,52619,19.0
2018-02-23 02:58:49.689610,slurm_normal,1519367853.0,0,7680.0,1.0,main_w3_handler1,,,2036840,18492222,False,,12588531,slurm,,132112168.0,corral-repl,,0,,,basic,,,,,,,,,"""tblastn""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34023016}]",32.0,24366,fasta,,43945103,1519367850.0,ok,,,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastn_wrapper/0.2.01,0.2.01,,2018-02-23 06:37:35.196157,52619,3.0
2018-02-23 02:58:49.482752,slurm_normal,1519364521.0,0,7680.0,1.0,main_w3_handler0,,,2036840,18492221,False,,12588242,slurm,,132112168.0,corral-repl,,0,,,basic,,,,,,,,,"""tblastn""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34023013}]",32.0,6572,fasta,,43945103,1519364504.0,ok,,,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastn_wrapper/0.2.01,0.2.01,,2018-02-23 05:42:04.045654,52619,17.0
2018-02-23 02:58:48.953573,slurm_normal,1519367842.0,0,7680.0,1.0,main_w3_handler1,,,2036840,18492219,False,,12588530,slurm,,132112168.0,corral-repl,,0,,,basic,,,,,,,,,"""tblastn""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",0,"['13apr2014-htgs', '17apr2014-nt', '20apr2014-wgs', '/galaxy/data/blastdb/phiX/phiX']",db,,,,,"""?""","""0.001""",1.0,ext,"[{'src': 'hda', 'id': 34022998}]",32.0,213980,fasta,,43945103,1519367839.0,ok,,,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_tblastn_wrapper/0.2.01,0.2.01,,2018-02-23 06:37:24.790045,52619,3.0
