chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.score,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-08-10 15:12:31.247717,slurm_normal,1470842093.0,0.0,,1.0,main_w2_handler0,2790021,13637032,False,,77864,fasta,7850853.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54cbcf3385b68ba90'}]","""2""",32.0,,32136212.0,1470842081.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-08-10 15:14:55.032555,,12.0
,,2016-09-29 14:24:36.607167,slurm_normal,1475159175.0,0.0,,1.0,main_w4_handler1,2837429,13974443,False,,59455099,fasta,8193684.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5736629184a37f305'}]","""55""",32.0,,33328401.0,1475159155.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:26:18.436183,,20.0
,,2016-09-29 14:31:32.420585,slurm_normal,1475159598.0,0.0,,1.0,main_w3_handler0,2837424,13974548,False,,59455099,fasta,8193808.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ffea70e2c3ba2350'}]","""20""",32.0,,33328339.0,1475159569.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:33:22.517161,,29.0
,,2016-09-29 15:36:47.926620,slurm_normal,1475163488.0,0.0,,1.0,main_w3_handler0,2837420,13975303,False,,47377356,fasta,8194688.roundup,slurm,,132112168.0,corral-repl,,"""85c8bdda865a11e6a4bf005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b12af8ffac75fc1f'}]","""20""",32.0,,33333436.0,1475163470.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 15:38:12.783798,91224.0,18.0
,,2016-09-29 15:46:05.877577,slurm_normal,1475164052.0,0.0,,1.0,main_w3_handler0,2837405,13975462,False,,32537678,fasta,8194803.roundup,slurm,,132112168.0,corral-repl,,"""d1f11bd4865b11e6b309005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58f017a5b368c7506'}]","""30""",32.0,,33334033.0,1475164043.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 15:47:37.107378,91233.0,9.0
,,2016-09-29 15:48:10.442966,slurm_normal,1475164201.0,0.0,,1.0,main_w4_handler1,2837405,13975486,False,,32537678,fasta,8194819.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58f017a5b368c7506'}]","""50""",32.0,,33334033.0,1475164158.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 15:50:11.024446,91233.0,43.0
,,2016-09-29 15:48:36.838263,slurm_normal,1475164222.0,0.0,,1.0,main_w4_handler1,2837429,13975495,False,,30862428,fasta,8194834.roundup,slurm,,132112168.0,corral-repl,,"""27fc5106865c11e6813e005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e1c02219ab959274'}]","""55""",32.0,,33333432.0,1475164205.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 15:50:26.012580,91223.0,17.0
,,2016-10-23 08:48:02.027120,slurm_normal,1477212517.0,0.0,,1.0,main_w3_handler1,2865586,14150084,False,,171790,fasta,8362200.roundup,slurm,,132112168.0,corral-repl,,"""673c425a98fd11e6b5bf005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f46e0646b9bbd4d3'}]","""17""",32.0,,33860870.0,1477212513.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-10-23 08:48:38.543871,91458.0,4.0
,,2016-09-29 13:48:37.811031,slurm_normal,1475157097.0,0.0,,1.0,main_w3_handler1,2837431,13974081,False,,59455099,fasta,8193213.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b0d289326745e225'}]","""17""",32.0,,33328530.0,1475157007.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 13:51:39.499666,,90.0
,,2016-09-29 14:14:03.095664,slurm_normal,1475158633.0,0.0,,1.0,main_w4_handler1,2837406,13974350,False,,59455099,fasta,8193553.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c4b9bf7f2323b265'}]","""17""",32.0,,33328040.0,1475158560.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:17:16.624834,,73.0
,,2016-09-29 14:18:45.935186,slurm_normal,1475158902.0,0.0,,1.0,main_w3_handler0,2837406,13974380,False,,59455099,fasta,8193620.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c4b9bf7f2323b265'}]","""100""",32.0,,33328040.0,1475158882.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:21:45.204540,,20.0
,,2016-09-29 14:07:58.623413,slurm_normal,1475158170.0,0.0,,1.0,main_w4_handler1,2837398,13974265,False,,59455099,fasta,8193462.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b524f0c1420b4470d0'}]","""20""",32.0,,33327856.0,1475158153.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:09:34.187850,,17.0
,,2016-09-29 14:16:38.798646,slurm_normal,1475158685.0,0.0,,1.0,main_w4_handler1,2837399,13974368,False,,59455099,fasta,8193573.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f66d404e63269860'}]","""20""",32.0,,33327897.0,1475158674.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:18:09.221441,,11.0
,,2016-09-29 14:19:54.681999,slurm_normal,1475158891.0,0.0,,1.0,main_w4_handler1,2837416,13974389,False,,59455099,fasta,8193614.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52ba60966912b47ae'}]","""45""",32.0,,33328193.0,1475158866.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:21:34.050999,,25.0
,,2016-09-29 14:19:22.912045,slurm_normal,1475158834.0,0.0,,1.0,main_w3_handler1,2837402,13974387,False,,59455099,fasta,8193610.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51f261fdd6ce942d6'}]","""17""",32.0,,33327960.0,1475158825.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:20:41.252179,,9.0
,,2016-09-29 14:22:49.644673,slurm_normal,1475159069.0,0.0,,1.0,main_w4_handler0,2837433,13974419,False,,59455099,fasta,8193652.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f31668640614767d'}]","""20""",32.0,,33328570.0,1475159030.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:24:32.849546,,39.0
,,2016-09-29 14:22:09.885496,slurm_normal,1475159005.0,0.0,,1.0,main_w4_handler0,2837434,13974412,False,,59455099,fasta,8193638.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f5b7ea1d9a248cc3'}]","""17""",32.0,,33328647.0,1475158984.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:23:28.275776,,21.0
,,2016-09-29 14:22:34.920169,slurm_normal,1475159043.0,0.0,,1.0,main_w3_handler1,2837415,13974415,False,,59455099,fasta,8193647.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c6ddb23fbba14d53'}]","""17""",32.0,,33328156.0,1475159017.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:24:08.606920,,26.0
,,2016-09-29 14:21:12.157243,slurm_normal,1475159093.0,0.0,,1.0,main_w4_handler1,2837432,13974401,False,,59455099,fasta,8193632.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b555ebdee573a295d2'}]","""17""",32.0,,33328569.0,1475158962.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:24:56.742568,,131.0
,,2016-09-29 14:22:56.948661,slurm_normal,1475159161.0,0.0,,1.0,main_w3_handler1,2837415,13974421,False,,59455099,fasta,8193660.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c6ddb23fbba14d53'}]","""50""",32.0,,33328156.0,1475159060.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:26:04.774351,,101.0
,,2016-09-29 14:24:36.303574,slurm_normal,1475159227.0,0.0,,1.0,main_w4_handler0,2837419,13974440,False,,59455099,fasta,8193693.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5137ea410a4b96305'}]","""17""",32.0,,33328247.0,1475159183.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:27:12.765802,,44.0
,,2016-09-29 14:24:38.036790,slurm_normal,1475159174.0,0.0,,1.0,main_w4_handler1,2837407,13974444,False,,59455099,fasta,8193685.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53133a46f90950e5a'}]","""40""",32.0,,33328058.0,1475159156.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:26:18.420398,,18.0
,,2016-09-29 14:25:59.860451,slurm_normal,1475159263.0,0.0,,1.0,main_w4_handler1,2837420,13974474,False,,59455099,fasta,8193715.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d824c0b6c1dfaaf6'}]","""20""",32.0,,33328266.0,1475159242.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgseek58/5.0.0,5.0.0,,2016-09-29 14:27:48.875415,,21.0
