create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.addition.__current_case__,parameters.addition.addition_select,parameters.addition.b,parameters.addition.l,parameters.addition.r,parameters.chromInfo,parameters.dbkey,parameters.genome,parameters.genome.values,parameters.input,parameters.input.values,parameters.pct,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-04-26 18:28:41.249761,slurm_normal,1461695369.0,0,1.0,41450,bed,main_w1_handler2,2685364,12626201,False,,41450,bed,6830235.roundup,slurm,,132112168.0,corral-repl,,0,b,1000,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55d206c40b0c3420e'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55d206c40b0c3420e'}]","""false""","""false""",32.0,,29843861,1461695339.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.22.0,2.22.0,,2016-04-26 18:29:33.086735,,30.0
2016-04-27 12:26:47.317466,slurm_normal,1461760039.0,0,1.0,93554,bed,main_w2_handler1,2685364,12643754,False,,93554,bed,6848488.roundup,slurm,,132112168.0,corral-repl,,0,b,1000,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a8cc68732f766d1b'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a8cc68732f766d1b'}]","""false""","""false""",32.0,,29843861,1461760036.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.22.0,2.22.0,,2016-04-27 12:27:23.545851,,3.0
2016-04-27 12:31:25.831488,slurm_normal,1461760309.0,0,1.0,93554,bed,main_w1_handler0,2685364,12643775,False,,93554,bed,6848551.roundup,slurm,,132112168.0,corral-repl,,0,b,1000,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59a76eed7135404cc'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59a76eed7135404cc'}]","""false""","""false""",32.0,,29843861,1461760306.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.22.0,2.22.0,,2016-04-27 12:31:51.685422,,3.0
2016-04-27 12:35:43.128443,slurm_normal,1461760569.0,0,1.0,93554,bed,main_w1_handler0,2685364,12643896,False,,93554,bed,6848640.roundup,slurm,,132112168.0,corral-repl,,0,b,1000,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59229e57615024afa'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59229e57615024afa'}]","""false""","""false""",32.0,,29843861,1461760566.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.22.0,2.22.0,,2016-04-27 12:36:11.678873,,3.0
2016-04-27 12:40:03.979672,slurm_normal,1461760828.0,0,1.0,93554,bed,main_w2_handler1,2685364,12643958,False,,93554,bed,6848736.roundup,slurm,,132112168.0,corral-repl,,0,b,1000,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b574f7a4a3b57ede1e'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b574f7a4a3b57ede1e'}]","""false""","""false""",32.0,,29843861,1461760824.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.22.0,2.22.0,,2016-04-27 12:40:29.380321,,4.0
2016-04-27 12:45:06.379709,slurm_normal,1461761135.0,0,1.0,29801,bed,main_w1_handler0,2685364,12644071,False,,29801,bed,6848883.roundup,slurm,,132112168.0,corral-repl,,0,b,500,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b568de84ee2f01b129'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b568de84ee2f01b129'}]","""false""","""false""",32.0,,29843861,1461761132.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.22.0,2.22.0,,2016-04-27 12:45:40.152162,,3.0
2016-04-27 14:42:24.178349,slurm_normal,1461768170.0,0,1.0,1971,gg,main_w2_handler1,2502735,12646158,False,,4821,bed,6851441.roundup,slurm,,132112168.0,corral-repl,,1,lr,,1999,0,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e3a5c0d1fc813883'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5eebd0deb89832069'}]","""false""","""false""",32.0,,29577483,1461768165.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.22.0,2.22.0,,2016-04-27 14:43:01.336065,55649.0,5.0
2016-04-27 14:42:41.331352,slurm_normal,1461768189.0,0,1.0,1971,gg,main_w2_handler1,2502735,12646163,False,,4821,bed,6851449.roundup,slurm,,132112168.0,corral-repl,,1,lr,,0,1999,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e3a5c0d1fc813883'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5eebd0deb89832069'}]","""false""","""false""",32.0,,29577483,1461768184.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.22.0,2.22.0,,2016-04-27 14:43:18.087413,55649.0,5.0
2016-04-27 19:38:30.857928,slurm_normal,1461785934.0,0,1.0,365,gg,main_w1_handler1,2425574,12654944,False,,2707553,bed,6856739.roundup,slurm,,132112168.0,corral-repl,,1,lr,,500,0,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5876e920ded8d5fe7'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58b07868891814db5'}]","""false""","""true""",32.0,,29883408,1461785928.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.22.0,2.22.0,,2016-04-27 19:38:58.150418,3301.0,6.0
2016-04-27 21:43:08.232121,slurm_normal,1461793415.0,0,1.0,365,gg,main_w1_handler0,2425574,12658538,False,,25930,bed,6858374.roundup,slurm,,132112168.0,corral-repl,,1,lr,,500,0,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5876e920ded8d5fe7'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ffbf733e7eb152d4'}]","""false""","""true""",32.0,,29883408,1461793411.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_flankbed/2.22.0,2.22.0,,2016-04-27 21:43:38.593164,3301.0,4.0
