create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.genome.values,parameters.intervals,parameters.length,parameters.seed.__current_case__,parameters.seed.seed,parameters.seed.seed_choose,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-06-29 11:20:38.496644,slurm_normal,1467199290.0,0,1.0,31463645,interval,main_w2_handler0,2438303,13286267,False,,7481191.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5977fa291b0365e1a'}]","""1000000""","""500""",1,,False,32.0,,31164924,1467199271.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-06-29 11:21:33.114154,68500.0,19.0
2016-06-29 11:29:02.767361,slurm_normal,1467199813.0,0,1.0,31463645,interval,main_w1_handler0,2438303,13286314,False,,7481256.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5977fa291b0365e1a'}]","""1000000""","""600""",1,,False,32.0,,31164924,1467199800.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-06-29 11:30:15.651326,68500.0,13.0
2016-10-15 00:38:37.657688,slurm_normal,1476491947.0,0,1.0,328256228,bed,main_w4_handler1,2835343,14086577,False,,8303379.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5858059907b46a395'}]","""1000000""","""100""",1,,False,32.0,,33659886,1476491920.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-10-15 00:39:11.603384,61250.0,27.0
2016-10-15 00:40:03.853650,slurm_normal,1476492044.0,0,1.0,328256228,bed,main_w4_handler0,2835343,14086581,False,,8303384.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5858059907b46a395'}]","""4139600""","""100""",1,,False,32.0,,33659886,1476492007.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-10-15 00:40:46.522425,61250.0,37.0
2016-07-11 20:47:30.298144,slurm_normal,1468270096.0,0,1.0,35566458,bed,main_w2_handler0,2754938,13378558,False,,7589453.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5341c1d6d1cc2311a'}]","""1000000""","""2000""",1,,False,32.0,,31218830,1468270085.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-07-11 20:48:18.105086,86849.0,11.0
2016-09-19 09:32:41.369824,slurm_normal,1474277619.0,0,1.0,856,gg,main_w3_handler0,2822196,13881370,False,,8104545.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b51a4edab9d84243e2'}]","""100000""","""1276""",1,,False,32.0,,32958211,1474277583.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-09-19 09:33:55.688563,20918.0,36.0
2016-09-19 15:41:38.732738,slurm_normal,1474299770.0,0,1.0,76857,bed,main_w4_handler1,2824934,13884722,False,,8108345.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53d86c95c5698421d'}]","""5558""","""470""",1,,False,32.0,,33030810,1474299749.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-09-19 15:42:53.086670,,21.0
2016-09-19 16:02:11.971302,slurm_normal,1474300968.0,0,1.0,15,bed,main_w4_handler0,2824934,13884875,False,,8108468.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5baf2a67277115fa5'}]","""6008""","""175""",1,,False,32.0,,33030810,1474300963.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-09-19 16:02:51.063123,,5.0
2016-09-19 15:58:07.042958,slurm_normal,1474300708.0,0,1.0,15,bed,main_w4_handler1,2824934,13884815,False,,8108435.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5baf2a67277115fa5'}]","""6008""","""175""",1,,False,32.0,,33030810,1474300704.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-09-19 15:58:33.203033,,4.0
2016-09-19 15:33:03.581447,slurm_normal,1474299254.0,0,1.0,15,bed,main_w4_handler0,2824934,13884652,False,,8108260.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5baf2a67277115fa5'}]","""6000""","""175""",1,,False,32.0,,33030810,1474299199.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-09-19 15:34:18.480882,,55.0
2016-09-19 15:40:44.434091,slurm_normal,1474299731.0,0,1.0,15,bed,main_w3_handler0,2824934,13884717,False,,8108337.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5baf2a67277115fa5'}]","""2244""","""325""",1,,False,32.0,,33030810,1474299658.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-09-19 15:42:13.838830,,73.0
2016-08-09 06:46:56.176581,slurm_normal,1470725318.0,0,1.0,1061979,bed,main_w1_handler0,2784668,13626703,False,,7839281.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","[{'src': 'hda', 'id': 'bbd44e69cb8906b562a3d73b2cae4de4'}]","""3028""","""80000""",1,,False,32.0,,31721770,1470725315.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-08-09 06:48:42.447417,65191.0,3.0
2016-08-09 21:58:55.085214,slurm_normal,1470780110.0,0,1.0,23385651,bed,main_w1_handler1,2789439,13633299,False,,7846914.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 'bbd44e69cb8906b525fea620d1ba841d'}]","""1000""","""12""",1,,False,32.0,,32121589,1470780106.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-08-09 22:01:52.565088,,4.0
2016-08-09 22:10:00.843582,slurm_normal,1470780795.0,0,1.0,4878594,bed,main_w2_handler1,2789439,13633347,False,,7846983.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a08ab5755462b1aa'}]","""1000""","""10""",1,,False,32.0,,32121589,1470780784.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-08-09 22:13:18.858336,,11.0
2016-08-10 06:10:52.196705,slurm_normal,1470809541.0,0,1.0,1079834,bed,main_w2_handler1,2789676,13634692,False,,7848289.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5234fbe899c6f7c9e'}]","""3028""","""80000""",1,,False,32.0,,31721770,1470809536.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-08-10 06:12:22.792788,65191.0,5.0
2016-08-14 04:23:18.451513,slurm_normal,1471148611.0,0,1.0,149041,bed,main_w1_handler1,2776915,13658708,False,,7874857.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d3bdb36b5ac7005a'}]","""15000""","""100""",1,,False,32.0,,31745742,1471148606.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_randombed/2.24.0,2.24.0,,2016-08-14 04:23:34.051560,65128.0,5.0
