create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.amphipathic,parameters.chromInfo,parameters.dbkey,parameters.diamonds,parameters.input1,parameters.input1.values,parameters.octags,parameters.squares,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-23 20:19:25.939457,rodeo_normal,1427141987.0,0.0,1.0,main_w1_handler0,2246310,9018345,False,,2030,fasta,3298613.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",18966486,,"""HKR ""","""ILVM""",32.0,,21977764,1427141981.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepnet70/5.0.0,5.0.0,,2015-03-23 20:19:50.195439,4690.0,6.0
2015-08-05 16:20:36.983332,slurm_normal,1438791780.0,0.0,1.0,main_w2_handler0,2288868,10068186,False,,42,txt,4346534.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",20694776,,"""HKR ""","""ILVM""",32.0,,24182885,1438791674.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepnet70/5.0.0,5.0.0,,2015-08-05 16:24:27.922954,62515.0,106.0
2015-09-09 18:27:00.857196,slurm_normal,1441823252.0,0.0,1.0,main_w1_handler1,2433627,10289072,False,,1105,fasta,4574413.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",21061648,,"""HKR ""","""ILVM""",32.0,,25091318,1441823247.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepnet70/5.0.0,5.0.0,,2015-09-09 18:27:36.669658,,5.0
2015-09-09 18:34:46.562139,slurm_normal,1441823731.0,0.0,1.0,main_w2_handler1,2433627,10289144,False,,1105,fasta,4574478.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",21061648,,"""HKR ""","""ILVM""",32.0,,25091495,1441823708.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepnet70/5.0.0,5.0.0,,2015-09-09 18:35:33.297275,54638.0,23.0
2015-10-14 23:24:58.976512,slurm_normal,1444865126.0,0.0,1.0,main_w1_handler2,2471131,10575975,False,,923,fasta,4846888.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",21524138,,"""HKR ""","""ILVM""",32.0,,25684143,1444865120.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepnet70/5.0.0,5.0.0,,2015-10-14 23:25:27.753675,27530.0,6.0
2015-10-17 19:34:45.124060,slurm_normal,1445110505.0,0.0,1.0,main_w1_handler0,2474595,10615232,False,,1609,txt,4884451.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",21581366,,"""HKR ""","""ILVM""",32.0,,25730795,1445110498.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepnet70/5.0.0,5.0.0,,2015-10-17 19:35:08.632496,,7.0
2015-11-03 21:21:56.433945,slurm_normal,1446585796.0,0.0,1.0,main_w2_handler0,2494311,10811172,False,,36983,fasta,5066491.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",21862140,,"""HKR ""","""ILVM""",32.0,,26074369,1446585742.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepnet70/5.0.0,5.0.0,,2015-11-03 21:23:20.047908,,54.0
2016-09-23 12:53:19.957252,slurm_normal,1474635370.0,0.0,1.0,main_w4_handler0,2822279,13924927,False,,505,fasta,8147276.roundup,slurm,,132112168.0,corral-repl,,"""b1ef9898818c11e6b7c9005056a52a46""","""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55b756a6bdfc17841'}]","""HKR ""","""ILVM""",32.0,,33121678,1474635362.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepnet70/5.0.0,5.0.0,,2016-09-23 12:56:13.467458,90323.0,8.0
2016-09-23 12:58:19.727860,slurm_normal,1474635716.0,0.0,1.0,main_w3_handler1,2822274,13925149,False,,1471,fasta,8147468.roundup,slurm,,132112168.0,corral-repl,,"""64b1d716818d11e6b21f005056a51846""","""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5138a5411ca614b72'}]","""HKR ""","""ILVM""",32.0,,33121676,1474635702.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepnet70/5.0.0,5.0.0,,2016-09-23 13:01:57.190811,90319.0,14.0
2016-08-03 02:07:57.436963,slurm_normal,1470190099.0,0.0,1.0,main_w1_handler1,2783230,13570624,False,,1213,fasta,7779223.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""DENQST""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b539973dcb1b669a31'}]","""HKR ""","""ILVM""",32.0,,31927372,1470190095.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepnet70/5.0.0,5.0.0,,2016-08-03 02:08:22.360956,,4.0
2014-12-09 13:28:32.189386,rodeo_normal,1418131719.0,0.0,1.0,main_w1_handler1,2142661,8379987,False,,444,fasta,511752.rodeo,slurm,,16332532.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""DENQST""",17877619,,"""HKR ""","""ILVM""",2.0,,19785640,1418131715.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepnet70/5.0.0,5.0.0,,2014-12-09 13:28:42.124623,10514.0,4.0
2017-10-25 08:22:09.498950,slurm_normal,1508919759.0,0.0,1.0,main_w4_handler1,3297989,17207981,False,,17883,fasta,11268053,slurm,,132112168.0,corral-repl,,,"""no""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/arabidopsis.len""","""arabidopsis""","""DENQST""",,"[{'src': 'hda', 'id': 31870610}]","""HKR ""","""ILVM""",32.0,,41487665,1508919754.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepnet70/5.0.0,5.0.0,,2017-10-25 08:22:43.162828,114356.0,5.0
2018-01-17 03:09:35.722288,slurm_normal,1516158586.0,0.0,1.0,main_w3_handler1,2433627,18055708,False,,1105,fasta,12133171,slurm,,132112168.0,corral-repl,,,"""no""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""DENQST""",,"[{'src': 'hda', 'id': 21061648}]","""HKR ""","""ILVM""",32.0,,43237238,1516158580.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepnet70/5.0.0,5.0.0,,2018-01-17 03:09:48.364918,54638.0,6.0
2018-01-17 03:10:50.091096,slurm_normal,1516158660.0,0.0,1.0,main_w4_handler0,2433627,18055715,False,,1105,fasta,12133178,slurm,,132112168.0,corral-repl,,,"""no""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""DENQST""",,"[{'src': 'hda', 'id': 21061648}]","""HKR ""","""ILVM""",32.0,,43237238,1516158654.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepnet70/5.0.0,5.0.0,,2018-01-17 03:11:02.699988,54638.0,6.0
