create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.aligner,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.phone,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-03-06 09:05:29.318740,slurm_multi,1520404480.0,0,30720.0,6.0,main_w3_handler2,3453422,18620324,False,,8389708768,tabular,12716716,slurm,,132112168.0,corral-repl,,0,no,"""827dcdc8211d11e89baf005056ba2773""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34233475}]","""true""",32.0,,,1520327816.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-03-07 06:34:43.612930,84316,76664.0
2018-03-07 10:06:48.529673,slurm_multi,1520417258.0,0,30720.0,6.0,main_w3_handler2,3449094,18637103,False,,314890152,tabular,12733424,slurm,,132111800.0,corral-repl,,0,no,,"""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34261461}]","""false""",32.0,,43622766.0,1520417249.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-03-07 10:07:42.735321,119480,9.0
2018-03-07 10:06:49.609832,slurm_multi,1520417266.0,0,30720.0,6.0,main_w3_handler2,3449094,18637105,False,,315670676,tabular,12733425,slurm,,132109816.0,corral-repl,,0,no,,"""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34261463}]","""false""",32.0,,43622766.0,1520417255.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-03-07 10:07:49.051922,119480,11.0
2018-03-07 10:06:50.893368,slurm_multi,1520417276.0,0,30720.0,6.0,main_w3_handler2,3449094,18637107,False,,319326910,tabular,12733427,slurm,,132111800.0,corral-repl,,0,no,,"""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34261465}]","""false""",32.0,,43622766.0,1520417268.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-03-07 10:07:57.893084,119480,8.0
2018-03-07 12:11:50.340947,slurm_multi,1520459768.0,0,30720.0,6.0,main_w4_handler2,3453831,18638412,False,,7651189846,tabular,12734889,slurm,,132112168.0,corral-repl,,0,no,"""b45a1142220011e8ac8c005056ba2773""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34263370}]","""true""",32.0,,,1520426340.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-03-07 21:56:10.574349,84316,33428.0
2018-01-19 19:20:44.093292,slurm_multi,1516389669.0,0,,6.0,main_w3_handler2,3014095,18087311,False,,2158,tabular,12166661,slurm,,132112168.0,corral-repl,,0,no,,"""mafft""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33396479}]","""false""",32.0,,43058929.0,1516389652.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-01-19 19:21:10.870104,24894,17.0
2018-01-19 21:15:52.430238,slurm_multi,1516426426.0,0,,6.0,main_w4_handler2,3398635,18088585,False,,3980066390,tabular,12168147,slurm,,132112168.0,corral-repl,,0,no,"""e8499c38fd5d11e7bb66005056ba2773""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33398978}]","""false""",32.0,,,1516397617.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-01-20 05:33:48.740378,73233,28809.0
2018-01-19 21:19:10.904355,slurm_multi,1516428229.0,0,,6.0,main_w4_handler2,3398638,18088741,False,,4102111330,tabular,12168178,slurm,,132112168.0,corral-repl,,0,no,"""5f884b0afd5e11e7ac5a005056ba55fb""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33399179}]","""false""",32.0,,,1516397851.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-01-20 06:03:51.844738,73233,30378.0
2018-01-19 21:18:08.482306,slurm_multi,1516428401.0,0,,6.0,main_w3_handler2,3398637,18088691,False,,4768361584,tabular,12170586,slurm,,132111800.0,corral-repl,,0,no,"""3c2ba0d0fd5e11e7ac5a005056ba55fb""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33399110}]","""false""",32.0,,,1516426432.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-01-20 06:06:43.661504,73233,1969.0
2018-01-22 11:19:27.764243,slurm_multi,1516669729.0,0,,6.0,main_w4_handler2,3400461,18117506,False,,7325604192,tabular,12197433,slurm,,132109816.0,corral-repl,,0,no,"""18e5b85eff6611e782cb005056ba55fb""","""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33438994}]","""true""",32.0,,,1516621887.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-01-23 01:08:50.860181,84316,47842.0
