chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.hwindow,parameters.input1,parameters.input1.values,parameters.plot_type,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-01-18 08:28:57.549097,slurm_normal,1516264149.0,1.0,,1.0,main_w4_handler1,3396310,18069459,False,,360,fasta,12148028,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""9""",,"[{'src': 'hda', 'id': 33365844}]","""-generalplot yes -hydropathyplot no""",32.0,,43273082.0,1516264146.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepinfo69/5.0.0,5.0.0,,2018-01-18 08:29:14.456583,,3.0
,,2018-01-18 08:38:16.340628,slurm_normal,1516264706.0,1.0,,1.0,main_w4_handler0,3396322,18069580,False,,360,fasta,12148134,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""9""",,"[{'src': 'hda', 'id': 33366113}]","""-generalplot no -hydropathyplot yes""",32.0,,43273101.0,1516264701.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepinfo69/5.0.0,5.0.0,,2018-01-18 08:38:27.666284,,5.0
,,2018-01-18 08:31:32.008184,slurm_normal,1516264299.0,1.0,,1.0,main_w4_handler0,3396318,18069477,False,,355,fasta,12148051,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""9""",,"[{'src': 'hda', 'id': 33365964}]","""-generalplot yes -hydropathyplot no""",32.0,,43273094.0,1516264295.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepinfo69/5.0.0,5.0.0,,2018-01-18 08:31:40.615313,,4.0
,,2018-01-18 08:39:19.415428,slurm_normal,1516264771.0,1.0,,1.0,main_w4_handler1,3396324,18069592,False,,360,fasta,12148149,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""9""",,"[{'src': 'hda', 'id': 33366132}]","""-generalplot yes -hydropathyplot no""",32.0,,43273102.0,1516264767.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepinfo69/5.0.0,5.0.0,,2018-01-18 08:39:32.925197,,4.0
,,2018-01-18 08:33:56.496834,slurm_normal,1516264444.0,1.0,,1.0,main_w4_handler1,3396321,18069515,False,,355,fasta,12148071,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""9""",,"[{'src': 'hda', 'id': 33366016}]","""-generalplot yes -hydropathyplot no""",32.0,,43273098.0,1516264440.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepinfo69/5.0.0,5.0.0,,2018-01-18 08:34:05.179047,,4.0
,,2018-01-18 08:39:57.823675,slurm_normal,1516264807.0,1.0,,1.0,main_w4_handler1,3396324,18069603,False,,360,fasta,12148158,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""9""",,"[{'src': 'hda', 'id': 33366132}]","""-generalplot no -hydropathyplot yes""",32.0,,43273102.0,1516264803.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepinfo69/5.0.0,5.0.0,,2018-01-18 08:40:09.244367,,4.0
,,2018-01-18 08:36:56.267183,slurm_normal,1516264628.0,1.0,,1.0,main_w3_handler0,3396317,18069560,False,,360,fasta,12148117,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""9""",,"[{'src': 'hda', 'id': 33365842}]","""-generalplot no -hydropathyplot yes""",32.0,,43273093.0,1516264623.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepinfo69/5.0.0,5.0.0,,2018-01-18 08:37:11.453189,,5.0
,,2018-01-18 08:37:52.935790,slurm_normal,1516264680.0,1.0,,1.0,main_w4_handler1,3396312,18069572,False,,360,fasta,12148129,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""9""",,"[{'src': 'hda', 'id': 33365843}]","""-generalplot no -hydropathyplot yes""",32.0,,43273088.0,1516264676.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepinfo69/5.0.0,5.0.0,,2018-01-18 08:38:02.026337,,4.0
,,2018-01-18 08:35:42.686435,slurm_normal,1516264554.0,1.0,,1.0,main_w4_handler0,3396318,18069535,False,,355,fasta,12148090,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""9""",,"[{'src': 'hda', 'id': 33365964}]","""-generalplot no -hydropathyplot yes""",32.0,,43273094.0,1516264550.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepinfo69/5.0.0,5.0.0,,2018-01-18 08:35:57.401985,,4.0
,,2018-01-18 08:41:36.321394,slurm_normal,1516264904.0,1.0,,1.0,main_w4_handler0,3396318,18069629,False,,355,fasta,12148183,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""18""",,"[{'src': 'hda', 'id': 33365964}]","""-generalplot no -hydropathyplot yes""",32.0,,43273094.0,1516264900.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepinfo69/5.0.0,5.0.0,,2018-01-18 08:41:46.114415,,4.0
,,2018-01-18 08:37:11.265719,slurm_normal,1516264644.0,1.0,,1.0,main_w3_handler0,3396328,18069568,False,,360,fasta,12148125,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""9""",,"[{'src': 'hda', 'id': 33365839}]","""-generalplot no -hydropathyplot yes""",32.0,,43273119.0,1516264638.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepinfo69/5.0.0,5.0.0,,2018-01-18 08:37:26.337519,120179.0,6.0
