create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.sum,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-11-02 12:40:17.287280,slurm_normal,1509626436.0,0.0,,1.0,main_w4_handler0,3305612,17300365,False,,1863272,fasta,11361684,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32025169}]","""yes""",32.0,,41459855,1509626431.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: chips10/5.0.0,5.0.0,,2017-11-02 12:40:40.350345,79801.0,5.0
2017-11-02 12:42:17.189057,slurm_normal,1509626648.0,0.0,,1.0,main_w4_handler1,3305612,17300385,False,,1863272,fasta,11361737,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32025169}]","""no""",32.0,,41459855,1509626644.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: chips10/5.0.0,5.0.0,,2017-11-02 12:44:33.240620,79801.0,4.0
2017-11-03 15:03:53.558438,slurm_normal,1509721463.0,0.0,,1.0,main_w3_handler1,3305612,17318506,False,,1863272,fasta,11378716,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32025169}]","""yes""",32.0,,41459855,1509721451.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: chips10/5.0.0,5.0.0,,2017-11-03 15:04:25.804767,79801.0,12.0
2018-01-21 02:08:28.861842,slurm_normal,1516500524.0,0.0,,1.0,main_w3_handler0,3397707,18098286,False,,47133331,fasta,12178146,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33413707}]","""yes""",32.0,,43300012,1516500518.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: chips10/5.0.0,5.0.0,,2018-01-21 02:08:45.512655,,6.0
2018-01-21 02:08:40.452470,slurm_normal,1516500535.0,0.0,,1.0,main_w3_handler0,3397707,18098288,False,,44597748,fasta,12178148,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33406768}]","""yes""",32.0,,43300012,1516500527.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: chips10/5.0.0,5.0.0,,2018-01-21 02:08:56.519932,,8.0
2018-03-08 09:58:27.931723,slurm_normal,1520503120.0,0.0,7680.0,1.0,main_w4_handler0,3450157,18654575,False,,6070,fasta,12750550,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 34289649}]","""yes""",32.0,,44303288,1520503117.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: chips10/5.0.0,5.0.0,,2018-03-08 09:58:41.249104,,3.0
2018-03-08 10:19:16.135702,slurm_normal,1520504367.0,0.0,7680.0,1.0,main_w4_handler0,3450157,18654839,False,,6107,fasta,12750805,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 34290027}]","""yes""",32.0,,44303288,1520504365.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: chips10/5.0.0,5.0.0,,2018-03-08 10:19:31.173709,,2.0
2018-01-31 22:03:10.876010,slurm_normal,1517436205.0,0.0,,1.0,main_w4_handler1,3412054,18217689,False,,2258220,fasta,12297783,slurm,,132111800.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/pyrAer1.len""","""pyrAer1""",,"[{'src': 'hda', 'id': 33592646}]","""yes""",32.0,,43443047,1517436200.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: chips10/5.0.0,5.0.0,,2018-01-31 22:03:27.661889,91816.0,5.0
2018-02-10 01:30:59.361438,slurm_normal,1518226269.0,0.0,7680.0,1.0,main_w3_handler0,3410796,18334775,False,,736,fasta,12419102,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33782539}]","""yes""",32.0,,43555901,1518226266.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: chips10/5.0.0,5.0.0,,2018-02-10 01:31:10.184843,120937.0,3.0
2018-02-12 18:53:42.398309,slurm_normal,1518461636.0,0.0,7680.0,1.0,main_w4_handler1,3426728,18354075,False,,673,fasta,12438682,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33813689}]","""yes""",32.0,,43868144,1518461633.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: chips10/5.0.0,5.0.0,,2018-02-12 18:53:57.428506,,3.0
