chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.infile,parameters.infile.values,parameters.infile|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-10-27 05:44:01.956664,slurm_normal,1509083064.0,0,1.0,main_w4_handler0,3301739,17236628,False,3703110,bed,,11297173,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 31917988}]",,32.0,,41558330.0,1509083059.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_rows/1.0.0,1.0.0,,2017-10-27 05:44:27.673298,112921.0,5.0
,,2017-10-27 05:52:03.221515,slurm_normal,1509083552.0,0,1.0,main_w3_handler0,3301739,17236686,False,2860911,bed,,11297245,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 31918117}]",,32.0,,41558330.0,1509083547.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_rows/1.0.0,1.0.0,,2017-10-27 05:52:39.817238,112921.0,5.0
,,2017-10-27 05:44:03.638478,slurm_normal,1509083060.0,0,1.0,main_w3_handler1,3301737,17236629,False,3703110,bed,,11297172,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 31917989}]",,32.0,,41558204.0,1509083055.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_rows/1.0.0,1.0.0,,2017-10-27 05:44:24.523215,112918.0,5.0
,,2017-10-30 13:23:33.851327,slurm_normal,1509369848.0,0,1.0,main_w3_handler0,3284256,17264385,False,102842,tabular,,11323499,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31660073}]",,32.0,,41619058.0,1509369844.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_rows/1.0.0,1.0.0,,2017-10-30 13:24:14.295052,113453.0,4.0
,,2017-10-30 12:24:45.787075,slurm_normal,1509366314.0,0,1.0,main_w3_handler0,3284256,17263842,False,75866,tabular,,11322945,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31659932}]",,32.0,,41619058.0,1509366310.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_rows/1.0.0,1.0.0,,2017-10-30 12:25:21.467020,113453.0,4.0
,,2017-10-30 12:26:23.013043,slurm_normal,1509366445.0,0,1.0,main_w4_handler1,3284256,17263851,False,75866,tabular,,11322959,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31659932}]",,32.0,,41619058.0,1509366441.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_rows/1.0.0,1.0.0,,2017-10-30 12:27:35.975277,113453.0,4.0
,,2017-11-10 18:18:13.477204,slurm_normal,1510337900.0,0,1.0,main_w3_handler0,3320323,17413257,False,6,tabular,,11475149,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 32235100}]",,32.0,,41916274.0,1510337896.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_rows/1.0.0,1.0.0,,2017-11-10 18:18:20.475421,115932.0,4.0
,,2017-11-10 18:18:13.525907,slurm_normal,1510337904.0,0,1.0,main_w4_handler1,3320341,17413258,False,6,tabular,,11475150,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 32235101}]",,32.0,,41916530.0,1510337898.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_rows/1.0.0,1.0.0,,2017-11-10 18:18:27.687242,115944.0,6.0
,,2017-11-13 18:26:04.406091,slurm_normal,1510597573.0,0,1.0,main_w3_handler0,3302538,17440752,False,17978156,tabular,,11499406,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32288574}]",,32.0,,40612369.0,1510597567.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_rows/1.0.0,1.0.0,,2017-11-13 18:26:13.742282,96656.0,6.0
,,2017-11-15 13:12:44.216791,slurm_normal,1510751599.0,0,1.0,main_w4_handler0,3326050,17469311,False,200737122,bedgraph,,11526539,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/pseuAeru.len""","""pseuAeru""",,"[{'src': 'hda', 'id': 32333938}]",,32.0,,42012568.0,1510751580.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_rows/1.0.0,1.0.0,,2017-11-15 13:13:25.620304,,19.0
