chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.grouping.__current_case__,parameters.grouping.count,parameters.grouping.group,parameters.grouping.grouping_select,parameters.grouping.repeated,parameters.grouping.uniqueonly,parameters.ignorecase,parameters.infile,parameters.infile.values,parameters.infile|__identifier__,parameters.skipfields,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-10-29 09:52:55.479444,slurm_normal,1509270801.0,0,,1.0,main_w4_handler0,3279240,17253382,False,36891,tabular,,11313825,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,true,,no,false,true,"""false""",,"[{'src': 'hda', 'id': 31943932}]",,"""0""",32.0,,41132930.0,1509270797.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.0.0,1.0.0,,2017-10-29 09:53:23.863963,,4.0
,,2017-10-29 09:52:41.457351,slurm_normal,1509270787.0,0,,1.0,main_w3_handler0,3279240,17253379,False,115073,tabular,,11313824,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,,separate,yes,,,"""false""",,"[{'src': 'hda', 'id': 31943931}]",,"""0""",32.0,,41132930.0,1509270783.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.0.0,1.0.0,,2017-10-29 09:53:12.282912,,4.0
,,2017-10-29 09:52:41.927529,slurm_normal,1509270819.0,0,,1.0,main_w3_handler0,3279240,17253380,False,36891,tabular,Job output deleted by user before job completed.,11313827,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,,separate,yes,,,"""false""",,"[{'src': 'hda', 'id': 31943932}]",,"""0""",32.0,,41132930.0,1509270815.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.0.0,1.0.0,,2017-10-29 09:53:43.596750,,4.0
,,2017-10-30 01:01:28.108371,slurm_normal,1509325319.0,0,,1.0,main_w4_handler0,3215281,17260372,False,718902,bed,,11318828,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/dm3.len""","""dm3""",0,false,,no,false,true,"""false""",,"[{'src': 'hda', 'id': 31957449}]",,"""0""",32.0,,41607381.0,1509325315.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.0.0,1.0.0,,2017-10-30 01:02:06.108658,107752.0,4.0
,,2017-11-02 05:51:51.115051,slurm_normal,1509601955.0,0,,1.0,main_w3_handler1,3300132,17294894,False,108489,gtf,,11357167,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/021/866/dataset_21866892.dat""","""novo_ppy1""",0,false,,no,false,true,"""false""",,"[{'src': 'hda', 'id': 32017330}]",,"""0""",32.0,,40146134.0,1509601952.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.0.0,1.0.0,,2017-11-02 05:52:47.713897,91348.0,3.0
,,2017-11-02 09:03:34.663728,slurm_normal,1509614132.0,0,,1.0,main_w3_handler0,3308015,17295886,False,170209536,tabular,,11358303,slurm,,132112168.0,corral-repl,,"""acc95ce6bfac11e7adf9005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,true,,no,false,false,"""false""",,"[{'src': 'hda', 'id': 32019137}]",,"""0""",32.0,,,1509614124.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.0.0,1.0.0,,2017-11-02 09:15:38.724289,84316.0,8.0
,,2017-11-02 09:03:36.243891,slurm_normal,1509615019.0,0,,1.0,main_w3_handler1,3308015,17295887,False,170209536,tabular,,11358415,slurm,,132112168.0,corral-repl,,"""acc95ce6bfac11e7adf9005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,true,,no,false,false,"""false""",,"[{'src': 'hda', 'id': 32019138}]",,"""0""",32.0,,,1509615012.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.0.0,1.0.0,,2017-11-02 09:30:26.934360,84316.0,7.0
,,2017-11-02 19:11:21.797624,slurm_normal,1509649916.0,0,,1.0,main_w4_handler0,3225903,17307540,False,29,bed,,11366737,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,false,,no,false,true,"""false""",,"[{'src': 'hda', 'id': 32034860}]",,"""0""",32.0,,39949353.0,1509649904.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.0.0,1.0.0,,2017-11-02 19:12:01.910765,,12.0
,,2018-01-09 12:47:17.153555,slurm_normal,1515503050.0,0,,1.0,main_w3_handler0,3386146,17980956,False,263895120,tabular,,12057730,slurm,,132112168.0,corral-repl,,"""35030cbaf53b11e78148005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,true,,no,false,false,"""false""",,"[{'src': 'hda', 'id': 33228655}]",,"""0""",32.0,,,1515503038.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.0.0,1.0.0,,2018-01-09 13:04:12.421907,84316.0,12.0
,,2018-01-09 12:47:17.418358,slurm_normal,1515503983.0,0,,1.0,main_w3_handler1,3386146,17980957,False,263895120,tabular,,12057847,slurm,,132112168.0,corral-repl,,"""35030cbaf53b11e78148005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,true,,no,false,false,"""false""",,"[{'src': 'hda', 'id': 33228656}]",,"""0""",32.0,,,1515503974.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.0.0,1.0.0,,2018-01-09 13:19:46.428680,84316.0,9.0
