chromInfo,chromInfo_filetype,corData,corData_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.corData,parameters.corData.values,parameters.corMethod,parameters.dbkey,parameters.outFileCorMatrix,parameters.outFileFormat,parameters.plotting_type.__current_case__,parameters.plotting_type.colorMap,parameters.plotting_type.plotNumbers,parameters.plotting_type.plotTitle,parameters.plotting_type.whatToPlot,parameters.plotting_type.zMax,parameters.plotting_type.zMin,parameters.removeOutliers,parameters.skipZeros,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2916349,deeptools_coverage_matrix,2016-08-26 20:49:11.473108,slurm_normal,1472251508.0,0,1.0,main_w3_handler0,2539357,13728788,False,,7947380.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57854874d08523f50'}]","""pearson""","""mm9""","""false""","""png""",0,RdYlBu,false,,heatmap,,,"""true""","""true""",32.0,,32582986.0,1472251493.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-08-26 22:45:09.521471,75419,15.0
,,2916349,deeptools_coverage_matrix,2016-08-26 20:48:46.741310,slurm_normal,1472251525.0,0,1.0,main_w3_handler0,2539357,13728784,False,,7947378.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57854874d08523f50'}]","""spearman""","""mm9""","""false""","""png""",0,RdYlBu,false,,heatmap,,,"""false""","""true""",32.0,,32582986.0,1472251485.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-08-26 22:45:28.069391,75419,40.0
,,2916349,deeptools_coverage_matrix,2016-08-26 20:49:02.491582,slurm_normal,1472251495.0,0,1.0,main_w3_handler0,2539357,13728786,False,,7947379.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57854874d08523f50'}]","""pearson""","""mm9""","""false""","""png""",0,RdYlBu,false,,heatmap,,,"""false""","""true""",32.0,,32582986.0,1472251485.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-08-26 22:44:56.925357,75419,10.0
,,2916349,deeptools_coverage_matrix,2016-08-26 20:48:55.481177,slurm_normal,1472251508.0,0,1.0,main_w4_handler1,2539357,13728785,False,,7947377.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57854874d08523f50'}]","""spearman""","""mm9""","""false""","""png""",0,RdYlBu,false,,heatmap,,,"""true""","""true""",32.0,,32582986.0,1472251487.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-08-26 22:45:11.584057,75419,21.0
,,6848,deeptools_coverage_matrix,2016-08-27 07:41:41.842393,slurm_normal,1472283723.0,0,1.0,main_w4_handler0,2802600,13730447,False,,7948794.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b590478b33899333cc'}]","""spearman""","""sacCer3""","""false""","""png""",0,RdYlBu,false,,heatmap,,,"""false""","""false""",32.0,,32288269.0,1472283715.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-08-27 07:42:05.319631,88572,8.0
,,10312927,deeptools_coverage_matrix,2016-08-27 07:35:31.088673,slurm_normal,1472283379.0,0,1.0,main_w3_handler0,2714516,13730439,False,,7948779.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d48fb3fa0571ba59'}]","""spearman""","""mm10""","""false""","""png""",0,RdYlBu,false,,heatmap,,,"""false""","""false""",32.0,,32592100.0,1472283353.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-08-27 07:36:20.430345,84889,26.0
,,894,deeptools_coverage_matrix,2016-08-27 09:38:34.720553,slurm_normal,1472290739.0,0,1.0,main_w3_handler0,2793717,13730646,False,,7949038.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e3bca675cb05fd76'}]","""spearman""","""sacCer3""","""false""","""png""",0,RdYlBu,false,,heatmap,,,"""false""","""false""",32.0,,32288269.0,1472290728.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-08-27 09:39:00.474496,88572,11.0
,,894,deeptools_coverage_matrix,2016-08-27 09:44:09.737880,slurm_normal,1472291074.0,0,1.0,main_w4_handler0,2793717,13730654,False,,7949043.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e3bca675cb05fd76'}]","""pearson""","""sacCer3""","""false""","""png""",1,,,,scatterplot,,,"""false""","""false""",32.0,,32288269.0,1472291064.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-08-27 09:44:37.136439,88572,10.0
,,54923202,deeptools_coverage_matrix,2016-08-27 12:54:22.102635,slurm_normal,1472302961.0,0,1.0,main_w3_handler0,2714516,13731069,False,,7949520.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ced47f862e2bc5b6'}]","""pearson""","""mm10""","""false""","""png""",0,RdYlBu,false,,heatmap,,,"""false""","""false""",32.0,,32592100.0,1472302473.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-08-27 13:02:42.716703,84889,488.0
,,5893270,deeptools_coverage_matrix,2016-08-27 14:31:19.295970,slurm_normal,1472308298.0,0,1.0,main_w4_handler1,2803383,13731319,False,,7949794.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5558e357b12ab5e3e'}]","""pearson""","""mm9""","""false""","""pdf""",0,RdYlBu,true,,heatmap,,,"""false""","""false""",32.0,,31395883.0,1472308289.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.2.3.0,2.2.3.0,,2016-08-27 14:31:39.220872,84242,9.0
