chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.distance,parameters.input1,parameters.input1.values,parameters.minregions,parameters.returntype,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-02-24 20:48:36.364351,slurm_normal,1456347123.0,0,,1.0,main_w1_handler1,2590438,11932602,False,,296312,interval,6161418.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""15""",23502160,,"""2""","""1""",32.0,,28125853.0,1456347113.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-24 20:52:10.471702,3745.0,10.0
,,2016-02-24 20:38:58.991940,slurm_normal,1456346744.0,0,,1.0,main_w1_handler1,2590438,11932548,False,,1274375,bed,6161327.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",23501851,,"""2""","""1""",32.0,,28125853.0,1456346512.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-24 20:45:49.337411,3745.0,232.0
,,2016-02-24 20:47:30.661142,slurm_normal,1456347362.0,0,,1.0,main_w1_handler2,2590438,11932597,False,Job output deleted by user before job completed.,296312,interval,6161406.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""10""",23502622,,"""2""","""1""",32.0,,28125853.0,1456347022.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-24 20:56:05.859164,3745.0,340.0
,,2016-09-09 04:17:20.914586,slurm_normal,1473394660.0,0,,1.0,main_w3_handler0,2801289,13812869,False,,2346344,interval,8034172.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""100""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b598eed21bd903b86c'}]","""1""","""2""",32.0,,32398444.0,1473394655.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-09-09 04:17:42.560183,3556.0,5.0
,,2016-02-24 20:55:06.458841,slurm_normal,1456347603.0,0,,1.0,main_w2_handler1,2611528,11932642,False,,129078,interval,6161493.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""4000""",23503355,,"""2""","""1""",32.0,,27240485.0,1456347458.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-24 21:00:06.345900,50494.0,145.0
,,2016-02-24 20:55:08.087952,slurm_normal,1456347694.0,0,,1.0,main_w2_handler1,2611528,11932644,False,,397946,interval,6161501.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""4000""",23503356,,"""2""","""1""",32.0,,27240485.0,1456347604.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-24 21:01:40.919490,50494.0,90.0
,,2016-02-24 20:57:43.708088,slurm_normal,1456347700.0,0,,1.0,main_w2_handler1,2590438,11932657,False,,1274375,bed,6161503.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""10""",23501851,,"""2""","""1""",32.0,,28125853.0,1456347623.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-24 21:01:46.959737,3745.0,77.0
,,2016-02-24 20:55:04.713867,slurm_normal,1456347407.0,0,,1.0,main_w1_handler2,2611528,11932640,False,,128685,interval,6161480.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""4000""",23503351,,"""2""","""1""",32.0,,27240485.0,1456347384.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-24 20:56:53.137698,50494.0,23.0
,,2016-02-25 06:09:46.191748,slurm_normal,1456380687.0,0,,1.0,main_w2_handler0,2611961,11935501,False,,396470,interval,6165516.roundup,slurm,,132112168.0,corral-repl,,"""499eb992db8611e5b516005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""50000""",23507259,,"""1""","""1""",32.0,,27511107.0,1456380682.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-02-25 06:11:30.496577,32945.0,5.0
,,2016-09-09 04:20:33.638941,slurm_normal,1473394848.0,0,,1.0,main_w4_handler1,2801289,13812875,False,,2346344,interval,8034178.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""100""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b598eed21bd903b86c'}]","""1""","""1""",32.0,,32398444.0,1473394843.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cluster/gops_cluster_1/1.0.0,1.0.0,,2016-09-09 04:20:50.572089,3556.0,5.0
