chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,filePath,filePath_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFileSource|referencePath,inputFileSource|referencePath_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.filePath,parameters.filePath.values,parameters.flankSetting.__current_case__,parameters.flankSetting.flankdisplay,parameters.flankSetting.noflankdisplay,parameters.hammingThreshold,parameters.inputFileSource.__current_case__,parameters.inputFileSource.inputFileType,parameters.inputFileSource.referenceFileSource.__current_case__,parameters.inputFileSource.referenceFileSource.referencePath,parameters.inputFileSource.referenceFileSource.referencePath.values,parameters.inputFileSource.referenceFileSource.requireReference,parameters.minlength,parameters.multipleruns,parameters.partialmotifs,parameters.period,parameters.prefix,parameters.surfix,processor_count,referencePath,referencePath_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-04-03 19:09:46.791725,slurm_normal,1491246640.0,0,107792556,fastqsanger,,1.0,main_w4_handler1,3052935,15475210,False,,,,9604130.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28992622}]",1,,true,"""0""",3,fastq,,,,,"""8""","""true""","""true""","""5""","""5""","""5""",32.0,,,,36312818.0,1491246593.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatellite/1.0.0,1.0.0,,2017-04-03 19:10:41.790352,64939.0,47.0
,,2017-02-24 04:58:30.531749,slurm_normal,1487912988.0,0,1346462580,fasta,,1.0,main_w3_handler1,2997065,15126414,False,,,,9280353.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28491477}]",1,,true,"""0""",2,fasta,,,,,"""12""","""true""","""true""","""4""","""10""","""10""",32.0,,,,36067537.0,1487912319.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatellite/1.0.0,1.0.0,,2017-02-24 05:09:49.478801,100247.0,669.0
,,2017-02-27 01:18:47.976919,slurm_normal,1488158850.0,0,2804821187,sam,,1.0,main_w4_handler1,2955197,15149636,False,,,,9301855.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 28079983}]",1,,true,"""0""",0,sam,1.0,,,false,"""5""","""true""","""true""","""1""","""20""","""20""",32.0,,,,36296401.0,1488158329.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatellite/1.0.0,1.0.0,,2017-02-27 01:27:32.505908,79386.0,521.0
,,2017-02-27 01:35:53.047319,slurm_normal,1488159360.0,0,141,fasta,,1.0,main_w4_handler1,2914935,15149701,False,,,,9301923.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28526490}]",1,,true,"""1""",2,fasta,,,,,"""5""","""true""","""true""","""2""","""20""","""20""",32.0,,,,36260071.0,1488159357.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatellite/1.0.0,1.0.0,,2017-02-27 01:36:01.830416,96147.0,3.0
,,2017-02-27 01:37:52.003413,slurm_normal,1488159954.0,0,2804821187,sam,,1.0,main_w4_handler1,2955197,15149713,False,,,,9301933.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 28079983}]",1,,true,"""0""",0,sam,1.0,,,false,"""15""","""true""","""true""","""5""","""0""","""0""",32.0,,,,36296401.0,1488159475.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatellite/1.0.0,1.0.0,,2017-02-27 01:45:55.100250,79386.0,479.0
,,2017-02-28 00:35:18.254256,slurm_normal,1488242446.0,0,675368666,fasta,,1.0,main_w4_handler0,3006527,15160656,False,,,,9312272.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28541457}]",1,,true,"""0""",2,fasta,,,,,"""16""","""true""","""true""","""4""","""20""","""20""",32.0,,,,36230427.0,1488242121.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatellite/1.0.0,1.0.0,,2017-02-28 00:40:49.296989,100719.0,325.0
,,2017-02-27 22:33:39.993472,slurm_normal,1488235762.0,0,1913302970,fasta,,1.0,main_w3_handler1,2997065,15159934,False,,,,9311560.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28541202}]",1,,true,"""0""",2,fasta,,,,,"""16""","""true""","""true""","""4""","""30""","""30""",32.0,,,,36316871.0,1488234824.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatellite/1.0.0,1.0.0,,2017-02-27 22:49:24.944791,100247.0,938.0
,,2017-02-27 23:15:05.999143,slurm_normal,1488238878.0,0,671093914,fasta,,1.0,main_w3_handler1,3006527,15160123,False,,,,9311746.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28541440}]",1,,true,"""0""",2,fasta,,,,,"""5""","""true""","""true""","""4""","""20""","""20""",32.0,,,,36230427.0,1488237310.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatellite/1.0.0,1.0.0,,2017-02-27 23:41:20.801082,100719.0,1568.0
,,2017-02-27 23:15:56.586224,slurm_normal,1488238945.0,0,675368666,fasta,,1.0,main_w3_handler0,3006527,15160126,False,,,,9311749.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28541457}]",1,,true,"""0""",2,fasta,,,,,"""5""","""true""","""true""","""4""","""20""","""20""",32.0,,,,36230427.0,1488237360.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatellite/1.0.0,1.0.0,,2017-02-27 23:42:27.653213,100719.0,1585.0
,,2017-02-28 00:34:54.717522,slurm_normal,1488242423.0,0,671093914,fasta,,1.0,main_w4_handler1,3006527,15160654,False,,,,9312270.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28541440}]",1,,true,"""0""",2,fasta,,,,,"""16""","""true""","""true""","""4""","""20""","""20""",32.0,,,,36230427.0,1488242097.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatellite/1.0.0,1.0.0,,2017-02-28 00:40:25.448265,100719.0,326.0
