chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_vcf,input_vcf_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input_vcf,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,parameters.window_size,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-18 14:31:28.997580,rodeo_normal,1426689105.0,0,1.0,main_w2_handler0,2241092,8977918,False,,3616058,vcf,3221741.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18899902,0,hg19,cached,"""150""",32.0,,,,21862659,1426689097.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfleftalign/vcfleftalign/0.0.2,0.0.2,,2015-03-18 14:31:46.877931,,8.0
,,2015-04-14 10:25:45.759783,slurm_normal,1429007164.0,0,1.0,main_w2_handler0,2212113,9227106,False,,15236,vcf,3508570.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19283037,1,19283205,history,"""150""",32.0,12170.0,fasta,,20492824,1429007161.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfleftalign/vcfleftalign/0.0.2,0.0.2,,2015-04-14 10:26:07.425282,,3.0
,,2015-07-01 11:58:53.175121,slurm_normal,1435751992.0,0,1.0,main_w1_handler0,2361202,9774047,False,,6950,vcf,4076539.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20200651,0,hg19,cached,"""150""",32.0,,,,22926646,1435751950.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfleftalign/vcfleftalign/0.0.2,0.0.2,,2015-07-01 11:59:57.385316,,42.0
,,2015-08-13 05:54:23.315620,slurm_normal,1439445296.0,0,1.0,main_w2_handler1,1651159,10107367,False,,45333,vcf,4381294.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20756663,0,Araly1,cached,"""150""",32.0,,,,24664662,1439445292.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfleftalign/vcfleftalign/0.0.2,0.0.2,,2015-08-13 05:54:59.608000,40340.0,4.0
,,2015-08-13 05:53:40.215400,slurm_normal,1439445260.0,0,1.0,main_w1_handler2,1651159,10107365,False,,45333,vcf,4381292.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20756663,0,Araly1,cached,"""150""",32.0,,,,24664662,1439445255.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfleftalign/vcfleftalign/0.0.2,0.0.2,,2015-08-13 05:54:22.131728,40340.0,5.0
,,2014-09-23 22:49:57.088675,roundup_single,1411512614.0,0,1.0,main_w2_handler0,2031888,7845075,False,,408875,vcf,1828563,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16998090,1,16478845,history,"""150""",32.0,4474242.0,fasta,,17163645,1411512605.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/anton/vcfleftalign/vcfleftalign/0.0.2,0.0.2,,2014-09-23 22:50:16.847004,26534.0,9.0
,,2014-10-05 05:06:52.172086,roundup_single,1412486328.0,0,1.0,main_w2_handler1,2008807,7930925,False,,2032447917,vcf,1909727,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",17139653,0,Araly1,cached,"""150""",32.0,,,,17277940,1412485624.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/anton/vcfleftalign/vcfleftalign/0.0.2,0.0.2,,2014-10-05 05:18:50.813099,48393.0,704.0
,,2015-01-23 16:24:00.811917,rodeo_normal,1422032307.0,0,1.0,main_w1_handler0,2182777,8594777,False,,4433124,vcf,2546786.roundup,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/90.len""","""90""",18279873,1,18280646,history,"""150""",32.0,3314900.0,fasta,,20620270,1422032299.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/anton/vcfleftalign/vcfleftalign/0.0.2,0.0.2,,2015-01-23 16:58:31.996121,57573.0,8.0
36.0,len,2014-11-24 05:35:52.102840,rodeo_normal,1416807366.0,0,1.0,main_w1_handler0,2127249,8234757,False,,257406,vcf,306018.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/main/files/009/753/dataset_9753933.dat""","""?""",17657599,1,17655351,history,"""150""",2.0,5042552.0,fasta,,19669721,1416807363.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/anton/vcfleftalign/vcfleftalign/0.0.2,0.0.2,,2014-11-24 05:36:10.035022,56134.0,3.0
36.0,len,2014-11-24 05:36:11.953449,rodeo_normal,1416807386.0,0,1.0,main_w2_handler0,2127249,8234758,False,,20845,vcf,306020.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/main/files/009/753/dataset_9753933.dat""","""?""",17657598,1,17655351,history,"""150""",2.0,5042552.0,fasta,,19669721,1416807383.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/anton/vcfleftalign/vcfleftalign/0.0.2,0.0.2,,2014-11-24 05:36:28.521305,56134.0,3.0
