chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1_dbkey,parameters.input1_species,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-04-24 18:10:05.264247,slurm_normal,1493057427.0,0.0,,1.0,main_w4_handler0,3084821,15665108,False,,13662,maf,9780896.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29339900}]",,,32.0,,37328079,1493057422.0,ok,1023996.0,CONVERTER_maf_to_fasta_0,1.0.1,,2017-04-24 18:10:29.065407,,5.0
,,2017-05-11 11:42:35.894349,slurm_normal,1494502975.0,0.0,,1.0,main_w4_handler1,3106683,15816699,False,,65596372,maf,9919073.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29559813}]",,,32.0,,37898321,1494502970.0,ok,1023996.0,CONVERTER_maf_to_fasta_0,1.0.1,,2017-05-11 11:42:58.295131,,5.0
,,2017-05-15 03:59:57.090579,slurm_normal,1494820809.0,0.0,,1.0,main_w3_handler0,3097192,15834583,False,,12820138,maf,9935835.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29595691}]",,,32.0,,37744516,1494820801.0,ok,1023996.0,CONVERTER_maf_to_fasta_0,1.0.1,,2017-05-15 04:00:10.677888,105165.0,8.0
,,2017-07-08 21:49:43.948312,slurm_normal,1499550599.0,0.0,,1.0,main_w3_handler0,2742922,16290284,False,,1047,maf,10359937.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",,"[{'src': 'hda', 'id': 30359218}]",,,32.0,,38786832,1499550595.0,ok,1023996.0,CONVERTER_maf_to_fasta_0,1.0.1,,2017-07-08 21:50:01.822258,86286.0,4.0
,,2017-10-06 01:12:00.341602,slurm_normal,1507252333.0,0.0,,1.0,main_w3_handler1,3196661,17036092,False,,1123837,maf,11092887.roundup,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 31574750}]",,,32.0,,41070015,1507252327.0,ok,1023996.0,CONVERTER_maf_to_fasta_0,1.0.1,,2017-10-06 01:12:16.738881,112900.0,6.0
,,2017-08-10 17:37:16.701720,slurm_normal,1502386654.0,0.0,,1.0,main_w4_handler1,3218828,16552870,False,,76682034,maf,10623927.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30831036}]",,,32.0,,39810382,1502386646.0,ok,1023996.0,CONVERTER_maf_to_fasta_0,1.0.1,,2017-08-10 17:37:37.375288,110020.0,8.0
,,2017-08-11 05:17:19.460174,slurm_normal,1502428654.0,0.0,,1.0,main_w4_handler0,3219234,16555805,False,,53577,maf,10626799.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 30835587}]",,,32.0,,39819989,1502428649.0,ok,1023996.0,CONVERTER_maf_to_fasta_0,1.0.1,,2017-08-11 05:17:36.594077,,5.0
,,2017-09-20 21:22:48.155504,slurm_normal,1505942638.0,0.0,,1.0,main_w4_handler1,3261055,16881217,False,,361190467,maf,10946883.roundup,slurm,,132112168.0,corral-repl,,0.0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31331040}]",,,32.0,,40690923,1505942577.0,ok,1023996.0,CONVERTER_maf_to_fasta_0,1.0.1,,2017-09-20 21:24:02.525855,110401.0,61.0
,,2017-09-20 21:19:44.304166,slurm_normal,1505942456.0,0.0,,1.0,main_w4_handler1,3260859,16881202,False,,361190467,maf,10946860.roundup,slurm,,132112168.0,corral-repl,,0.0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31327177}]",,,32.0,,40690923,1505942395.0,ok,1023996.0,CONVERTER_maf_to_fasta_0,1.0.1,,2017-09-20 21:20:57.313930,110401.0,61.0
,,2017-10-05 18:13:54.031824,slurm_normal,1507227299.0,0.0,,1.0,main_w3_handler1,3196661,17033607,False,,1123837,maf,11090125.roundup,slurm,,132112168.0,corral-repl,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 31574019}]",,,32.0,,39382699,1507227279.0,ok,1023996.0,CONVERTER_maf_to_fasta_0,1.0.1,,2017-10-05 18:15:05.844566,,20.0
