create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.metric,parameters.phylip.values,phylip,phylip_filetype,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-02-15 08:20:39.149356,slurm_normal,1487147151.0,0,1.0,main_w3_handler1,2993399,15043208,False,,9198814.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28335208}]",22896,tabular,32.0,,36017310,1487147144.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_pcoa/1.20.0,1.20.0,,2017-02-15 08:25:57.274960,100052.0,7.0
2017-02-27 23:55:04.563981,slurm_normal,1488239714.0,0,1.0,main_w4_handler1,3009455,15160419,False,,9312038.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28515678}]",14172,tabular,32.0,,36269841,1488239709.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_pcoa/1.20.0,1.20.0,,2017-02-27 23:55:16.519638,100867.0,5.0
2017-03-08 07:17:42.155894,slurm_normal,1488957469.0,0,1.0,main_w3_handler1,3017651,15239918,False,,9387911.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28673348}]",114730,tabular,32.0,,36407457,1488957464.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_pcoa/1.20.0,1.20.0,,2017-03-08 07:17:53.111080,77036.0,5.0
2017-03-14 05:39:48.844148,slurm_normal,1489469999.0,0,1.0,main_w3_handler0,2993399,15288311,False,,9432070.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28359127}]",25770,txt,32.0,,36017310,1489469994.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_pcoa/1.20.0,1.20.0,,2017-03-14 05:40:00.657737,100052.0,5.0
2017-03-14 10:06:06.139960,slurm_normal,1489485978.0,0,1.0,main_w3_handler1,2993399,15290096,False,,9433520.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28748964}]",3076,tabular,32.0,,36017310,1489485971.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_pcoa/1.20.0,1.20.0,,2017-03-14 10:06:19.713564,100052.0,7.0
2017-04-17 07:29:57.534012,slurm_normal,1492414220.0,0,1.0,main_w4_handler0,2975839,15603718,False,,9723845.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 29243453}]",2191027,fasta,32.0,,35709050,1492414214.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_pcoa/1.20.0,1.20.0,,2017-04-17 07:30:23.917879,,6.0
2017-04-23 19:57:54.891065,slurm_normal,1492977491.0,0,1.0,main_w3_handler1,3078150,15656154,False,,9772559.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 29326891}]",230,txt,32.0,,37457910,1492977486.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_pcoa/1.20.0,1.20.0,,2017-04-23 19:58:13.539662,37766.0,5.0
2017-04-24 05:58:54.311412,slurm_normal,1493013549.0,0,1.0,main_w4_handler0,3084065,15658544,False,,9774861.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 29331158}]",292633983,fastq.gz,32.0,,37520183,1493013544.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_pcoa/1.20.0,1.20.0,,2017-04-24 05:59:11.599010,,5.0
2017-05-18 12:27:58.741324,slurm_normal,1495110518.0,0,1.0,main_w4_handler0,3026093,15878892,False,,9978603.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28725977}]",26652,shared,32.0,,38003630,1495110497.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_pcoa/1.20.0,1.20.0,,2017-05-18 12:28:44.627620,37766.0,21.0
2017-05-18 12:32:06.662370,slurm_normal,1495110871.0,0,1.0,main_w3_handler1,3026093,15878948,False,,9978641.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28726355}]",16358,txt,32.0,,38003630,1495110745.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_pcoa/1.20.0,1.20.0,,2017-05-18 12:34:33.561202,37766.0,126.0
