chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.aligned_reads_only,parameters.assume_sorted,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.pf_reads_only,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.validation_stringency,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-04-28 09:49:51.003939,slurm_normal_16gb,1461837035.0,0,1.0,main_w2_handler0,2678620,12665218,False,,13559564,bam,6867163.roundup,slurm,,132112168.0,corral-repl,,"""false""","""true""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59d10d23902318550'}]","""false""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b557536284695494c2'}]",history,"""LENIENT""",32.0,482.0,fasta,,29729529,1461837028.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MeanQualityByCycle/1.136.0,1.136.0,,2016-04-28 09:50:38.375257,83088,7.0
,,2016-02-13 21:35:59.150803,slurm_normal_16gb,1455400124.0,0,1.0,main_w2_handler0,2598805,11818186,False,,510517948,bam,6067712.roundup,slurm,,132112168.0,corral-repl,,"""False""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23332207,,"""False""",0,Araly1,,cached,"""LENIENT""",32.0,,,,28366294,1455400071.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MeanQualityByCycle/1.136.0,1.136.0,,2016-02-13 21:48:47.066349,63092,53.0
,,2016-03-15 08:23:29.547712,slurm_normal_16gb,1458030311.0,0,1.0,main_w1_handler1,2634041,12138564,False,,119780202,bam,6355881.roundup,slurm,,132112168.0,corral-repl,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",23843227,,"""False""",0,hg19,,cached,"""LENIENT""",32.0,,,,28509455,1458030265.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MeanQualityByCycle/1.136.0,1.136.0,,2016-03-15 08:25:13.323304,78891,46.0
,,2016-10-13 06:26:37.953931,slurm_normal_16gb,1476340119.0,0,1.0,main_w3_handler1,2851140,14070178,False,,29063801,bam,8287205.roundup,slurm,,132112168.0,corral-repl,,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b524bf0896477bc1d2'}]","""false""",0,hg38,,cached,"""LENIENT""",32.0,,,,33624244,1476340010.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MeanQualityByCycle/1.136.0,1.136.0,,2016-10-13 06:28:42.204996,91781,109.0
,,2016-03-15 08:37:32.417276,slurm_normal_16gb,1458031142.0,0,1.0,main_w1_handler2,2634041,12138620,False,,188671102,bam,6355987.roundup,slurm,,132112168.0,corral-repl,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",23843226,,"""False""",0,hg19,,cached,"""LENIENT""",32.0,,,,28509455,1458031103.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MeanQualityByCycle/1.136.0,1.136.0,,2016-03-15 08:39:06.267180,78891,39.0
,,2016-03-15 08:38:26.565644,slurm_normal_16gb,1458031224.0,0,1.0,main_w2_handler0,2634041,12138624,False,,119780202,bam,6355992.roundup,slurm,,132112168.0,corral-repl,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",23843227,,"""False""",0,hg19,,cached,"""LENIENT""",32.0,,,,28509455,1458031175.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MeanQualityByCycle/1.136.0,1.136.0,,2016-03-15 08:40:27.456669,78891,49.0
,,2016-03-15 08:50:44.220491,slurm_normal_16gb,1458031944.0,0,1.0,main_w2_handler0,2634041,12138664,False,,162331675,bam,6356080.roundup,slurm,,132112168.0,corral-repl,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",23843225,,"""False""",0,hg19,,cached,"""LENIENT""",32.0,,,,28509455,1458031883.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MeanQualityByCycle/1.136.0,1.136.0,,2016-03-15 08:52:27.043615,78891,61.0
,,2016-03-02 12:00:55.198772,slurm_normal_16gb,1456920099.0,0,1.0,main_w1_handler0,2596955,11990993,False,,222171438,sam,6221322.roundup,slurm,,132112168.0,corral-repl,,"""False""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23595861,,"""False""",0,Araly1,,cached,"""LENIENT""",32.0,,,,28744894,1456920087.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MeanQualityByCycle/1.136.0,1.136.0,,2016-03-02 12:01:49.726740,78478,12.0
,,2016-03-04 09:51:08.789992,slurm_normal_16gb,1457085097.0,0,1.0,main_w1_handler0,2596243,12018002,False,,43851105,sam,6247496.roundup,slurm,,132112168.0,corral-repl,,"""True""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23666018,,"""True""",1,23353772,,history,"""LENIENT""",32.0,60311570.0,fasta,,28288145,1457085089.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MeanQualityByCycle/1.136.0,1.136.0,,2016-03-04 09:51:42.248173,78441,8.0
,,2016-03-17 13:06:59.298227,slurm_normal_16gb,1458220595.0,0,1.0,main_w1_handler2,2427090,12165679,False,,3594715305,bam,6382987.roundup,slurm,,132112168.0,corral-repl,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",23874830,,"""False""",0,hg38,,cached,"""LENIENT""",32.0,,,,28029926,1458220381.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MeanQualityByCycle/1.136.0,1.136.0,,2016-03-17 13:16:39.106809,64160,214.0
,,2016-03-18 09:37:37.984401,slurm_normal_16gb,1458294246.0,0,1.0,main_w1_handler2,2427090,12176163,False,,2790876601,bam,6392870.roundup,slurm,,132112168.0,corral-repl,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",23885986,,"""False""",0,hg38,,cached,"""LENIENT""",32.0,,,,28029926,1458294122.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MeanQualityByCycle/1.136.0,1.136.0,,2016-03-18 09:44:10.061737,64160,124.0
,,2016-03-17 22:02:32.710060,slurm_normal_16gb,1458252468.0,0,1.0,main_w1_handler1,2626306,12172694,False,,677211613,bam,6387655.roundup,slurm,,132112168.0,corral-repl,,"""False""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23787800,,"""False""",0,hg38,,cached,"""LENIENT""",32.0,,,,28903044,1458252348.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MeanQualityByCycle/1.136.0,1.136.0,,2016-03-17 22:07:54.079133,10692,120.0
,,2016-03-08 14:14:39.288998,slurm_normal_16gb,1457446779.0,0,1.0,main_w1_handler1,2623934,12069841,False,,3222520832,bam,6293549.roundup,slurm,,132112168.0,corral-repl,,"""True""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""",23738802,,"""True""",0,hg38,,cached,"""LENIENT""",32.0,,,,28875037,1457446515.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MeanQualityByCycle/1.136.0,1.136.0,,2016-03-08 14:19:41.508524,79946,264.0
,,2016-05-20 08:42:22.314694,slurm_normal_16gb,1463733904.0,0,1.0,main_w1_handler0,2709952,12946919,False,,2844740612,bam,7141052.roundup,slurm,,132112168.0,corral-repl,,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5947232edd28eb31e'}]","""false""",0,hg19,,cached,"""LENIENT""",32.0,,,,30303613,1463733769.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MeanQualityByCycle/1.136.0,1.136.0,,2016-05-20 08:45:06.636648,84651,135.0
,,2016-03-31 23:20:10.833007,slurm_normal_16gb,1459466731.0,0,1.0,main_w2_handler1,2648239,12305659,False,,234031195,bam,6513646.roundup,slurm,,132112168.0,corral-repl,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24027981,,"""False""",1,24087638,,history,"""LENIENT""",32.0,26455.0,fasta,,29009079,1459466657.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MeanQualityByCycle/1.136.0,1.136.0,,2016-03-31 23:25:34.615413,80620,74.0
,,2016-03-31 23:20:34.332521,slurm_normal_16gb,1459466853.0,0,1.0,main_w2_handler0,2648239,12305682,False,,169727026,bam,6513654.roundup,slurm,,132112168.0,corral-repl,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24028004,,"""False""",1,24087638,,history,"""LENIENT""",32.0,26455.0,fasta,,29009079,1459466797.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MeanQualityByCycle/1.136.0,1.136.0,,2016-03-31 23:27:35.250787,80620,56.0
,,2016-03-31 23:20:19.009345,slurm_normal_16gb,1459466904.0,0,1.0,main_w1_handler1,2648239,12305665,False,,236296962,bam,6513660.roundup,slurm,,132112168.0,corral-repl,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24027987,,"""False""",1,24087638,,history,"""LENIENT""",32.0,26455.0,fasta,,29009079,1459466883.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MeanQualityByCycle/1.136.0,1.136.0,,2016-03-31 23:28:36.455549,80620,21.0
,,2016-03-31 23:20:12.952744,slurm_normal_16gb,1459466633.0,0,1.0,main_w2_handler0,2648239,12305661,False,,178350349,bam,6513637.roundup,slurm,,132112168.0,corral-repl,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24027983,,"""False""",1,24087638,,history,"""LENIENT""",32.0,26455.0,fasta,,29009079,1459466578.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MeanQualityByCycle/1.136.0,1.136.0,,2016-03-31 23:23:56.448064,80620,55.0
