create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.genome.values,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-09-24 09:44:17.208151,slurm_normal,1474710431.0,0,1.0,584,tabular,main_w3_handler1,2507376,13931038,False,,283277970,bed,8153445.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c5fa906a356f4ae5'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b58505dc4097d537b4'}]",32.0,,31234034,1474710322.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.24.0,2.24.0,,2016-09-24 09:47:13.721444,1284.0,109.0
2016-09-24 11:59:46.129086,slurm_normal,1474718503.0,0,1.0,490,tabular,main_w4_handler0,2507376,13931476,False,,283277970,bed,8153955.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5025773202be59b1b'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b59be3c7862c7d79ad'}]",32.0,,31234034,1474718434.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.24.0,2.24.0,,2016-09-24 12:01:45.506121,1284.0,69.0
2016-08-19 07:09:31.135297,slurm_normal,1471590606.0,0,1.0,2606199,tabular,main_w4_handler1,2196193,13685573,False,,1128067,vcf,7900885.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e43f6b46ee924657'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b55b9127b2e6ab7edb'}]",32.0,,32373926,1471590598.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.24.0,2.24.0,,2016-08-19 07:10:07.360375,37892.0,8.0
2016-08-30 08:33:55.740710,slurm_normal,1472546096.0,0,1.0,24063,tabular,main_w3_handler0,2805864,13746486,False,,193,gff,7966863.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d0fd235894f52fa8'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ffeb9ea7cd4ead26'}]",32.0,,32655979,1472546092.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.24.0,2.24.0,,2016-08-30 08:34:58.409466,,4.0
2016-10-03 13:25:22.590720,slurm_normal,1475501268.0,0,1.0,883260838,gff,main_w4_handler1,2570550,13996065,False,,408387701,gff,8215295.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5bd6d669fff1c7f8f'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b53c626b725fb185ef'}]",32.0,,33177068,1475501224.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.24.0,2.24.0,,2016-10-03 13:27:52.333054,76689.0,44.0
2016-10-03 13:33:01.952202,slurm_normal,1475501722.0,0,1.0,408387701,gff,main_w3_handler0,2570550,13996172,False,,883260838,gff,8215403.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b53c626b725fb185ef'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5bd6d669fff1c7f8f'}]",32.0,,33177068,1475501698.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.24.0,2.24.0,,2016-10-03 13:35:23.997002,76689.0,24.0
2016-12-13 11:48:27.836275,slurm_normal,1481629745.0,0,1.0,12157801,tabular,main_w3_handler1,2857662,14563693,False,,203175,bed,8742941.roundup,slurm,,132111800.0,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer1.len""","""sacCer1""","[{'src': 'hda', 'id': 27614162}]","[{'src': 'hda', 'id': 27614161}]",32.0,,34646853,1481629723.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.24.0,2.24.0,,2016-12-13 11:49:06.459700,10211.0,22.0
2016-12-13 12:16:58.757788,slurm_normal,1481631426.0,0,1.0,15,bed,main_w4_handler1,2857662,14563997,False,,203175,bed,8743182.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer1.len""","""sacCer1""","[{'src': 'hda', 'id': 27614620}]","[{'src': 'hda', 'id': 27614161}]",32.0,,34646853,1481631422.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.24.0,2.24.0,,2016-12-13 12:17:07.295042,10211.0,4.0
2016-12-13 11:06:25.591589,slurm_normal,1481627205.0,0,1.0,12157964,tabular,main_w3_handler1,2857662,14563286,False,,336189,bed,8742523.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer1.len""","""sacCer1""","[{'src': 'hda', 'id': 27613600}]","[{'src': 'hda', 'id': 27613313}]",32.0,,34646853,1481627201.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.24.0,2.24.0,,2016-12-13 11:06:49.759248,10211.0,4.0
2017-02-16 05:22:48.331214,slurm_normal,1487222581.0,0,1.0,1971,gg,main_w3_handler0,2978592,15052791,False,,63067,bed,9208367.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","[{'src': 'hda', 'id': 28376027}]","[{'src': 'hda', 'id': 28375771}]",32.0,,35753689,1487222573.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.24.0,2.24.0,,2017-02-16 05:23:04.049204,99281.0,8.0
2017-02-15 22:06:29.468481,slurm_normal,1487196415.0,0,1.0,9322188,tabular,main_w4_handler1,2987567,15050835,False,,628544,bed,9206504.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/007/609/dataset_7609691.dat""","""pichia_2""","[{'src': 'hda', 'id': 28372367}]","[{'src': 'hda', 'id': 28370325}]",32.0,,34808176,1487196411.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.24.0,2.24.0,,2017-02-15 22:06:57.493072,43044.0,4.0
2017-02-16 04:48:51.404834,slurm_normal,1487220562.0,0,1.0,3924,bed,main_w4_handler1,2978592,15052694,False,,63067,bed,9208256.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","[{'src': 'hda', 'id': 28375889}]","[{'src': 'hda', 'id': 28375771}]",32.0,,35753689,1487220534.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.24.0,2.24.0,,2017-02-16 04:49:23.681386,99281.0,28.0
2017-03-15 17:32:02.664256,slurm_normal,1489599153.0,0,1.0,257,tabular,main_w4_handler0,2951117,15305254,False,,11885735,bed,9447118.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","[{'src': 'hda', 'id': 28712067}]","[{'src': 'hda', 'id': 28771584}]",32.0,,35280771,1489599147.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.24.0,2.24.0,,2017-03-15 17:32:36.443304,44999.0,6.0
2017-03-15 18:05:24.971408,slurm_normal,1489601281.0,0,1.0,257,tabular,main_w4_handler0,2951117,15305571,False,,79208,bed,9447401.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","[{'src': 'hda', 'id': 28712067}]","[{'src': 'hda', 'id': 28771898}]",32.0,,35280771,1489601133.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.24.0,2.24.0,,2017-03-15 18:08:02.930772,44999.0,148.0
