bed_infile,bed_infile_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.bed_infile,parameters.chromInfo,parameters.cutoff,parameters.dbkey,parameters.infile,parameters.winsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
47222742,bed,2016-02-04 12:15:42.875949,slurm_normal,1454591434.0,0,1.0,main_w1_handler2,2583925,11709680,False,850343912,bed,,5967629.roundup,slurm,,132112168.0,corral-repl,,23184050,"""/galaxy-repl/localdata/chrom/mm10.len""","""5.0""","""mm10""",23167948,"""450""",32.0,,27548895,1454588164.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 13:10:39.811953,57381,3270.0
66289752,bed,2015-12-28 02:35:37.710550,slurm_normal,1451272871.0,0,1.0,main_w2_handler0,2549611,11340110,False,737148714,sam,,5615847.roundup,slurm,,132112168.0,corral-repl,,22673051,"""/galaxy-repl/localdata/chrom/caulCres.len""","""5.0""","""caulCres""",22671267,"""200""",32.0,,27032762,1451270266.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20140616.0,2.1.0.20140616.0,,2015-12-28 03:21:21.061134,75857,2605.0
51928614,bed,2016-02-04 10:43:54.017778,slurm_normal,1454585198.0,0,1.0,main_w2_handler0,2583925,11708956,False,850343912,bed,,5966958.roundup,slurm,,132112168.0,corral-repl,,23171900,"""/galaxy-repl/localdata/chrom/mm10.len""","""5.0""","""mm10""",23167948,"""200""",32.0,,27548895,1454582664.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 11:26:43.046322,57381,2534.0
31701935,bed,2016-02-04 11:58:12.448155,slurm_normal,1454589426.0,0,1.0,main_w1_handler2,2573170,11709504,False,6272036685,bam,,5967469.roundup,slurm,,132112168.0,corral-repl,,23112816,"""/galaxy-repl/localdata/chrom/mm10.len""","""5.0""","""mm10""",22990888,"""200""",32.0,,27548895,1454587108.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 12:37:11.711952,57381,2318.0
39972928,bed,2016-02-04 12:16:30.727461,slurm_normal,1454591569.0,0,1.0,main_w1_handler2,2583925,11709684,False,1362677471,bed,,5967737.roundup,slurm,,132112168.0,corral-repl,,23184106,"""/galaxy-repl/localdata/chrom/mm10.len""","""5.0""","""mm10""",23167955,"""450""",32.0,,27548895,1454588842.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 13:12:53.440212,57381,2727.0
36179611,bed,2016-02-04 18:56:44.109809,slurm_normal,1454614149.0,0,1.0,main_w2_handler1,2583925,11712564,False,1362677471,bed,,5970331.roundup,slurm,,132112168.0,corral-repl,,23187599,"""/galaxy-repl/localdata/chrom/mm10.len""","""5.0""","""mm10""",23167955,"""200""",32.0,,27548895,1454612228.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 19:32:06.059206,57381,1921.0
42017437,bed,2016-02-04 18:55:45.801223,slurm_normal,1454614752.0,0,1.0,main_w2_handler0,2583925,11712559,False,850343912,bed,,5970329.roundup,slurm,,132112168.0,corral-repl,,23187639,"""/galaxy-repl/localdata/chrom/mm10.len""","""5.0""","""mm10""",23167948,"""200""",32.0,,27548895,1454612177.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 19:40:07.775534,57381,2575.0
1807,bed,2016-01-08 13:42:56.831052,slurm_normal,1452262755.0,0,1.0,main_w2_handler1,2557625,11416280,False,987626423,bed,,5683209.roundup,slurm,,132112168.0,corral-repl,,22787165,"""/galaxy-repl/localdata/chrom/?.len""","""5.0""","""?""",22790934,"""200""",32.0,,27293616,1452262688.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20140616.0,2.1.0.20140616.0,,2016-01-08 14:19:20.320017,50791,67.0
1674023,bed,2016-01-08 13:42:28.234065,slurm_normal,1452263610.0,0,1.0,main_w1_handler0,2557625,11416275,False,1582920950,bed,,5683511.roundup,slurm,,132112168.0,corral-repl,,22776762,"""/galaxy-repl/localdata/chrom/?.len""","""5.0""","""?""",22790929,"""200""",32.0,,27293616,1452263465.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20140616.0,2.1.0.20140616.0,,2016-01-08 14:33:40.049632,50791,145.0
1198228,bed,2016-02-15 07:02:31.203131,slurm_normal,1455520650.0,0,1.0,main_w2_handler0,2582008,11825535,False,3694393040,bam,,6074556.roundup,slurm,,132112168.0,corral-repl,,23089944,"""/galaxy-repl/localdata/chrom/?.len""","""5.0""","""?""",23087915,"""200""",32.0,,27909558,1455520033.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-15 07:17:34.242592,69742,617.0
