chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.number,parameters.out_format1,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-23 20:01:16.107079,rodeo_normal,1427140895.0,0.0,1.0,main_w1_handler0,2246310,9018169,False,,15416,fasta,3298253.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18966376,,"""1""","""fasta""",32.0,,21977764,1427140889.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: nthseq62/5.0.0,5.0.0,,2015-03-23 20:01:38.313181,4690.0,6.0
,,2015-03-23 19:58:09.126163,rodeo_normal,1427140703.0,0.0,1.0,main_w2_handler1,2246310,9018144,False,,15416,fasta,3298195.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18966376,,"""2""","""fasta""",32.0,,21977764,1427140700.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: nthseq62/5.0.0,5.0.0,,2015-03-23 19:58:27.828992,4690.0,3.0
,,2015-03-26 10:21:34.057634,rodeo_normal,1427365312.0,0.0,1.0,main_w2_handler1,2249563,9044799,False,,465,fasta,3329702.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19004975,,"""2""","""fasta""",32.0,,21553115,1427365308.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: nthseq62/5.0.0,5.0.0,,2015-03-26 10:21:56.439018,60460.0,4.0
,,2015-03-26 10:19:05.490247,rodeo_normal,1427365165.0,0.0,1.0,main_w1_handler0,2249563,9044521,False,,371,fasta,3329648.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19004980,,"""1""","""fasta""",32.0,,21553115,1427365161.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: nthseq62/5.0.0,5.0.0,,2015-03-26 10:19:34.120063,60460.0,4.0
,,2015-03-26 10:17:52.897259,rodeo_normal,1427365097.0,0.0,1.0,main_w1_handler0,2249563,9044399,False,,371,fasta,3329624.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19004980,,"""2""","""fasta""",32.0,,21553115,1427365086.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: nthseq62/5.0.0,5.0.0,,2015-03-26 10:18:24.371093,60460.0,11.0
,,2015-03-26 10:21:45.285145,rodeo_normal,1427365329.0,0.0,1.0,main_w1_handler0,2249563,9044821,False,,465,fasta,3329708.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19004975,,"""3""","""fasta""",32.0,,21553115,1427365320.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: nthseq62/5.0.0,5.0.0,,2015-03-26 10:22:15.527889,60460.0,9.0
,,2015-03-26 10:35:55.336313,rodeo_normal,1427366170.0,0.0,1.0,main_w2_handler1,2249563,9045362,False,,3412,fasta,3329999.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19004789,,"""8""","""fasta""",32.0,,21553115,1427366167.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: nthseq62/5.0.0,5.0.0,,2015-03-26 10:36:13.568469,60460.0,3.0
,,2015-03-26 10:21:15.206722,rodeo_normal,1427365296.0,0.0,1.0,main_w2_handler0,2249563,9044768,False,,465,fasta,3329693.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19004975,,"""1""","""fasta""",32.0,,21553115,1427365292.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: nthseq62/5.0.0,5.0.0,,2015-03-26 10:21:40.788440,60460.0,4.0
,,2015-03-26 10:28:49.805244,rodeo_normal,1427365751.0,0.0,1.0,main_w2_handler0,2249563,9045285,False,,295,fasta,3329868.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19004915,,"""1""","""fasta""",32.0,,21553115,1427365749.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: nthseq62/5.0.0,5.0.0,,2015-03-26 10:29:17.267737,60460.0,2.0
,,2015-03-26 10:28:59.777483,rodeo_normal,1427365758.0,0.0,1.0,main_w2_handler1,2249563,9045290,False,,295,fasta,3329872.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19004915,,"""2""","""fasta""",32.0,,21553115,1427365755.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: nthseq62/5.0.0,5.0.0,,2015-03-26 10:29:21.855477,60460.0,3.0
