create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.max_diff_rate,parameters.max_group_ratio,parameters.min_identical_bases,parameters.min_mean_quality,parameters.optical_duplicate_pixel_distance,parameters.read_name_regex,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-05-31 01:38:32.432888,slurm_normal,1496194919.0,0,,1.0,main_w3_handler1,2879702,15974462,False,,3381256989,bam,10070073.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/bosTau6.len""","""bosTau6""","[{'src': 'hda', 'id': 27096698}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",32.0,,37716563,1496194732.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/2.7.1.0,2.7.1.0,,2017-05-31 01:42:01.997175,2621.0,187.0
2017-06-27 01:23:32.557713,slurm_normal,1498526635.0,0,,1.0,main_w3_handler1,3169420,16194005,False,,116936266,bam,10270330.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30138342}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",32.0,,38878699,1498526621.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/2.7.1.0,2.7.1.0,,2017-06-27 01:23:58.502089,72262.0,14.0
2017-06-15 09:43:25.980912,slurm_normal,1497519895.0,0,,1.0,main_w3_handler0,3003798,16107190,False,,979037400,bam,10190864.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30026639}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",32.0,,38304398,1497519822.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/2.7.1.0,2.7.1.0,,2017-06-15 09:45:00.574390,100568.0,73.0
2017-07-06 11:02:14.887184,slurm_normal,1499339034.0,0,,1.0,main_w3_handler1,3181435,16270631,False,,1494981422,bam,10341523.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 30299774}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",32.0,,39086603,1499338956.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/2.7.1.0,2.7.1.0,,2017-07-06 11:03:57.343764,108353.0,78.0
2017-07-06 11:09:26.623691,slurm_normal,1499339463.0,0,,1.0,main_w3_handler1,3181435,16270680,False,,1632752888,bam,10341584.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 30299773}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",32.0,,39086603,1499339380.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/2.7.1.0,2.7.1.0,,2017-07-06 11:11:08.551746,108353.0,83.0
2017-07-07 14:05:19.929095,slurm_normal,1499436421.0,0,,1.0,main_w4_handler0,3181845,16284320,False,,1175487029,bam,10354735.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/eschColi_K12.len""","""eschColi_K12""","[{'src': 'hda', 'id': 30345653}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",32.0,,39103196,1499436334.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/2.7.1.0,2.7.1.0,,2017-07-07 14:07:03.275392,108467.0,87.0
2017-07-07 19:47:53.162556,slurm_normal,1499457342.0,0,,1.0,main_w4_handler0,3180561,16286267,False,,1902902382,bam,10356498.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30351054}]",,"""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",32.0,,39078684,1499456883.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/2.7.1.0,2.7.1.0,,2017-07-07 19:55:48.654542,108487.0,459.0
2017-07-14 08:23:10.884976,slurm_normal,1500020620.0,0,,1.0,main_w4_handler1,3191684,16342656,False,,42842342,bam,10408344.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""","[{'src': 'hda', 'id': 30473906}]","""52780.down.sorted.bam""","""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",32.0,,39303295,1500020610.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/2.7.1.0,2.7.1.0,,2017-07-14 08:23:40.826758,108941.0,10.0
2017-07-14 08:23:13.015855,slurm_normal,1500020667.0,0,,1.0,main_w3_handler1,3191684,16342662,False,,43326580,bam,10408359.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""","[{'src': 'hda', 'id': 30473882}]","""52775.down.sorted.bam""","""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",32.0,,39303295,1500020654.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/2.7.1.0,2.7.1.0,,2017-07-14 08:24:33.646026,108941.0,13.0
2017-07-14 08:23:10.411522,slurm_normal,1500020624.0,0,,1.0,main_w4_handler0,3191684,16342655,False,,37530803,bam,10408343.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""","[{'src': 'hda', 'id': 30473909}]","""52781.down.sorted.bam""","""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",32.0,,39303295,1500020607.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/2.7.1.0,2.7.1.0,,2017-07-14 08:23:48.084261,108941.0,17.0
2017-07-14 08:23:12.190690,slurm_normal,1500020646.0,0,,1.0,main_w4_handler1,3191684,16342659,False,,42560584,bam,10408346.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""","[{'src': 'hda', 'id': 30473896}]","""52777.down.sorted.bam""","""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",32.0,,39303295,1500020628.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/2.7.1.0,2.7.1.0,,2017-07-14 08:24:08.385366,108941.0,18.0
2017-07-14 08:23:08.750870,slurm_normal,1500020643.0,0,,1.0,main_w3_handler0,3191684,16342651,False,,36947458,bam,10408347.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""","[{'src': 'hda', 'id': 30473921}]","""52785.down.sorted.bam""","""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",32.0,,39303295,1500020631.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/2.7.1.0,2.7.1.0,,2017-07-14 08:24:05.686559,108941.0,12.0
2017-07-14 08:23:13.316490,slurm_normal,1500020689.0,0,,1.0,main_w3_handler1,3191684,16342663,False,,40760051,bam,10408361.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""","[{'src': 'hda', 'id': 30473879}]","""51047.down.sorted.bam""","""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",32.0,,39303295,1500020677.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/2.7.1.0,2.7.1.0,,2017-07-14 08:24:52.281491,108941.0,12.0
2017-07-14 08:23:09.442441,slurm_normal,1500020669.0,0,,1.0,main_w3_handler1,3191684,16342653,False,,37597201,bam,10408358.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""","[{'src': 'hda', 'id': 30473914}]","""52783.down.sorted.bam""","""0.03""","""500""","""5""","""20""","""100""","""[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*.""","""LENIENT""",32.0,,39303295,1500020654.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_EstimateLibraryComplexity/2.7.1.0,2.7.1.0,,2017-07-14 08:24:35.233197,108941.0,15.0
