chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.d,parameters.dbkey,parameters.dz,parameters.five,parameters.genome.values,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.report.__current_case__,parameters.report.max,parameters.report.report_select,parameters.report.scale,parameters.report.zero_regions,parameters.split,parameters.strand,parameters.three,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-02-21 03:02:43.751533,slurm_normal,1487646261.0,0,1.0,12058080,bed,main_w3_handler0,2488628,15091920,False,,129974900,bed,9246934.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","""false""","[{'src': 'hda', 'id': 27915083}]",,"[{'src': 'hda', 'id': 21791158}]",,0,,bg,1.0,false,"""false""","""""","""false""",32.0,,36073278.0,1487646166.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.24.0,2.24.0,,2017-02-21 03:04:23.981130,23165.0,95.0
,,2017-02-21 03:11:28.637419,slurm_normal,1487647603.0,0,1.0,2725537811,tabular,main_w4_handler0,3001407,15091960,False,,4967885060,bam,9247001.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""false""","""mm10""","""false""","""false""","[{'src': 'hda', 'id': 28438197}]",,"[{'src': 'hda', 'id': 28421131}]",,0,,bg,1.0,false,"""false""","""""","""false""",32.0,,36153178.0,1487647171.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.24.0,2.24.0,,2017-02-21 03:26:45.366246,100453.0,432.0
,,2017-02-22 19:59:30.109873,slurm_normal,1487793647.0,0,1.0,30191881,bed,main_w4_handler1,2978161,15111456,False,,66754459,bam,9266164.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","""false""","[{'src': 'hda', 'id': 28468374}]",,"[{'src': 'hda', 'id': 28272398}]",,0,,bg,1.0,false,"""false""","""""","""false""",32.0,,35747855.0,1487793573.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.24.0,2.24.0,,2017-02-22 20:00:50.392385,99272.0,74.0
,,2017-04-04 19:36:13.363262,slurm_normal,1491335004.0,0,1.0,158314123,gtf,main_w3_handler0,2418892,15487586,False,,2141250096,bam,9615001.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","""false""","[{'src': 'hda', 'id': 22027681}]",,"[{'src': 'hda', 'id': 29069633}]",,0,,bg,1.0,false,"""true""","""""","""false""",32.0,,37108262.0,1491334644.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.24.0,2.24.0,,2017-04-04 19:44:32.869201,68237.0,360.0
,,2017-02-22 22:47:34.095414,slurm_normal,1487804156.0,0,1.0,1243223,tabular,main_w3_handler0,2953533,15113086,False,,1806703406,bam,9267705.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/bosTau8.len""","""false""","""bosTau8""","""false""","""false""","[{'src': 'hda', 'id': 28433272}]",,"[{'src': 'hda', 'id': 28021142}]",,0,,bg,1.0,false,"""true""","""""","""false""",32.0,,36233390.0,1487803658.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.24.0,2.24.0,,2017-02-22 22:56:01.865309,93568.0,498.0
,,2017-02-22 23:31:16.749863,slurm_normal,1487806646.0,0,1.0,32381258,gtf,main_w4_handler0,2953533,15113322,False,,1806703406,bam,9267926.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/bosTau8.len""","""false""","""bosTau8""","""false""","""false""","[{'src': 'hda', 'id': 28432569}]",,"[{'src': 'hda', 'id': 28021142}]",,0,,bg,1.0,false,"""true""","""""","""false""",32.0,,36233390.0,1487806279.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.24.0,2.24.0,,2017-02-22 23:37:29.390076,93568.0,367.0
,,2017-02-23 19:43:27.816349,slurm_normal,1487879320.0,0,1.0,343854,gtf,main_w4_handler1,3004379,15122316,False,,154097463,bam,9276253.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""false""","""mm10""","""false""","""false""","[{'src': 'hda', 'id': 28448154}]",,"[{'src': 'hda', 'id': 28448148}]",,0,,bg,1.0,false,"""true""","""-strand +""","""false""",32.0,,36230985.0,1487879014.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.24.0,2.24.0,,2017-02-23 19:48:44.882426,87789.0,306.0
,,2017-04-04 08:41:29.450310,slurm_normal,1491295397.0,0,1.0,85583535,gtf,main_w4_handler0,3053517,15480167,False,,619892763,bam,9608804.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""false""","""mm10""","""false""","""false""","[{'src': 'hda', 'id': 29057435}]",,"[{'src': 'hda', 'id': 29002082}]",,0,,bg,1.0,false,"""false""","""""","""false""",32.0,,37092007.0,1491295293.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.24.0,2.24.0,,2017-04-04 08:43:19.579926,103308.0,104.0
,,2017-02-25 14:21:43.879000,slurm_normal,1488032684.0,0,1.0,2812,tabular,main_w4_handler1,2986846,15142669,False,,4502562683,bam,9295572.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""false""","""mm10""","""false""","""false""","[{'src': 'hda', 'id': 28515556}]",,"[{'src': 'hda', 'id': 28515517}]",,0,,bg,1.0,false,"""false""","""""","""false""",32.0,,36219150.0,1488032506.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.24.0,2.24.0,,2017-02-25 14:24:45.959482,99686.0,178.0
,,2017-02-25 15:26:34.333754,slurm_normal,1488036600.0,0,1.0,2812,tabular,main_w3_handler1,2986846,15142810,False,,449914366,bam,9295702.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""false""","""mm10""","""false""","""false""","[{'src': 'hda', 'id': 28515556}]",,"[{'src': 'hda', 'id': 28516183}]",,0,,bg,1.0,false,"""false""","""""","""false""",32.0,,36219150.0,1488036397.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.24.0,2.24.0,,2017-02-25 15:30:02.585854,99686.0,203.0
