create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.accnos,parameters.chromInfo,parameters.cutoff,parameters.dbkey,parameters.fasta.values,parameters.search.__current_case__,parameters.search.input.values,parameters.search.type,parameters.split.__current_case__,parameters.split.dosplit,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-10-18 11:12:35.981623,slurm_normal,1508332292.0,0,10596930,fasta,,1.0,main_w3_handler1,3290725,17130059,False,,837779,mothur.count_table,11187815,slurm,,132112168.0,corral-repl,,"""334a5806b3f511e79332005056ba2773""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""?""","[{'src': 'hda', 'id': 31735953}]",2,"[{'src': 'hda', 'id': 31735954}]",count,1,no,32.0,,,1508332287.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_split_abund/mothur_split_abund/1.36.1.0,1.36.1.0,,2017-10-18 13:11:52.826044,72172,5.0
2017-10-18 11:14:31.420526,slurm_normal,1508333378.0,0,8777704,fasta,,1.0,main_w4_handler1,3290723,17130089,False,,743458,mothur.count_table,11188125,slurm,,132112168.0,corral-repl,,"""5c55f430b3f511e7b7db005056ba2773""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""?""","[{'src': 'hda', 'id': 31736001}]",2,"[{'src': 'hda', 'id': 31736002}]",count,1,no,32.0,,,1508333356.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_split_abund/mothur_split_abund/1.36.1.0,1.36.1.0,,2017-10-18 13:29:46.722443,72172,22.0
2017-10-19 11:04:18.088120,slurm_normal,1508414754.0,0,15393874,fasta,,1.0,main_w4_handler0,3292287,17143899,False,,1230631,mothur.count_table,11201997,slurm,,132112168.0,corral-repl,,"""14431d08b4bd11e79a30005056ba2773""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""?""","[{'src': 'hda', 'id': 31756295}]",2,"[{'src': 'hda', 'id': 31756296}]",count,1,no,32.0,,,1508414748.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_split_abund/mothur_split_abund/1.36.1.0,1.36.1.0,,2017-10-19 12:05:58.392346,72172,6.0
2017-10-19 11:05:42.530716,slurm_normal,1508417085.0,0,22775180,fasta,,1.0,main_w3_handler1,3292286,17143933,False,,1851788,mothur.count_table,11202234,slurm,,132112168.0,corral-repl,,"""534dfe1eb4bd11e797a3005056ba2773""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""?""","[{'src': 'hda', 'id': 31756382}]",2,"[{'src': 'hda', 'id': 31756383}]",count,1,no,32.0,,,1508417079.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_split_abund/mothur_split_abund/1.36.1.0,1.36.1.0,,2017-10-19 12:44:48.298302,72172,6.0
2017-10-19 11:06:37.359793,slurm_normal,1508418084.0,0,12886840,fasta,,1.0,main_w4_handler1,3292285,17143951,False,,1116545,mothur.count_table,11202385,slurm,,132112168.0,corral-repl,,"""861ea12cb4bd11e79578005056ba2773""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""?""","[{'src': 'hda', 'id': 31756432}]",2,"[{'src': 'hda', 'id': 31756433}]",count,1,no,32.0,,,1508418078.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_split_abund/mothur_split_abund/1.36.1.0,1.36.1.0,,2017-10-19 13:01:40.386295,72172,6.0
2017-10-19 11:08:24.212481,slurm_normal,1508418230.0,0,10438399,fasta,,1.0,main_w3_handler1,3292283,17143968,False,,825334,mothur.count_table,11202412,slurm,,132112168.0,corral-repl,,"""b02d85beb4bd11e79578005056ba2773""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""?""","[{'src': 'hda', 'id': 31756478}]",2,"[{'src': 'hda', 'id': 31756479}]",count,1,no,32.0,,,1508418224.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_split_abund/mothur_split_abund/1.36.1.0,1.36.1.0,,2017-10-19 13:03:54.090699,72172,6.0
2017-10-19 11:10:08.496229,slurm_normal,1508420343.0,0,2264333,fasta,,1.0,main_w4_handler0,3292281,17144017,False,,246820,mothur.count_table,11202784,slurm,,132112168.0,corral-repl,,"""04b60eb2b4be11e797a3005056ba2773""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""?""","[{'src': 'hda', 'id': 31756574}]",2,"[{'src': 'hda', 'id': 31756575}]",count,1,no,32.0,,,1508420339.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_split_abund/mothur_split_abund/1.36.1.0,1.36.1.0,,2017-10-19 13:39:17.061153,72172,4.0
2017-10-19 11:09:20.044270,slurm_normal,1508419932.0,0,15013947,fasta,,1.0,main_w3_handler0,3292282,17144002,False,,1244067,mothur.count_table,11202709,slurm,,132112168.0,corral-repl,,"""d5c2582cb4bd11e79d1a005056ba2773""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""?""","[{'src': 'hda', 'id': 31756537}]",2,"[{'src': 'hda', 'id': 31756538}]",count,1,no,32.0,,,1508419927.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_split_abund/mothur_split_abund/1.36.1.0,1.36.1.0,,2017-10-19 13:32:24.595080,72172,5.0
2017-10-19 11:14:40.295637,slurm_normal,1508421360.0,0,5620463,fasta,,1.0,main_w3_handler1,3292278,17144072,False,,486001,mothur.count_table,11202992,slurm,,132112168.0,corral-repl,,"""98c4c4c2b4be11e78282005056ba2773""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""?""","[{'src': 'hda', 'id': 31756715}]",2,"[{'src': 'hda', 'id': 31756716}]",count,1,no,32.0,,,1508421355.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_split_abund/mothur_split_abund/1.36.1.0,1.36.1.0,,2017-10-19 13:56:04.772977,72172,5.0
2017-10-19 11:12:55.398711,slurm_normal,1508421376.0,0,10474532,fasta,,1.0,main_w3_handler0,3292277,17144053,False,,934016,mothur.count_table,11202994,slurm,,132112168.0,corral-repl,,"""65f903f0b4be11e7a902005056ba2773""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""?""","[{'src': 'hda', 'id': 31756667}]",2,"[{'src': 'hda', 'id': 31756668}]",count,1,no,32.0,,,1508421367.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_split_abund/mothur_split_abund/1.36.1.0,1.36.1.0,,2017-10-19 13:56:28.476866,72172,9.0
2017-10-19 11:11:19.869957,slurm_normal,1508423463.0,0,13612852,fasta,,1.0,main_w4_handler0,3292280,17144034,False,,1141539,mothur.count_table,11203318,slurm,,132112168.0,corral-repl,,"""354207deb4be11e7b49b005056ba2773""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""?""","[{'src': 'hda', 'id': 31756622}]",2,"[{'src': 'hda', 'id': 31756623}]",count,1,no,32.0,,,1508423458.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_split_abund/mothur_split_abund/1.36.1.0,1.36.1.0,,2017-10-19 14:31:27.326569,72172,5.0
2017-10-23 06:25:11.914508,slurm_normal,1508743261.0,0,8992019,fasta,,1.0,main_w3_handler1,3295918,17172160,False,,847835,mothur.count_table,11232517,slurm,,132112168.0,corral-repl,,"""e848990cb7ba11e78824005056ba2773""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""?""","[{'src': 'hda', 'id': 31808339}]",2,"[{'src': 'hda', 'id': 31808340}]",count,1,no,32.0,,,1508743256.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_split_abund/mothur_split_abund/1.36.1.0,1.36.1.0,,2017-10-23 07:21:07.739423,72172,5.0
2017-10-23 06:28:18.913394,slurm_normal,1508743478.0,0,12394870,fasta,,1.0,main_w3_handler0,3295920,17172184,False,,1045557,mothur.count_table,11232558,slurm,,132112168.0,corral-repl,,"""55dd8752b7bb11e7b2d7005056ba2773""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""?""","[{'src': 'hda', 'id': 31808407}]",2,"[{'src': 'hda', 'id': 31808408}]",count,1,no,32.0,,,1508743473.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_split_abund/mothur_split_abund/1.36.1.0,1.36.1.0,,2017-10-23 07:24:43.101419,72172,5.0
2017-10-23 06:34:08.733737,slurm_normal,1508743598.0,0,10939487,fasta,,1.0,main_w3_handler0,3295925,17172244,False,,947806,mothur.count_table,11232565,slurm,,132112168.0,corral-repl,,"""22584ef2b7bc11e78d9e005056ba2773""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""?""","[{'src': 'hda', 'id': 31808544}]",2,"[{'src': 'hda', 'id': 31808545}]",count,1,no,32.0,,,1508743593.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_split_abund/mothur_split_abund/1.36.1.0,1.36.1.0,,2017-10-23 07:26:40.339923,72172,5.0
2017-10-23 06:30:37.947196,slurm_normal,1508745329.0,0,17862523,fasta,,1.0,main_w4_handler1,3295922,17172214,False,,1492141,mothur.count_table,11232794,slurm,,132112168.0,corral-repl,,"""a9f0c052b7bb11e7b2d7005056ba2773""","""false""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""?""","[{'src': 'hda', 'id': 31808476}]",2,"[{'src': 'hda', 'id': 31808477}]",count,1,no,32.0,,,1508745323.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_split_abund/mothur_split_abund/1.36.1.0,1.36.1.0,,2017-10-23 07:55:33.171944,72172,6.0
