chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.action.__current_case__,parameters.action.action_select,parameters.action.number,parameters.action.step_size,parameters.action.step_size.__current_case__,parameters.action.step_size.step_size,parameters.action.step_size.step_size_select,parameters.action.windowsize,parameters.chromInfo,parameters.dbkey,parameters.sourcename,parameters.type.__current_case__,parameters.type.genome.values,parameters.type.input.values,parameters.type.type_select,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-09-09 09:34:10.386100,slurm_normal,1473413754.0,0,1.0,,,main_w3_handler0,2815173,13814340,False,,4143.0,bed,8035694.roundup,slurm,,132112168.0,corral-repl,,,1,number,10,100,,,,,"""/galaxy-repl/localdata/chrom/hg19Patch5.len""","""hg19Patch5""","""-i srcwinnum""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5966d55b3598c600d'}]",bed,32.0,,31340198.0,1473413750.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_makewindowsbed/2.24.0,2.24.0,,2016-09-09 09:35:56.222165,10211.0,4.0
,,2016-09-09 09:33:52.445831,slurm_normal,1473413760.0,0,1.0,,,main_w4_handler1,2815173,13814339,False,,9787314.0,bed,8035695.roundup,slurm,,132112168.0,corral-repl,,,1,number,10,100,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""-i srcwinnum""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a09e0b8eb76f89ec'}]",bed,32.0,,31340198.0,1473413753.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_makewindowsbed/2.24.0,2.24.0,,2016-09-09 09:36:02.339559,10211.0,7.0
,,2016-09-09 09:53:12.937368,slurm_normal,1473414816.0,0,1.0,,,main_w4_handler0,2815173,13814415,False,,5896.0,bed,8035787.roundup,slurm,,132112168.0,corral-repl,,,1,number,10,100,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-i srcwinnum""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b550be7e4bee769e3c'}]",bed,32.0,,31340198.0,1473414812.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_makewindowsbed/2.24.0,2.24.0,,2016-09-09 09:53:38.578245,10211.0,4.0
,,2016-06-27 08:28:12.979852,slurm_normal,1467016161.0,0,1.0,331043321.0,tabular,main_w2_handler0,2652603,13265325,False,,,,7453581.roundup,slurm,,132112168.0,corral-repl,,,0,windowsize,,,1.0,,no,1000,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""-i winnum""",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5825906ce161a6775'}]",,genome,32.0,,30574998.0,1467016157.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_makewindowsbed/2.24.0,2.24.0,,2016-06-27 08:29:23.238906,64006.0,4.0
,,2016-09-14 04:44:30.531011,slurm_normal,1473828299.0,0,1.0,,,main_w3_handler1,2819126,13846633,False,,48840.0,bed,8069638.roundup,slurm,,132112168.0,corral-repl,,,0,windowsize,,,1.0,,no,10000,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","""""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f38a9e3299bbe832'}]",bed,32.0,,31721770.0,1473828285.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_makewindowsbed/2.24.0,2.24.0,,2016-09-14 04:45:02.658506,65191.0,14.0
,,2016-07-05 18:00:53.537528,slurm_normal,1467741691.0,0,1.0,5928.0,tabular,main_w2_handler1,2755291,13336865,False,,,,7544932.roundup,slurm,,132112168.0,corral-repl,,,0,windowsize,,,1.0,,no,1,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-i src""",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d8cecbb2cafbe106'}]",,genome,32.0,,31223552.0,1467741686.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_makewindowsbed/2.24.0,2.24.0,,2016-07-05 18:01:37.771359,86864.0,5.0
,,2016-07-09 16:23:15.076372,slurm_normal,1468081438.0,0,1.0,1405.0,gg,main_w1_handler0,2760965,13367252,False,,,,7577450.roundup,slurm,,132112168.0,corral-repl,,,0,windowsize,,,1.0,,no,10000,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""""",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b507ea4c715370845f'}]",,genome,32.0,,31342144.0,1468081432.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_makewindowsbed/2.24.0,2.24.0,,2016-07-09 16:24:00.531526,,6.0
,,2016-07-20 22:01:51.844899,slurm_normal,1469052170.0,0,1.0,,,main_w1_handler1,2771200,13456366,False,,2351284.0,bed,7670544.roundup,slurm,,132112168.0,corral-repl,,,1,number,1,100,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58b297a1de3ed88f7'}]",bed,32.0,,31486278.0,1469052166.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_makewindowsbed/2.24.0,2.24.0,,2016-07-20 22:02:55.752831,17286.0,4.0
,,2016-09-20 10:58:23.533319,slurm_normal,1474369154.0,0,1.0,,,main_w4_handler1,2683154,13891518,False,,158584244.0,bed,8115300.roundup,slurm,,132112168.0,corral-repl,,,0,windowsize,,,0.0,500000,yes,1000000,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""-i winnum""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57b181ddf41041033'}]",bed,32.0,,32952641.0,1474369119.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_makewindowsbed/2.24.0,2.24.0,,2016-09-20 10:59:23.579248,54621.0,35.0
,,2016-09-20 11:03:12.941881,slurm_normal,1474369412.0,0,1.0,,,main_w3_handler0,2683154,13891527,False,,19505786.0,bed,8115310.roundup,slurm,,132112168.0,corral-repl,,,0,windowsize,,,0.0,500000,yes,1000000,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""-i winnum""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dc7aa2529b9150fa'}]",bed,32.0,,32952641.0,1474369405.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_makewindowsbed/2.24.0,2.24.0,,2016-09-20 11:03:35.050184,54621.0,7.0
