bamInput,bamInput_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.advancedOpt.__current_case__,parameters.advancedOpt.binSize,parameters.advancedOpt.distanceBetweenBins,parameters.advancedOpt.showAdvancedOpt,parameters.bamInput,parameters.bamInput.values,parameters.bamInput|__identifier__,parameters.chromInfo,parameters.dbkey,parameters.histogram,parameters.plotTitle,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
5457874500,bam,,,2016-03-19 18:09:59.444334,slurm_normal,1458412530.0,0,1.0,main_w1_handler1,2312125,12194613,False,,6407783.roundup,slurm,,132112168.0,corral-repl,,0,,,no,23927128,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""","""""",32.0,,29077575,1458412386.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-03-19 18:35:33.720225,29072,144.0
8490197409,bam,,,2016-03-19 18:09:56.629522,slurm_normal,1458413074.0,0,1.0,main_w1_handler0,2312125,12194611,False,,6407828.roundup,slurm,,132112168.0,corral-repl,,0,,,no,23906286,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""","""""",32.0,,29077575,1458412922.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-03-19 18:49:07.519971,29072,152.0
6143912933,bam,,,2016-03-19 18:10:01.576269,slurm_normal,1458424613.0,0,1.0,main_w1_handler2,2312125,12194615,False,,6409050.roundup,slurm,,132112168.0,corral-repl,,0,,,no,23928589,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""","""""",32.0,,29077575,1458424207.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-03-19 21:56:56.002990,29072,406.0
4909054608,bam,,,2016-03-19 18:10:02.338790,slurm_normal,1458424914.0,0,1.0,main_w1_handler0,2312125,12194616,False,,6409083.roundup,slurm,,132112168.0,corral-repl,,0,,,no,23928590,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""","""""",32.0,,29077575,1458424647.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-03-19 22:01:57.474310,29072,267.0
8440571160,bam,,,2016-03-19 18:10:00.410928,slurm_normal,1458425122.0,0,1.0,main_w1_handler1,2312125,12194614,False,,6409111.roundup,slurm,,132112168.0,corral-repl,,0,,,no,23928588,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""","""""",32.0,,29077575,1458424914.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-03-19 22:05:23.638791,29072,208.0
793140652,bam,,,2016-03-23 12:23:52.140844,slurm_normal,1458735896.0,0,1.0,main_w2_handler0,2644031,12234183,False,,6448457.roundup,slurm,,132112168.0,corral-repl,,0,,,no,23989272,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""CA_R1""",32.0,,28974815,1458735886.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-03-23 12:24:58.549164,63092,10.0
4711037014,bam,,,2016-03-22 21:41:53.849966,slurm_normal,1458683214.0,0,1.0,main_w2_handler0,2502268,12230715,False,,6445107.roundup,slurm,,132112168.0,corral-repl,,1,1000,1000000,yes,22981843,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""False""","""""",32.0,,27214380,1458682964.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-03-22 21:46:59.545678,2621,250.0
119809460,bam,,,2016-03-25 05:29:56.384683,slurm_normal,1458883861.0,0,1.0,main_w1_handler2,2642768,12248556,False,,6460822.roundup,slurm,,132112168.0,corral-repl,,0,,,no,23977253,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""False""","""Chinese NA18525""",32.0,,28436996,1458883831.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-03-25 05:31:04.248415,78786,30.0
1703529,bam,,,2016-03-30 14:04:56.851676,slurm_normal,1459346725.0,0,1.0,main_w1_handler1,2651126,12287185,False,,6492820.roundup,slurm,,132112168.0,corral-repl,,0,,,no,24061278,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""""",32.0,,29281887,1459346717.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-03-30 14:05:27.492989,81638,8.0
2188755918,bam,,,2016-04-05 13:12:43.756692,slurm_normal,1459862129.0,0,1.0,main_w1_handler1,2634023,12343096,False,,6548465.roundup,slurm,,132112168.0,corral-repl,,0,,,no,24121602,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""","""""",32.0,,29353376,1459861985.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-04-05 13:15:32.286550,38442,144.0
1751531062,bam,,,2016-04-05 13:58:34.113900,slurm_normal,1459864862.0,0,1.0,main_w1_handler1,2634023,12343625,False,,6549006.roundup,slurm,,132112168.0,corral-repl,,0,,,no,24136896,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""","""""",32.0,,29353376,1459864728.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-04-05 14:01:06.337972,38442,134.0
31380932,bam,,,2016-04-19 20:14:57.505144,slurm_normal,1461097894.0,0,1.0,main_w2_handler0,1104862,12528024,False,,6714026.roundup,slurm,,132112168.0,corral-repl,,0,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c3b200fbf1c9a03e'}]",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""true""","""""",32.0,,29662048,1461097185.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-04-19 20:34:53.670269,25699,709.0
2786174638,bam,,,2016-04-21 14:33:01.215029,slurm_normal,1461249847.0,0,1.0,main_w2_handler0,1104862,12549931,False,,6738457.roundup,slurm,,132112168.0,corral-repl,,0,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ff55c903880c1c96'}]",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""true""","""""",32.0,,29662048,1461249200.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-04-21 14:44:10.032809,25699,647.0
19282579,bam,,,2016-04-25 13:02:16.539833,slurm_normal,1461591361.0,0,1.0,main_w1_handler1,2592686,12606036,False,,6805252.roundup,slurm,,132112168.0,corral-repl,,0,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cbd9ffc3eecf0da8'}]",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","""""",32.0,,29289433,1461589379.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-04-25 13:36:04.729580,77405,1982.0
19282579,bam,,,2016-04-25 13:54:58.086278,slurm_normal,1461595777.0,0,1.0,main_w1_handler0,2592686,12606349,False,,6806147.roundup,slurm,,132112168.0,corral-repl,,0,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cbd9ffc3eecf0da8'}]",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""true""","""""",32.0,,29289433,1461592510.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/2.2.2.0,2.2.2.0,,2016-04-25 14:49:39.495956,77405,3267.0
