create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.frame,parameters.input1,parameters.input1.values,parameters.word,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2014-09-23 01:49:43.636711,roundup_single,1411437000.0,0.0,,1.0,main_w1_handler1,2057978,7833726,False,,80766725,fasta,1818089,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","""0""",16983093,,"""9""",32.0,,17070578.0,1411436989.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: compseq14/5.0.0,5.0.0,,2014-09-23 01:50:01.873529,,11.0
2014-09-23 01:44:20.573274,roundup_single,1411436683.0,0.0,,1.0,main_w1_handler1,2057978,7833707,False,,106734914,fasta,1818070,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","""0""",16983045,,"""9""",32.0,,17070578.0,1411436669.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: compseq14/5.0.0,5.0.0,,2014-09-23 01:44:44.839558,,14.0
2014-09-23 01:36:40.892736,roundup_single,1411436229.0,0.0,,1.0,main_w1_handler1,2057978,7833679,False,,140801830,fasta,1818040,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""","""0""",16982996,,"""9""",32.0,,17070578.0,1411436213.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: compseq14/5.0.0,5.0.0,,2014-09-23 01:37:12.003518,,16.0
2015-01-05 17:58:59.956929,rodeo_normal,1420480767.0,0.0,,1.0,main_w1_handler1,2005597,8500216,False,,730557,fasta,2417221.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",18132075,,"""2""",32.0,,20340449.0,1420480764.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: compseq14/5.0.0,5.0.0,,2015-01-05 17:59:28.787273,47121.0,3.0
2017-02-19 21:23:10.348645,slurm_normal,1487539404.0,0.0,,1.0,main_w3_handler1,2979425,15080852,False,,110839800,fasta,9236198.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0""",,"[{'src': 'hda', 'id': 28419797}]","""1""",32.0,,35696643.0,1487539393.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: compseq14/5.0.0,5.0.0,,2017-02-19 21:23:27.109733,52630.0,11.0
2017-02-19 21:23:11.346025,slurm_normal,1487539404.0,0.0,,1.0,main_w3_handler0,2979425,15080854,False,,6584125,fasta,9236200.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0""",,"[{'src': 'hda', 'id': 28419799}]","""1""",32.0,,35696643.0,1487539397.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: compseq14/5.0.0,5.0.0,,2017-02-19 21:23:26.715398,52630.0,7.0
2017-02-19 21:23:13.169046,slurm_normal,1487539417.0,0.0,,1.0,main_w4_handler0,2979425,15080858,False,,90090645,fasta,9236204.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0""",,"[{'src': 'hda', 'id': 28419803}]","""1""",32.0,,35696643.0,1487539406.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: compseq14/5.0.0,5.0.0,,2017-02-19 21:23:40.135660,52630.0,11.0
2017-02-19 21:23:13.639986,slurm_normal,1487539424.0,0.0,,1.0,main_w4_handler0,2979425,15080859,False,,86698178,fasta,9236206.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0""",,"[{'src': 'hda', 'id': 28419804}]","""1""",32.0,,35696643.0,1487539410.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: compseq14/5.0.0,5.0.0,,2017-02-19 21:23:47.387657,52630.0,14.0
2017-02-19 21:23:12.755412,slurm_normal,1487539445.0,0.0,,1.0,main_w4_handler1,2979425,15080857,False,,820653335,fasta,9236202.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0""",,"[{'src': 'hda', 'id': 28419802}]","""1""",32.0,,35696643.0,1487539399.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: compseq14/5.0.0,5.0.0,,2017-02-19 21:24:07.984412,52630.0,46.0
2017-02-19 21:23:10.873604,slurm_normal,1487539401.0,0.0,,1.0,main_w3_handler0,2979425,15080853,False,,68473997,fasta,9236199.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0""",,"[{'src': 'hda', 'id': 28419798}]","""1""",32.0,,35696643.0,1487539393.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: compseq14/5.0.0,5.0.0,,2017-02-19 21:23:24.107136,52630.0,8.0
