create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1.values,parameters.input2.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-14 20:38:18.036676,slurm_normal,1476477704.0,0,,1.0,main_w4_handler0,2855231,14085274,False,,686651168,pileup,435192,vcf,8302084.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mycoTube_H37RV.len""","""mycoTube_H37RV""","[{'src': 'hda', 'id': 'bbd44e69cb8906b56528a83bef63d1ef'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a57984bffe0c3d52'}]",32.0,,33691972.0,1476477558.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfaddinfo/vcfaddinfo/1.0.0_rc1.0,1.0.0_rc1.0,,2016-10-14 20:41:48.520102,92191.0,146.0
2016-10-21 02:35:22.013487,slurm_normal,1477017443.0,0,,1.0,main_w4_handler0,2196193,14136251,False,,48356454,vcf,392148741,vcf,8350284.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","[{'src': 'hda', 'id': 'bbd44e69cb8906b566a4ef4070ee25ec'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b54823a7f22e63772b'}]",32.0,,33835616.0,1477017334.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfaddinfo/vcfaddinfo/1.0.0_rc1.0,1.0.0_rc1.0,,2016-10-21 02:37:28.206175,37892.0,109.0
2017-01-12 19:25:12.226787,slurm_normal,1484249128.0,0,,1.0,main_w3_handler0,2897421,14752289,False,,131502,vcf,102508,vcf,8916946.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27895765}]","[{'src': 'hda', 'id': 27895546}]",32.0,,35353307.0,1484249121.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfaddinfo/vcfaddinfo/1.0.0_rc1.0,1.0.0_rc1.0,,2017-01-12 19:25:31.701148,91209.0,7.0
2016-11-09 01:24:56.071681,slurm_normal,1478657514.0,0,,1.0,main_w4_handler0,2196193,14291161,False,,118334751,vcf,27334391284,vcf,8499566.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5987e5cacdeca8909'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b54b460d44f3b45912'}]",32.0,,34131620.0,1478654707.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfaddinfo/vcfaddinfo/1.0.0_rc1.0,1.0.0_rc1.0,,2016-11-09 02:11:56.230511,37892.0,2807.0
2016-11-09 10:53:23.930366,slurm_normal,1478693244.0,0,,1.0,main_w3_handler0,2196193,14294041,False,,394347838,vcf,27334391284,vcf,8502250.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f84969a43d1912f1'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b54b460d44f3b45912'}]",32.0,,34159151.0,1478688819.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfaddinfo/vcfaddinfo/1.0.0_rc1.0,1.0.0_rc1.0,,2016-11-09 12:07:26.536046,37892.0,4425.0
2016-12-21 05:59:39.859065,slurm_normal,1482299995.0,0,,1.0,main_w3_handler0,2932413,14620975,False,,45757,vcf,7594,vcf,8797498.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27702637}]","[{'src': 'hda', 'id': 27702788}]",32.0,,34640886.0,1482299990.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfaddinfo/vcfaddinfo/1.0.0_rc1.0,1.0.0_rc1.0,,2016-12-21 05:59:57.983552,95361.0,5.0
2016-12-21 05:59:40.359717,slurm_normal,1482299994.0,0,,1.0,main_w3_handler0,2932413,14620976,False,,45757,vcf,8579,vcf,8797497.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27702637}]","[{'src': 'hda', 'id': 27702791}]",32.0,,34640886.0,1482299990.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfaddinfo/vcfaddinfo/1.0.0_rc1.0,1.0.0_rc1.0,,2016-12-21 05:59:57.675650,95361.0,4.0
2016-12-21 05:42:21.311184,slurm_normal,1482298955.0,0,,1.0,main_w4_handler1,2932413,14620898,False,,53661,vcf,45757,vcf,8797418.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27702177}]","[{'src': 'hda', 'id': 27702637}]",32.0,,34640886.0,1482298951.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfaddinfo/vcfaddinfo/1.0.0_rc1.0,1.0.0_rc1.0,,2016-12-21 05:42:36.616268,95361.0,4.0
2016-12-21 05:42:22.214881,slurm_normal,1482298953.0,0,,1.0,main_w3_handler0,2932413,14620900,False,,53661,vcf,7594,vcf,8797417.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27702177}]","[{'src': 'hda', 'id': 27702788}]",32.0,,34640886.0,1482298948.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfaddinfo/vcfaddinfo/1.0.0_rc1.0,1.0.0_rc1.0,,2016-12-21 05:42:33.995896,95361.0,5.0
2016-12-21 05:42:21.772392,slurm_normal,1482298953.0,0,,1.0,main_w3_handler1,2932413,14620899,False,,53661,vcf,7594,vcf,8797416.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27702177}]","[{'src': 'hda', 'id': 27702782}]",32.0,,34640886.0,1482298948.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfaddinfo/vcfaddinfo/1.0.0_rc1.0,1.0.0_rc1.0,,2016-12-21 05:42:34.533048,95361.0,5.0
2016-12-21 05:42:22.715288,slurm_normal,1482298955.0,0,,1.0,main_w4_handler0,2932413,14620901,False,,53661,vcf,8579,vcf,8797419.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27702177}]","[{'src': 'hda', 'id': 27702791}]",32.0,,34640886.0,1482298951.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfaddinfo/vcfaddinfo/1.0.0_rc1.0,1.0.0_rc1.0,,2016-12-21 05:42:36.918566,95361.0,4.0
2016-12-21 06:01:15.867895,slurm_normal,1482300090.0,0,,1.0,main_w3_handler0,2932413,14620983,False,,45757,vcf,7594,vcf,8797515.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27702637}]","[{'src': 'hda', 'id': 27702782}]",32.0,,34640886.0,1482300083.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfaddinfo/vcfaddinfo/1.0.0_rc1.0,1.0.0_rc1.0,,2016-12-21 06:01:30.917783,95361.0,7.0
2016-12-21 06:02:04.997690,slurm_normal,1482300136.0,0,,1.0,main_w4_handler0,2932413,14620986,False,,45757,vcf,7594,vcf,8797517.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27703135}]","[{'src': 'hda', 'id': 27702788}]",32.0,,34640886.0,1482300132.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfaddinfo/vcfaddinfo/1.0.0_rc1.0,1.0.0_rc1.0,,2016-12-21 06:02:18.219475,95361.0,4.0
