create_time,destination_id,end_epoch,exit_code,galaxy_slots,genomic_feature,genomic_feature_filetype,genomic_interval,genomic_interval_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.genomic_feature,parameters.genomic_feature.values,parameters.genomic_interval,parameters.genomic_interval.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-05-06 12:41:44.654412,slurm_normal,1430918290.0,0,1.0,339818234,interval,5402,interval,main_w1_handler0,2289737,9409140,False,,3740125.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",19605029,,19549752,,32.0,,22813367,1430918113.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-05-06 13:18:11.986814,52862.0,177.0
2015-05-07 01:07:57.016855,slurm_normal,1430964574.0,0,1.0,339818234,interval,165699,bed,main_w2_handler0,2289737,9416518,False,,3746522.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",19605029,,19549645,,32.0,,22813367,1430960891.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-05-07 02:09:37.156257,52862.0,3683.0
2015-05-07 13:18:31.249575,slurm_normal,1431006481.0,0,1.0,389751554,interval,120576,interval,main_w1_handler0,2289737,9421679,False,,3751054.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",19546011,,19626564,,32.0,,22813367,1431004727.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-05-07 13:48:26.682206,52862.0,1754.0
2015-05-06 20:46:38.075239,slurm_normal,1430945320.0,0,1.0,92567,bed,102468,bed,main_w2_handler1,2277194,9415295,False,,3745175.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19592423,,19614008,,32.0,,22641180,1430945316.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-05-06 20:48:44.489799,62650.0,4.0
2015-05-02 08:02:04.290074,slurm_normal,1430554335.0,0,1.0,332157284,interval,23736,bed,main_w2_handler0,2289737,9378766,False,,3714234.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",19541958,,19541861,,32.0,,22813367,1430553822.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-05-02 08:12:17.802699,52862.0,513.0
2015-05-02 15:25:04.456701,slurm_normal,1430580817.0,0,1.0,332157284,interval,22388,bed,main_w2_handler1,2289737,9379919,False,,3715052.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",19541958,,19543765,,32.0,,22813367,1430580329.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-05-02 15:33:40.645998,52862.0,488.0
2015-05-02 15:25:02.541870,slurm_normal,1430594365.0,0,1.0,332157284,interval,721196,bed,main_w2_handler1,2289737,9379917,False,,3715051.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",19541958,,19543748,,32.0,,22813367,1430580325.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-05-02 19:19:28.213343,52862.0,14040.0
2015-05-02 15:25:03.522939,slurm_normal,1430580736.0,0,1.0,332157284,interval,18419,bed,main_w2_handler0,2289737,9379918,False,,3715050.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",19541958,,19543763,,32.0,,22813367,1430580320.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-05-02 15:32:18.709989,52862.0,416.0
2015-05-03 01:19:37.605639,slurm_normal,1430630808.0,0,1.0,389751554,interval,721196,bed,main_w1_handler1,2289737,9381257,False,,3716217.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",19546011,,19543748,,32.0,,22813367,1430616157.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-05-03 05:26:50.426969,52862.0,14651.0
2015-05-03 01:19:42.216168,slurm_normal,1430616655.0,0,1.0,389751554,interval,22388,bed,main_w1_handler0,2289737,9381259,False,,3716219.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",19546011,,19543765,,32.0,,22813367,1430616162.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-05-03 01:31:00.860861,52862.0,493.0
2015-05-03 01:19:40.074604,slurm_normal,1430616582.0,0,1.0,389751554,interval,18419,bed,main_w1_handler1,2289737,9381258,False,,3716218.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",19546011,,19543763,,32.0,,22813367,1430616157.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-05-03 01:29:45.762919,52862.0,425.0
2015-05-03 16:08:48.856468,slurm_normal,1430669935.0,0,1.0,334185324,interval,22388,bed,main_w1_handler1,2289737,9383086,False,,3717522.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",19548897,,19543765,,32.0,,22813367,1430669447.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-05-03 16:18:58.344619,52862.0,488.0
2015-05-03 20:00:00.488681,slurm_normal,1430683383.0,0,1.0,334185324,interval,4142,interval,main_w2_handler1,2289737,9383517,False,,3717825.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",19548897,,19549751,,32.0,,22813367,1430683225.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-05-03 20:03:07.876094,52862.0,158.0
2015-05-03 16:08:47.740065,slurm_normal,1430669848.0,0,1.0,334185324,interval,18419,bed,main_w2_handler0,2289737,9383084,False,,3717521.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",19548897,,19543763,,32.0,,22813367,1430669440.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-05-03 16:17:30.388184,52862.0,408.0
2015-05-03 20:00:03.677892,slurm_normal,1430683414.0,0,1.0,334185324,interval,5402,interval,main_w2_handler1,2289737,9383518,False,,3717826.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",19548897,,19549752,,32.0,,22813367,1430683237.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-05-03 20:03:37.012526,52862.0,177.0
2015-05-03 16:08:46.173969,slurm_normal,1430683502.0,0,1.0,334185324,interval,721196,bed,main_w2_handler0,2289737,9383083,False,,3717520.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",19548897,,19543748,,32.0,,22813367,1430669440.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-05-03 20:05:04.919139,52862.0,14062.0
2015-05-03 19:59:58.035368,slurm_normal,1430687010.0,0,1.0,334185324,interval,165699,bed,main_w1_handler0,2289737,9383516,False,,3717824.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",19548897,,19549645,,32.0,,22813367,1430683221.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-05-03 21:03:34.310502,52862.0,3789.0
2015-05-04 03:27:51.069468,slurm_normal,1430710109.0,0,1.0,161578220,bed,721196,bed,main_w2_handler0,2289737,9385451,False,,3719195.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",19552712,,19543748,,32.0,,22813367,1430710090.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-05-04 03:28:31.086657,52862.0,19.0
