create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,otu,otu_filetype,param_filename,parameters.chromInfo,parameters.dbkey,parameters.groups,parameters.label,parameters.metric,parameters.otu.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-03-06 05:04:00.264561,slurm_normal,1520312653.0,0,7680.0,1.0,main_w4_handler0,3452305,18618539,False,,12714774,slurm,,132112168.0,corral-repl,5070,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,"""true""","[{'src': 'hda', 'id': 34215530}]",32.0,,43969542,1520312649.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pca/mothur_pca/1.36.1.0,1.36.1.0,,2018-03-06 05:04:22.204204,121697,4.0
2017-11-30 04:36:36.950442,slurm_normal,1512016714.0,0,,1.0,main_w4_handler1,3307905,17645329,False,,11704507,slurm,,132112168.0,corral-repl,72350,mothur.shared,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[""1-C1_S7_L001_001"", ""1-C2_S8_L001_001"", ""1-W2_S5_L001_001"", ""1-W3_S6_L001_001"", ""2-W1_S10_L001_001"", ""2-W3_S11_L001_001"", ""3-C1_S14_L001_001"", ""3-C2_S15_L001_001"", ""3-W1_S12_L001_001"", ""3-W3_S13_L001_001"", ""TH-C1_S3_L001_001"", ""TH-C3_S4_L001_001"", ""TH-W2_S1_L001_001"", ""TH-W3_S2_L001_001""]","[""0.03""]","""true""","[{'src': 'hda', 'id': 32180683}]",32.0,,42030428,1512016606.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_pca/mothur_pca/1.36.1.0,1.36.1.0,,2017-11-30 04:38:37.140761,36706,108.0
