create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1_chromCol,parameters.input1_column_types,parameters.input1_columns,parameters.input1_dbkey,parameters.input1_endCol,parameters.input1_nameCol,parameters.input1_startCol,parameters.input1_strandCol,parameters.input2_dbkey,parameters.input2_species,parameters.maf_source_type.__current_case__,parameters.maf_source_type.input2,parameters.maf_source_type.input2.values,parameters.maf_source_type.mafType,parameters.maf_source_type.mafType.__class__,parameters.maf_source_type.mafType.value,parameters.maf_source_type.maf_source,parameters.summary,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-04-06 19:22:29.966700,slurm_normal,1491552341.0,0.0,,1.0,main_w4_handler1,3028781,15511167,False,,12146528,bed,,,9641768.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29105365}]",,,,,,,,,,,1,,,46_WAY_MULTIZ_hg19,,,cached,"""false""",32.0,,37137074.0,1491540354.0,ok,1023996.0,maf_stats1,1.0.1,,2017-04-07 08:06:44.698775,101721.0,11987.0
2014-10-31 09:15:46.876507,rodeo_normal,1414746978.0,0.0,,1.0,main_w1_handler1,2074255,8077055,False,,24,interval,,,103834.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/criGri1.len""","""criGri1""",17387416,,,,,,,,,,,,1,,,100_WAY_MULTIZ_v2_hg19,,,cached,"""true""",2.0,,17374197.0,1414746962.0,ok,0.0,maf_stats1,1.0.1,,2014-10-31 09:16:22.062217,,16.0
2014-10-31 09:14:17.593208,rodeo_normal,1414746889.0,0.0,,1.0,main_w2_handler0,2074255,8077049,False,,24,interval,,,103828.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/criGri1.len""","""criGri1""",17387416,,,,,,,,,,,,1,,,100_WAY_MULTIZ_v2_hg19,,,cached,"""false""",2.0,,17374197.0,1414746867.0,ok,0.0,maf_stats1,1.0.1,,2014-10-31 09:14:53.251240,,22.0
2015-02-09 03:53:18.918543,rodeo_normal,1423454177.0,0.0,,1.0,main_w2_handler1,1558333,8684911,False,,45160,bed,,,2683774.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18447319,,,,,,,,,,,,1,,,46_WAY_MULTIZ_hg19,,,cached,"""true""",32.0,,20364098.0,1423454023.0,ok,1023996.0,maf_stats1,1.0.1,,2015-02-09 03:56:17.657805,37905.0,154.0
2017-04-03 12:59:23.516385,slurm_normal,1491224403.0,0.0,,1.0,main_w3_handler0,3056986,15471234,False,,72,interval,,,9600550.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29044102}]",,,,,,,,,,,1,,,100_WAY_MULTIZ_v2_hg19,,,cached,"""false""",32.0,,37069521.0,1491224377.0,ok,1023996.0,maf_stats1,1.0.1,,2017-04-03 13:00:07.236468,,26.0
2015-01-08 23:30:15.513456,rodeo_normal,1420760272.0,0.0,,1.0,main_w1_handler1,2156582,8518619,False,,8795416,bed,433080407.0,maf,722970.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18049645,,,,,,,,,,,,0,18163009.0,,,,,user,"""false""",2.0,,17980116.0,1420759833.0,ok,0.0,maf_stats1,1.0.1,,2015-01-08 23:37:55.200837,54213.0,439.0
2017-04-06 19:21:44.980210,slurm_normal,1491552164.0,0.0,,1.0,main_w4_handler0,3028781,15511160,False,,11725112,bed,,,9641770.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29105362}]",,,,,,,,,,,1,,,46_WAY_MULTIZ_hg19,,,cached,"""false""",32.0,,37137074.0,1491540354.0,ok,1023996.0,maf_stats1,1.0.1,,2017-04-07 08:03:05.309527,101721.0,11810.0
2014-11-03 22:15:16.512341,rodeo_normal,1415053016.0,0.0,,1.0,main_w1_handler1,2106114,8093905,False,,6432,bed,,,117973.rodeo,slurm,,8059880.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17415694,,,,,,,,,,,,1,,,46_WAY_MULTIZ_hg19,,,cached,"""false""",1.0,,18153917.0,1415052958.0,ok,835576.0,maf_stats1,1.0.1,,2014-11-03 22:16:58.744796,55290.0,58.0
2014-11-03 22:20:45.245385,rodeo_normal,1415053314.0,0.0,,1.0,main_w2_handler0,2106114,8094050,False,,6432,bed,,,118007.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17415694,,,,,,,,,,,,1,,,46_WAY_MULTIZ_hg19,,,cached,"""true""",2.0,,18153917.0,1415053263.0,ok,0.0,maf_stats1,1.0.1,,2014-11-03 22:21:57.380802,55290.0,51.0
2014-11-30 15:41:15.087626,rodeo_normal,1417362297.0,0.0,,1.0,main_w2_handler1,2090457,8272167,False,,98472,interval,,,2141314.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17272256,,,,,,,,,,,,1,,,100_WAY_MULTIZ_v2_hg19,,,cached,"""false""",32.0,,19824129.0,1417362085.0,ok,1023992.0,maf_stats1,1.0.1,,2014-11-30 15:44:59.073797,10438.0,212.0
