create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.adv.minMapq,parameters.adv.region,parameters.chromInfo,parameters.dbkey,parameters.input.__current_case__,parameters.input.accession,parameters.input.input_select,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-02-22 11:55:47.756590,slurm_normal,1487764617.0,0,1.0,main_w3_handler0,3005321,15105959,False,,9260988.roundup,slurm,,132112168.0,corral-repl,,,chr11:113845797-113861035,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,SRR1596696,accession_number,32.0,,36214266,1487764554.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sra_pileup/2.8.0,2.8.0,,2017-02-22 11:56:59.051431,99759.0,63.0
2017-01-16 00:21:23.722425,slurm_normal,1484528295.0,0,1.0,main_w4_handler0,2957032,14773863,False,,8936537.roundup,slurm,,132111800.0,corral-repl,,9,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,SRR2003277,accession_number,32.0,,35388964,1484526109.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sra_pileup/2.8.0,2.8.0,,2017-01-16 00:58:18.040670,53764.0,2186.0
2016-12-22 14:40:09.374847,reserved,1482420514.0,0,1.0,main_w3_handler0,2815707,14632343,False,,8808189.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,SRR925743,accession_number,32.0,,34652796,1482417642.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sra_pileup/2.8.0,2.8.0,,2016-12-22 15:28:36.075336,5254.0,2872.0
2017-03-28 15:23:45.058243,slurm_normal,1490720019.0,0,1.0,main_w4_handler1,3043374,15415394,False,,9546181.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,ERR274482,accession_number,32.0,,35494274,1490716996.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sra_pileup/2.8.0,2.8.0,,2017-03-28 17:33:09.547427,98454.0,3023.0
2017-02-08 02:34:13.595704,slurm_normal,1486521407.0,0,1.0,main_w3_handler1,2986002,14978491,False,,9135902.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,ERR1102988,accession_number,32.0,,35486516,1486521257.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sra_pileup/2.8.0,2.8.0,,2017-02-08 02:36:49.610407,17435.0,150.0
2017-02-11 08:59:52.078010,slurm_normal,1486806168.0,0,1.0,main_w3_handler1,2991210,15010499,False,,9166750.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,SRR925743,accession_number,32.0,,35962413,1486803594.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sra_pileup/2.8.0,2.8.0,,2017-02-11 09:42:49.679577,,2574.0
2017-02-27 05:55:21.774307,slurm_normal,1488174993.0,0,1.0,main_w3_handler1,3006925,15150960,False,,9303044.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,SRR2967854,accession_number,32.0,,36299079,1488174924.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sra_pileup/2.8.0,2.8.0,,2017-02-27 05:56:33.952944,100744.0,69.0
2017-03-18 14:59:45.721023,slurm_normal,1489849195.0,0,1.0,main_w3_handler1,3035481,15331220,False,,9471643.roundup,slurm,,132112168.0,corral-repl,,,chr11:113974881-113990313,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,SRR925743,accession_number,32.0,,36699226,1489849187.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sra_pileup/2.8.0,2.8.0,,2017-03-18 14:59:57.851442,101765.0,8.0
2017-04-26 07:08:32.015274,slurm_normal,1493198880.0,0,1.0,main_w3_handler1,3084278,15678928,False,,9793745.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,SRR5279996,accession_number,32.0,,37567961,1493190520.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sra_pileup/2.8.0,2.8.0,,2017-04-26 09:28:01.814698,103908.0,8360.0
2017-05-08 19:25:07.869813,slurm_normal,1494272133.0,0,1.0,main_w3_handler0,3098760,15783454,False,,9889758.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,SRR5444306,accession_number,32.0,,37763223,1494271511.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sra_pileup/2.8.0,2.8.0,,2017-05-08 19:35:35.943213,105273.0,622.0
