chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.__workflow_invocation_uuid__,parameters.c.__current_case__,parameters.c.consensus,parameters.c.fraction,parameters.c.hapNum,parameters.c.phredProb,parameters.c.theta,parameters.chromInfo,parameters.dbkey,parameters.indels,parameters.lastCol,parameters.mapCap,parameters.refOrHistory.__current_case__,parameters.refOrHistory.input1,parameters.refOrHistory.input1.values,parameters.refOrHistory.ownFile,parameters.refOrHistory.ownFile.values,parameters.refOrHistory.reference,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-03-06 02:42:27.766630,slurm_normal,1488768398.0,0,,1.0,main_w4_handler0,3019689,15215626,False,,5945240,bam,9364792.roundup,slurm,,132112168.0,corral-repl,,,,,1,yes,0.001,2,40,0.85,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""no""","""no""","""60""",0,,"[{'src': 'hda', 'id': 28630757}]",,,indexed,32.0,,35381827.0,1488768151.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sam_pileup/sam_pileup/1.1.1,1.1.1,,2017-03-06 02:46:39.656589,91657.0,247.0
,,2017-05-26 05:34:40.394004,slurm_normal,1495793136.0,0,,1.0,main_w3_handler1,3126571,15943207,False,,7204284162,bam,10042022.roundup,slurm,,132112168.0,corral-repl,,,,,1,yes,0.001,2,40,0.85,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""no""","""no""","""60""",0,,"[{'src': 'hda', 'id': 29767507}]",,,indexed,32.0,,38208251.0,1495776895.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sam_pileup/sam_pileup/1.1.1,1.1.1,,2017-05-26 10:05:38.028592,106608.0,16241.0
,,2017-08-15 18:23:51.892754,slurm_normal,1502821801.0,0,,1.0,main_w3_handler1,3209644,16588188,False,,687231801,bam,10659497.roundup,slurm,,132112168.0,corral-repl,,,,,0,no,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""no""","""no""","""60""",0,,"[{'src': 'hda', 'id': 30881581}]",,,indexed,32.0,,39882359.0,1502821442.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sam_pileup/sam_pileup/1.1.1,1.1.1,,2017-08-15 18:30:07.035900,24355.0,359.0
,,2017-08-15 18:23:52.290533,slurm_normal,1502822012.0,0,,1.0,main_w3_handler1,3209644,16588189,False,,960243267,bam,10659498.roundup,slurm,,132112168.0,corral-repl,,,,,0,no,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""no""","""no""","""60""",0,,"[{'src': 'hda', 'id': 30881583}]",,,indexed,32.0,,39882359.0,1502821442.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sam_pileup/sam_pileup/1.1.1,1.1.1,,2017-08-15 18:33:38.091282,24355.0,570.0
,,2017-08-31 07:00:49.609862,slurm_normal,1504163065.0,0,,1.0,main_w4_handler0,3238324,16700582,False,,687231801,bam,10773180.roundup,slurm,,132112168.0,corral-repl,,,,,0,no,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""no""","""no""","""60""",0,,"[{'src': 'hda', 'id': 31055336}]",,,indexed,32.0,,40169106.0,1504162860.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sam_pileup/sam_pileup/1.1.1,1.1.1,,2017-08-31 07:04:29.355987,110655.0,205.0
,,2017-08-31 07:00:49.939691,slurm_normal,1504163106.0,0,,1.0,main_w4_handler1,3238324,16700583,False,,960243267,bam,10773181.roundup,slurm,,132112168.0,corral-repl,,,,,0,no,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""no""","""no""","""60""",0,,"[{'src': 'hda', 'id': 31055338}]",,,indexed,32.0,,40169106.0,1504162861.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sam_pileup/sam_pileup/1.1.1,1.1.1,,2017-08-31 07:05:10.751557,110655.0,245.0
,,2017-09-01 04:19:55.269724,slurm_normal,1504240092.0,0,,1.0,main_w3_handler1,3236845,16709100,False,,960243267,bam,10781813.roundup,slurm,,132112168.0,corral-repl,,,,,0,no,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""no""","""no""","""60""",0,,"[{'src': 'hda', 'id': 31061685}]",,,indexed,32.0,,40196579.0,1504239606.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sam_pileup/sam_pileup/1.1.1,1.1.1,,2017-09-01 04:28:14.283646,110652.0,486.0
,,2017-09-01 04:19:55.603777,slurm_normal,1504239875.0,0,,1.0,main_w3_handler1,3236845,16709101,False,,687231801,bam,10781814.roundup,slurm,,132112168.0,corral-repl,,,,,0,no,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""no""","""no""","""60""",0,,"[{'src': 'hda', 'id': 31061687}]",,,indexed,32.0,,40196579.0,1504239608.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sam_pileup/sam_pileup/1.1.1,1.1.1,,2017-09-01 04:24:37.592458,110652.0,267.0
,,2017-09-01 15:00:07.317319,slurm_normal,1504278375.0,0,,1.0,main_w3_handler0,2819332,16711604,False,,960243267,bam,10784089.roundup,slurm,,132112168.0,corral-repl,,,,,0,no,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""no""","""no""","""60""",0,,"[{'src': 'hda', 'id': 31039978}]",,,indexed,32.0,,40205677.0,1504278084.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sam_pileup/sam_pileup/1.1.1,1.1.1,,2017-09-01 15:07:27.876342,51278.0,291.0
,,2017-09-01 15:00:07.107680,slurm_normal,1504278372.0,0,,1.0,main_w4_handler0,2819332,16711603,False,,687231801,bam,10784083.roundup,slurm,,132112168.0,corral-repl,,,,,0,no,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""no""","""no""","""60""",0,,"[{'src': 'hda', 'id': 31039976}]",,,indexed,32.0,,40205677.0,1504278015.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sam_pileup/sam_pileup/1.1.1,1.1.1,,2017-09-01 15:06:15.252102,51278.0,357.0
