create_time,destination_id,end_epoch,exit_code,file,file_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adv.alignments,parameters.adv.clip,parameters.adv.matepairDist,parameters.adv.maxID,parameters.adv.minID,parameters.adv.minlen,parameters.adv.readfilter,parameters.adv.region,parameters.adv.skip_technical,parameters.adv.split,parameters.adv.spotgroups,parameters.chromInfo,parameters.dbkey,parameters.input.__current_case__,parameters.input.accession,parameters.input.file.values,parameters.input.input_select,parameters.outputformat,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-26 10:29:23.912987,slurm_normal,1477478443.0,0,,,1.0,main_w4_handler1,2866621,14178892,False,,8391322.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,ERR324271,,accession_number,"""fastqsanger""",32.0,,33872843.0,1477477823.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-26 10:40:51.819595,92915.0,620.0
2016-10-26 10:28:01.055557,slurm_normal,1477478529.0,0,,,1.0,main_w4_handler0,2866621,14178858,False,,8391320.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,ERR324270,,accession_number,"""fastqsanger""",32.0,,33872843.0,1477477817.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-26 10:42:18.320373,92915.0,712.0
2016-10-26 10:46:52.789674,slurm_normal,1477479378.0,0,,,1.0,main_w4_handler1,2868183,14179023,False,,8391500.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,ERR231623,,accession_number,"""fastqsanger""",32.0,,33893732.0,1477478910.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-26 10:56:28.083300,93005.0,468.0
2016-10-26 10:47:38.237790,slurm_normal,1477479290.0,0,,,1.0,main_w3_handler0,2868183,14179028,False,,8391507.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,ERR136995,,accession_number,"""fastqsanger""",32.0,,33893732.0,1477478928.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-26 10:54:56.238618,93005.0,362.0
2016-10-26 10:46:36.364042,slurm_normal,1477479350.0,0,,,1.0,main_w4_handler0,2868183,14179020,False,,8391503.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,ERR231621,,accession_number,"""fastqsanger""",32.0,,33893732.0,1477478911.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-26 10:55:56.332389,93005.0,439.0
2016-10-26 10:47:21.006171,slurm_normal,1477479371.0,0,,,1.0,main_w4_handler1,2868183,14179026,False,,8391522.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,ERR136994,,accession_number,"""fastqsanger""",32.0,,33893732.0,1477479005.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-26 10:56:23.095634,93005.0,366.0
2016-10-26 11:07:42.551314,slurm_normal,1477480413.0,0,,,1.0,main_w3_handler1,2869503,14179169,False,,8391653.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR400615,,accession_number,"""fastqsanger""",32.0,,33911690.0,1477480190.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-26 11:13:50.380389,,223.0
2016-10-26 10:55:31.967419,slurm_normal,1477481223.0,0,,,1.0,main_w4_handler1,2173708,14179084,False,,8391569.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR647675,,accession_number,"""fastqsanger""",32.0,,33898967.0,1477479399.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-26 11:27:13.856321,58242.0,1824.0
2016-10-26 14:38:58.129456,slurm_normal,1477493138.0,0,,,1.0,main_w4_handler1,2499071,14181080,False,,8393687.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR1021789,,accession_number,"""fastqsanger""",32.0,,33894491.0,1477492787.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-26 14:45:41.210323,42232.0,351.0
2016-10-26 15:06:40.415850,slurm_normal,1477494875.0,0,,,1.0,main_w3_handler0,2499071,14181234,False,,8393893.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR1021796,,accession_number,"""fastqsanger""",32.0,,33894491.0,1477494481.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.7.0.1,2.7.0.1,,2016-10-26 15:14:37.699320,42232.0,394.0
