chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
20.0,len,2017-07-24 09:47:52.291016,slurm_normal,1500889703.0,0.0,,1.0,main_w3_handler0,3172046,16403531,False,,20,len,10467628.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/020/704/dataset_20704532.dat""","""?""",,"[{'src': 'hda', 'id': 30586143}]",32.0,,39306791,1500889700.0,ok,1023996.0,CONVERTER_len_to_linecount,1.0.0,,2017-07-24 09:48:27.318130,99983,3.0
32.0,len,2017-07-24 18:34:43.320932,slurm_normal,1500921312.0,0.0,,1.0,main_w4_handler0,3201312,16407200,False,,32,len,10472009.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/020/709/dataset_20709646.dat""","""?""",,"[{'src': 'hda', 'id': 30594407}]",32.0,,39478344,1500921309.0,ok,1023996.0,CONVERTER_len_to_linecount,1.0.0,,2017-07-24 18:35:17.007162,109326,3.0
32.0,len,2017-07-24 18:54:55.821240,slurm_normal,1500922522.0,0.0,,1.0,main_w3_handler0,3201319,16407354,False,,32,len,10472188.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/020/709/dataset_20709847.dat""","""?""",,"[{'src': 'hda', 'id': 30594614}]",32.0,,39478407,1500922517.0,ok,1023996.0,CONVERTER_len_to_linecount,1.0.0,,2017-07-24 18:55:26.094434,109330,5.0
32.0,len,2017-07-24 18:34:54.776671,slurm_normal,1500921320.0,0.0,,1.0,main_w4_handler0,3201316,16407204,False,,32,len,10472011.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/020/709/dataset_20709649.dat""","""?""",,"[{'src': 'hda', 'id': 30594410}]",32.0,,39478362,1500921317.0,ok,1023996.0,CONVERTER_len_to_linecount,1.0.0,,2017-07-24 18:35:25.865207,109328,3.0
19.0,len,2017-07-24 17:56:47.323774,slurm_normal,1500919031.0,0.0,,1.0,main_w4_handler1,3201314,16406912,False,,19,len,10471751.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/020/709/dataset_20709280.dat""","""?""",,"[{'src': 'hda', 'id': 30593953}]",32.0,,39478352,1500919028.0,ok,1023996.0,CONVERTER_len_to_linecount,1.0.0,,2017-07-24 17:57:16.792931,109327,3.0
32.0,len,2017-07-24 18:34:54.821817,slurm_normal,1500921321.0,0.0,,1.0,main_w4_handler1,2705307,16407205,False,,32,len,10472012.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/020/709/dataset_20709650.dat""","""?""",,"[{'src': 'hda', 'id': 30594411}]",32.0,,39478366,1500921318.0,ok,1023996.0,CONVERTER_len_to_linecount,1.0.0,,2017-07-24 18:35:22.703035,84346,3.0
32.0,len,2017-07-24 18:34:41.541721,slurm_normal,1500921306.0,0.0,,1.0,main_w3_handler0,2569343,16407197,False,,32,len,10472006.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/020/709/dataset_20709643.dat""","""?""",,"[{'src': 'hda', 'id': 30594404}]",32.0,,39478365,1500921303.0,ok,1023996.0,CONVERTER_len_to_linecount,1.0.0,,2017-07-24 18:35:08.047384,76986,3.0
32.0,len,2017-07-24 18:52:25.134960,slurm_normal,1500922377.0,0.0,,1.0,main_w4_handler1,3201318,16407329,False,,32,len,10472149.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/020/709/dataset_20709819.dat""","""?""",,"[{'src': 'hda', 'id': 30594586}]",32.0,,39478371,1500922374.0,ok,1023996.0,CONVERTER_len_to_linecount,1.0.0,,2017-07-24 18:53:04.368819,109329,3.0
19.0,len,2017-07-24 19:01:41.566158,slurm_normal,1500922927.0,0.0,,1.0,main_w3_handler0,3201320,16407408,False,,19,len,10472243.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/020/709/dataset_20709909.dat""","""?""",,"[{'src': 'hda', 'id': 30594676}]",32.0,,39478447,1500922923.0,ok,1023996.0,CONVERTER_len_to_linecount,1.0.0,,2017-07-24 19:02:12.377458,109331,4.0
1497.0,len,2017-07-24 20:49:05.887837,slurm_normal,1500929369.0,0.0,,1.0,main_w4_handler0,3191518,16408042,False,,1497,len,10472978.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/020/710/dataset_20710869.dat""","""?""",,"[{'src': 'hda', 'id': 30595755}]",32.0,,39329963,1500929366.0,ok,1023996.0,CONVERTER_len_to_linecount,1.0.0,,2017-07-24 20:49:32.872470,96266,3.0
