create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.iters,parameters.matrixmodel,parameters.metric,parameters.shared.values,processor_count,runner_name,session_id,shared,shared_filetype,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-03-19 00:33:24.451746,slurm_normal,1489883755.0,0,1.0,main_w4_handler1,3036841,15333675,False,,9473904.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1000""","""sim2""","""cscore""","[{'src': 'hda', 'id': 28821750}]",32.0,,36700917,1214349752,fastq,1489883750.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_cooccurrence/1.26.0,1.26.0,,2017-03-19 00:38:06.832634,102319.0,5.0
2017-04-05 14:42:39.549279,slurm_normal,1491405336.0,0,1.0,main_w3_handler0,3059467,15495231,False,,9623062.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1000""","""sim2""","""cscore""","[{'src': 'hda', 'id': 29084004}]",32.0,,37108093,318673,mothur.shared,1491404421.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_cooccurrence/1.26.0,1.26.0,,2017-04-05 15:16:25.724121,,915.0
