chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input2,parameters.input3,parameters.input4,parameters.input5,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-17 19:36:09.702742,rodeo_normal,1426621020.0,1,1.0,main_w1_handler0,2236500,8970937,False,,90397318,tabular,3208573.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18889035,"""2""","""3""","""1.0""","""0""",32.0,,21852019,1426621013.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/poisson2test/poisson2test/1.0.0,1.0.0,,2015-03-17 19:37:04.134029,36551.0,7.0
,,2015-03-17 19:36:11.413098,rodeo_normal,1426621042.0,1,1.0,main_w1_handler0,2236500,8970939,False,,89510817,tabular,3208577.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18889037,"""2""","""3""","""1.0""","""0""",32.0,,21852019,1426621034.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/poisson2test/poisson2test/1.0.0,1.0.0,,2015-03-17 19:37:25.527051,36551.0,8.0
,,2015-03-24 20:33:09.211264,rodeo_normal,1427229227.0,1,1.0,main_w1_handler0,2009179,9027895,False,,178129,tabular,3312831.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18980168,"""2""","""3""","""1.0""","""0""",32.0,,21992543,1427229223.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/poisson2test/poisson2test/1.0.0,1.0.0,,2015-03-24 20:33:49.468201,22491.0,4.0
128420.0,len,2015-05-06 05:01:35.512906,slurm_normal,1430888523.0,1,1.0,main_w1_handler1,2175431,9406134,False,,1948670,tabular,3736905.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/010/735/dataset_10735158.dat""","""?""",19566206,"""2""","""3""","""1.0""","""1""",32.0,,22104255,1430888515.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/poisson2test/poisson2test/1.0.0,1.0.0,,2015-05-06 05:02:05.461556,30030.0,8.0
,,2015-07-27 14:28:33.858744,slurm_normal,1438007346.0,1,1.0,main_w2_handler1,2390998,10007074,False,,26554,bed,4289223.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20567700,"""2""","""3""","""1.0""","""0""",32.0,,24318501,1438007340.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/poisson2test/poisson2test/1.0.0,1.0.0,,2015-07-27 14:29:08.166501,66005.0,6.0
,,2015-04-16 23:19:00.812275,slurm_normal,1429226369.0,0,1.0,main_w1_handler0,2272911,9250724,False,,420558,tabular,12109.rodeo,slurm,,16332488.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19322707,"""3""","""6""","""1.0""","""0""",2.0,,22055857,1429226362.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/poisson2test/poisson2test/1.0.0,1.0.0,,2015-04-16 23:19:38.021957,61536.0,7.0
,,2015-04-16 23:19:01.292240,slurm_normal,1429226368.0,0,1.0,main_w1_handler0,2272909,9250726,False,,299346,tabular,3535108.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19322689,"""3""","""6""","""1.0""","""0""",32.0,,22541745,1429226364.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/poisson2test/poisson2test/1.0.0,1.0.0,,2015-04-16 23:19:33.347833,61533.0,4.0
,,2015-04-16 23:18:53.392728,slurm_normal,1429226368.0,0,1.0,main_w2_handler1,2272903,9250720,False,,510412,tabular,12104.rodeo,slurm,,16332488.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19322687,"""3""","""6""","""1.0""","""0""",2.0,,22055829,1429226360.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/poisson2test/poisson2test/1.0.0,1.0.0,,2015-04-16 23:19:33.956518,61535.0,8.0
,,2015-04-17 00:09:44.369370,slurm_normal,1429229408.0,0,1.0,main_w2_handler0,2272911,9251015,False,,299346,tabular,12668.rodeo,slurm,,16332488.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19323271,"""3""","""6""","""1.0""","""0""",2.0,,22055857,1429229398.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/poisson2test/poisson2test/1.0.0,1.0.0,,2015-04-17 00:10:13.183958,61536.0,10.0
,,2015-04-15 19:19:15.740253,slurm_normal,1429125579.0,0,1.0,main_w2_handler0,2271430,9240320,False,,283411,tabular,3521050.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19301629,"""2""","""3""","""1.0""","""0""",32.0,,22045657,1429125570.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/poisson2test/poisson2test/1.0.0,1.0.0,,2015-04-15 19:19:42.048756,19436.0,9.0
