chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,headerFile,headerFile_filetype,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.headerFile,parameters.headerFile.values,parameters.inputFile,parameters.inputFile.values,parameters.outputFormat,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-09-19 07:06:56.757763,roundup_single,1411110871.0,0,1.0,main_w1_handler1,9205597783,sam,2039995,7816838,False,,9135019199,sam,1801528,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19LggInv.len""","""hg19LggInv""",16939802,,16945459,,"""False""",32.0,,17070069,1411110604.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReplaceSamHeader/1.56.0,1.56.0,,2014-09-19 07:14:33.109279,50891.0,267.0
,,2014-09-19 15:35:43.544410,roundup_single,1411204587.0,0,1.0,main_w1_handler1,26237039489,sam,1964112,7818608,False,,24604506278,sam,1805198,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Araly1.len""","""Araly1""",16958885,,16953346,,"""False""",32.0,,17070593,1411203880.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReplaceSamHeader/1.56.0,1.56.0,,2014-09-20 09:16:28.560892,50040.0,707.0
,,2014-09-20 08:41:22.914111,roundup_single,1411202757.0,0,1.0,main_w1_handler0,9537323892,sam,2039995,7820471,False,,9443603935,sam,1805175,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19LggInv.len""","""hg19LggInv""",16951800,,16960341,,"""False""",32.0,,17070069,1411202490.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReplaceSamHeader/1.56.0,1.56.0,,2014-09-20 08:45:57.874233,50891.0,267.0
,,2014-09-22 17:03:28.305235,roundup_single,1411405872.0,0,1.0,main_w2_handler0,9227315312,sam,2039995,7827883,False,,9130363605,sam,1812186,slurm,,132112264.0,corral-repl,,"""5e384eaa427a11e4b4e1005056a52a46""","""/galaxy-repl/localdata/chrom/hg19LggInv.len""","""hg19LggInv""",16975695,,16975850,,"""False""",32.0,,16785159,1411405609.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReplaceSamHeader/1.56.0,1.56.0,,2014-09-22 17:11:13.383194,50891.0,263.0
,,2014-09-22 19:58:02.724194,roundup_single,1411416281.0,0,1.0,main_w1_handler1,7195791604,sam,2039995,7830511,False,,7135767159,sam,1815016,slurm,,132112264.0,corral-repl,,"""c176d21c429211e48655005056a52a46""","""/galaxy-repl/localdata/chrom/hg19LggInv.len""","""hg19LggInv""",16978890,,16978981,,"""False""",32.0,,16785159,1411416071.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReplaceSamHeader/1.56.0,1.56.0,,2014-09-22 20:04:44.262900,50891.0,210.0
,,2014-09-23 00:46:45.959607,roundup_single,1411434750.0,0,1.0,main_w2_handler1,26237039489,sam,2059046,7833391,False,,25078987978,sam,1817722,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",16975543,,16982342,,"""True""",32.0,,17073005,1411433214.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReplaceSamHeader/1.56.0,1.56.0,,2014-09-23 01:12:31.699160,50040.0,1536.0
,,2014-09-23 09:12:25.767369,roundup_single,1411463941.0,0,1.0,main_w2_handler1,8299248105,sam,2039995,7835255,False,,8228885368,sam,1819578,slurm,,132112264.0,corral-repl,,"""bb13bdda430111e4a5d7005056a51846""","""/galaxy-repl/localdata/chrom/hg19LggInv.len""","""hg19LggInv""",16985490,,16985592,,"""False""",32.0,,17147488,1411463734.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReplaceSamHeader/1.56.0,1.56.0,,2014-09-23 09:19:03.798552,50891.0,207.0
,,2014-09-23 12:10:29.421061,roundup_single,1411474679.0,0,1.0,main_w1_handler1,8299248105,sam,2062896,7838707,False,,8228885368,sam,1822113,slurm,,132112264.0,corral-repl,,"""9a6a590e431a11e4abc5005056a51846""","""/galaxy-repl/localdata/chrom/hg19LggInv.len""","""hg19LggInv""",16985490,,16989707,,"""False""",32.0,,17147488,1411474454.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReplaceSamHeader/1.56.0,1.56.0,,2014-09-23 12:18:01.815554,50891.0,225.0
,,2014-09-23 12:44:32.726721,roundup_single,1411476723.0,0,1.0,main_w2_handler0,8299248105,sam,2062896,7838923,False,,8228885368,sam,1822511,slurm,,132112264.0,corral-repl,,"""5d106080431f11e49eb8005056a51846""","""/galaxy-repl/localdata/chrom/hg19LggInv.len""","""hg19LggInv""",16989705,,16990045,,"""False""",32.0,,17147488,1411476508.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReplaceSamHeader/1.56.0,1.56.0,,2014-09-23 12:52:04.900373,50891.0,215.0
,,2014-09-23 13:18:22.350971,roundup_single,1411478710.0,0,1.0,main_w1_handler1,7195791604,sam,2062960,7839138,False,,7135767159,sam,1822957,slurm,,132112264.0,corral-repl,,"""15eaa1fc432411e49b0b005056a52a46""","""/galaxy-repl/localdata/chrom/hg19LggInv.len""","""hg19LggInv""",16989825,,16990353,,"""False""",32.0,,17147488,1411478483.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReplaceSamHeader/1.56.0,1.56.0,,2014-09-23 13:25:13.277388,50891.0,227.0
,,2014-09-23 14:35:21.823138,roundup_single,1411483500.0,0,1.0,main_w2_handler1,7195791604,sam,2063064,7840384,False,,7135767159,sam,1823875,slurm,,132112264.0,corral-repl,,"""d79c9f76432e11e4a766005056a52a46""","""/galaxy-repl/localdata/chrom/hg19LggInv.len""","""hg19LggInv""",16990345,,16991960,,"""False""",32.0,,17151452,1411483159.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReplaceSamHeader/1.56.0,1.56.0,,2014-09-23 14:45:01.595906,50891.0,341.0
,,2014-09-23 14:39:49.808112,roundup_single,1411483814.0,0,1.0,main_w1_handler1,8299248105,sam,2062896,7840443,False,,8228885368,sam,1823995,slurm,,132112264.0,corral-repl,,"""77ea60f8432f11e4925b005056a52a46""","""/galaxy-repl/localdata/chrom/hg19LggInv.len""","""hg19LggInv""",16989705,,16992070,,"""False""",32.0,,17151452,1411483533.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReplaceSamHeader/1.56.0,1.56.0,,2014-09-23 14:50:17.148537,50891.0,281.0
,,2014-09-23 14:50:20.981028,roundup_single,1411484727.0,0,1.0,main_w2_handler0,9124254623,sam,2063084,7840572,False,,9046275610,sam,1824144,slurm,,132112264.0,corral-repl,,"""ef639752433011e48b68005056a52a46""","""/galaxy-repl/localdata/chrom/hg19LggInv.len""","""hg19LggInv""",16989826,,16992263,,"""False""",32.0,,17152618,1411484161.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReplaceSamHeader/1.56.0,1.56.0,,2014-09-23 15:05:28.866698,50891.0,566.0
,,2014-09-23 15:29:29.460399,roundup_single,1411487520.0,0,1.0,main_w1_handler0,9124254623,sam,2063084,7841233,False,,9046275610,sam,1824842,slurm,,132112264.0,corral-repl,,"""684941f8433611e4a98b005056a52a46""","""/galaxy-repl/localdata/chrom/hg19LggInv.len""","""hg19LggInv""",16992256,,16993124,,"""False""",32.0,,17152618,1411486931.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReplaceSamHeader/1.56.0,1.56.0,,2014-09-23 15:52:02.815260,50891.0,589.0
,,2014-09-23 15:22:07.729534,roundup_single,1411486220.0,0,1.0,main_w1_handler0,7195791604,sam,2063064,7841126,False,,7135767159,sam,1824628,slurm,,132112264.0,corral-repl,,"""60de298e433511e4ae28005056a52a46""","""/galaxy-repl/localdata/chrom/hg19LggInv.len""","""hg19LggInv""",16991953,,16992948,,"""False""",32.0,,17152618,1411485966.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReplaceSamHeader/1.56.0,1.56.0,,2014-09-23 15:30:23.573990,50891.0,254.0
,,2014-09-23 15:26:36.475814,roundup_single,1411487066.0,0,1.0,main_w2_handler1,8299248105,sam,2062896,7841170,False,,8228885368,sam,1824819,slurm,,132112264.0,corral-repl,,"""0037cf8a433611e48b68005056a52a46""","""/galaxy-repl/localdata/chrom/hg19LggInv.len""","""hg19LggInv""",16989705,,16993018,,"""False""",32.0,,17152618,1411486805.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReplaceSamHeader/1.56.0,1.56.0,,2014-09-23 15:44:28.018342,50891.0,261.0
