chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.coverage,parameters.dbkey,parameters.format_type.__current_case__,parameters.format_type.base_column,parameters.format_type.cvrg_column,parameters.format_type.format,parameters.format_type.loc_column,parameters.format_type.seq_column,parameters.format_type.which_base,parameters.input,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-05-18 05:21:04.590328,slurm_normal,1495084880.0,0,,1.0,main_w3_handler1,3017868,15875979,False,,0,pileup,9975918.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""3""","""hg19""",0,,,six,,,,,"[{'src': 'hda', 'id': 29651016}]",32.0,,37930887.0,1495084876.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-05-18 05:21:21.166852,101289.0,4.0
,,2017-05-18 10:38:42.139567,slurm_normal,1495105512.0,0,,1.0,main_w4_handler0,3017868,15877727,False,,32600263521,pileup,9977531.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""3""","""?""",0,,,six,,,,,"[{'src': 'hda', 'id': 29667708}]",32.0,,37930887.0,1495103939.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-05-18 11:05:14.908155,101289.0,1573.0
,,2017-05-22 20:00:48.748675,slurm_normal,1495484588.0,0,,1.0,main_w3_handler1,3121801,15909515,False,,14298748921,pileup,10007677.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""3""","""hg19""",0,,,six,,,,,"[{'src': 'hda', 'id': 29721205}]",32.0,,37635728.0,1495483261.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-05-22 20:23:11.606480,104814.0,1327.0
,,2017-06-26 06:32:55.574244,slurm_normal,1498459014.0,0,,1.0,main_w4_handler0,2949679,16186144,False,,2242479142,tabular,10261830.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""3""","""?""",0,,,six,,,,,"[{'src': 'hda', 'id': 30157026}]",32.0,,37422711.0,1498458784.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-06-26 06:36:56.153103,97753.0,230.0
,,2017-07-14 17:25:27.337633,slurm_normal,1500053155.0,0,,1.0,main_w4_handler0,3062620,16346936,False,,31124509,tabular,10412516.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""3""","""hg19""",0,,,six,,,,,"[{'src': 'hda', 'id': 30495910}]",32.0,,37409982.0,1500053149.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-07-14 17:25:56.731218,4421.0,6.0
,,2017-07-14 17:25:26.412749,slurm_normal,1500053147.0,0,,1.0,main_w4_handler1,3062620,16346935,False,,56011819,tabular,10412515.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""3""","""hg19""",0,,,six,,,,,"[{'src': 'hda', 'id': 30495909}]",32.0,,37409982.0,1500053139.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-07-14 17:25:48.835665,4421.0,8.0
,,2017-07-25 14:31:35.452408,slurm_normal,1500993117.0,0,,1.0,main_w3_handler0,2978039,16414002,False,,242210169,pileup,10478984.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm6.len""","""3""","""dm6""",1,,,ten,,,first,,"[{'src': 'hda', 'id': 30604252}]",32.0,,39344264.0,1500993103.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-07-25 14:32:01.488481,98932.0,14.0
,,2017-07-26 01:07:14.674786,slurm_normal,1501031243.0,0,,1.0,main_w3_handler0,3196581,16419320,False,,465153,tabular,10484702.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""3""","""?""",1,,,ten,,,first,,"[{'src': 'hda', 'id': 30613728}]",32.0,,39407320.0,1501031240.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-07-26 01:07:27.000504,69325.0,3.0
,,2017-08-09 14:00:37.646643,slurm_normal,1502287256.0,0,,1.0,main_w3_handler1,2594693,16540459,False,,227873419,tabular,10611013.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38Patch2.len""","""30""","""hg38Patch2""",0,,,six,,,,,"[{'src': 'hda', 'id': 30812568}]",32.0,,39209940.0,1502287246.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-08-09 14:01:00.128939,78366.0,10.0
,,2017-11-23 09:54:43.565401,slurm_normal,1511430901.0,0,,1.0,main_w3_handler0,2949679,17559263,False,,1812867,tabular,11620237,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""?""",0,,,six,,,,,"[{'src': 'hda', 'id': 32485433}]",32.0,,42060945.0,1511430893.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-11-23 09:55:06.139765,97753.0,8.0
,,2017-10-04 19:29:52.171014,slurm_normal,1507145415.0,0,,1.0,main_w4_handler0,3262237,17026382,False,,309256067,tabular,11082019.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""3""","""hg19""",0,,,six,,,,,"[{'src': 'hda', 'id': 31561821}]",32.0,,41045180.0,1507145409.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-10-04 19:30:27.850982,37652.0,6.0
,,2017-10-07 00:49:14.668080,slurm_normal,1507337392.0,0,,1.0,main_w3_handler0,3172349,17044156,False,,476365177,tabular,11101624.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""3""","""?""",0,,,six,,,,,"[{'src': 'hda', 'id': 31591351}]",32.0,,41104460.0,1507337370.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-10-07 00:50:24.838505,73841.0,22.0
,,2017-10-05 08:30:17.201715,slurm_normal,1507192231.0,0,,1.0,main_w4_handler1,3276215,17029001,False,,10081575,vcf,11085243.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg_g1k_v37.len""","""3""","""hg_g1k_v37""",1,,,ten,,,second,,"[{'src': 'hda', 'id': 31566442}]",32.0,,40872110.0,1507192226.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-10-05 08:30:39.388622,112286.0,5.0
,,2017-12-21 13:08:46.329912,slurm_normal,1513861751.0,0,,1.0,main_w4_handler1,2668025,17869647,False,,333,tabular,11942007,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""3""","""hg38""",0,,,six,,,,,"[{'src': 'hda', 'id': 33014936}]",32.0,,41187199.0,1513861745.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-12-21 13:09:16.920621,57622.0,6.0
,,2017-12-22 01:35:37.604469,slurm_normal,1513906581.0,0,,1.0,main_w4_handler0,3372086,17875916,False,,202046455,tabular,11949022,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""?""",0,,,six,,,,,"[{'src': 'hda', 'id': 33033026}]",32.0,,42789872.0,1513906553.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-12-22 01:36:33.605161,111505.0,28.0
,,2017-12-22 01:35:25.518601,slurm_normal,1513906631.0,0,,1.0,main_w4_handler1,3372086,17875914,False,,953185669,tabular,11949017,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""?""",0,,,six,,,,,"[{'src': 'hda', 'id': 33033025}]",32.0,,42789872.0,1513906529.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-12-22 01:37:13.224794,111505.0,102.0
,,2017-12-23 21:47:44.970617,slurm_normal,1514065723.0,0,,1.0,main_w3_handler1,3025031,17887546,False,,5338635044,tabular,11960988,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""20""","""?""",0,,,six,,,,,"[{'src': 'hda', 'id': 33069371}]",32.0,,41954592.0,1514065672.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-12-23 21:48:45.729723,75552.0,51.0
,,2017-10-16 18:39:15.627470,slurm_normal,1508179164.0,0,,1.0,main_w3_handler1,3281614,17115511,False,,527,tabular,11172717.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""3""","""hg38""",0,,,six,,,,,"[{'src': 'hda', 'id': 31710442}]",32.0,,41301004.0,1508179160.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-10-16 18:39:26.498829,113252.0,4.0
,,2018-03-04 06:21:14.334840,slurm_normal,1520144484.0,0,7680.0,1.0,main_w3_handler1,3450994,18598012,False,,11147453,pileup,12692588,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""3""","""hg19""",1,,,ten,,,first,,"[{'src': 'hda', 'id': 34195411}]",32.0,,44319117.0,1520144481.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2018-03-04 06:21:25.961727,1495.0,3.0
,,2017-10-20 01:31:33.811481,slurm_normal,1508463113.0,0,,1.0,main_w4_handler0,3291342,17150856,False,,1126801,tabular,11208921,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/021/750/dataset_21750839.dat""","""3""","""hg19.rRNA.CHIKV.DENV_v1""",1,,,ten,,,second,,"[{'src': 'hda', 'id': 31768950}]",32.0,,41249774.0,1508463104.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/pileup_interval/pileup_interval/1.0.2,1.0.2,,2017-10-20 01:31:56.756497,111991.0,9.0
