bamInput,bamInput_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamInput.values,parameters.chromInfo,parameters.dbkey,parameters.effectiveGenomeSize.__current_case__,parameters.effectiveGenomeSize.effectiveGenomeSize,parameters.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.fragmentLength,parameters.image_format,parameters.region,parameters.source.__current_case__,parameters.source.input1.values,parameters.source.input1_2bit,parameters.source.ref_source,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
589609789,bam,,,2016-10-31 05:04:42.125111,slurm_multi,1477891083.0,0,6.0,main_w3_handler2,2116942,14212197,False,,49047.0,twobit,8422995,slurm,,132111800.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b9ef4830b4cb8888'}]","""/galaxy-repl/localdata/chrom/KPCplasmid.len""","""KPCplasmid""",0,190000,specific,"""250""","""png""","""""",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b558d6440a819b3c3b'}]",,history,32.0,,32653184,1477890452.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-10-31 05:18:06.123624,19450,631.0
589609789,bam,31.0,len,2016-10-31 05:54:37.258139,slurm_multi,1477894028.0,0,6.0,main_w3_handler2,2116942,14212537,False,,49047.0,twobit,8423312,slurm,,132111800.0,corral-repl,,1,yes,slurm_multi,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fb599cc6131b674e'}]","""/galaxy-repl/main/files/017/671/dataset_17671837.dat""","""KPCPL""",0,190000,specific,"""200""","""png""","""""",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b558d6440a819b3c3b'}]",,history,32.0,,32653184,1477893423.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-10-31 06:07:10.405834,19450,605.0
589712620,bam,31.0,len,2016-10-31 18:39:30.196369,slurm_multi,1477940205.0,0,6.0,main_w3_handler2,2116942,14219650,False,,49047.0,twobit,8429851,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cf26828b93c4e111'}]","""/galaxy-repl/main/files/017/671/dataset_17671837.dat""","""KPCPL""",0,190000,specific,"""300""","""png""","""""",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b558d6440a819b3c3b'}]",,history,32.0,,32721494,1477939583.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-10-31 18:56:52.337678,19450,622.0
399797899,bam,320.0,len,2017-03-20 19:27:45.915364,slurm_multi,1490045167.0,0,6.0,main_w4_handler2,2910771,15346919,False,,3595453.0,twobit,9486688,slurm,,132112168.0,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 28845471}]","""/galaxy-repl/main/files/019/006/dataset_19006042.dat""","""?""",0,14280191,specific,"""50""","""png""","""""",1,"[{'src': 'hda', 'id': 28806287}]",,history,32.0,,36667515,1490041108.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-03-20 21:26:11.597447,95902,4059.0
589712620,bam,31.0,len,2016-10-31 19:17:48.559905,slurm_multi,1477942318.0,0,6.0,main_w3_handler2,2116942,14219904,False,,49047.0,twobit,8430120,slurm,,132112168.0,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cf26828b93c4e111'}]","""/galaxy-repl/main/files/017/671/dataset_17671837.dat""","""KPCPL""",0,190000,specific,"""300""","""png""","""""",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b558d6440a819b3c3b'}]",,history,32.0,,32721494,1477941747.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-10-31 19:32:01.090601,19450,571.0
471544116,bam,15.0,len,2016-10-31 20:01:24.140230,slurm_multi,1477945493.0,0,6.0,main_w4_handler2,2116942,14220278,False,,1321890.0,twobit,8430426,slurm,,132112168.0,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b500a20e6c052d1b1b'}]","""/galaxy-repl/main/files/017/639/dataset_17639115.dat""","""UCLA9""",0,5000000,specific,"""300""","""png""","""""",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5eb6a837c5547351a'}]",,history,32.0,,32721494,1477944268.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-10-31 20:24:55.555993,19450,1225.0
589712620,bam,31.0,len,2016-10-31 20:05:32.025926,slurm_multi,1477946302.0,0,6.0,main_w4_handler2,2116942,14220297,False,,49047.0,twobit,8430555,slurm,,132112168.0,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cf26828b93c4e111'}]","""/galaxy-repl/main/files/017/671/dataset_17671837.dat""","""KPCPL""",0,190000,specific,"""300""","""png""","""""",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b558d6440a819b3c3b'}]",,history,32.0,,32721494,1477945648.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-10-31 20:38:23.646931,19450,654.0
625202866,bam,,,2016-11-01 02:39:38.008720,slurm_multi,1477978495.0,0,6.0,main_w4_handler2,2876093,14221850,False,,,,8432335,slurm,,132112168.0,corral-repl,,1,yes,slurm_multi,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5375e7d9285838606'}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,2730871774,specific,"""300""","""png""","""""",0,,mm10,cached,32.0,,33019862,1477973427.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-11-01 05:34:57.829725,29303,5068.0
622063598,bam,,,2016-11-01 02:39:37.536363,slurm_multi,1477973245.0,0,6.0,main_w4_handler2,2876093,14221849,False,,,,8432064,slurm,,132112168.0,corral-repl,,1,yes,slurm_multi,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cc198c514bd28132'}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,2730871774,specific,"""300""","""png""","""""",0,,mm10,cached,32.0,,33019862,1477968111.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-11-01 04:07:28.020628,29303,5134.0
468933609,bam,,,2016-11-01 02:39:38.375521,slurm_multi,1477983805.0,0,6.0,main_w3_handler2,2876093,14221851,False,,,,8432562,slurm,,132112168.0,corral-repl,,1,yes,slurm_multi,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e31508d801dc209e'}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,2730871774,specific,"""300""","""png""","""""",0,,mm10,cached,32.0,,33019862,1477978644.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-11-01 07:03:27.436903,29303,5161.0
