chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputs,inputs1,inputs10,inputs10_filetype,inputs11,inputs11_filetype,inputs12,inputs12_filetype,inputs13,inputs13_filetype,inputs14,inputs14_filetype,inputs15,inputs15_filetype,inputs16,inputs16_filetype,inputs17,inputs17_filetype,inputs18,inputs18_filetype,inputs19,inputs19_filetype,inputs1_filetype,inputs2,inputs20,inputs20_filetype,inputs21,inputs21_filetype,inputs22,inputs22_filetype,inputs23,inputs23_filetype,inputs24,inputs24_filetype,inputs25,inputs25_filetype,inputs26,inputs26_filetype,inputs27,inputs27_filetype,inputs28,inputs28_filetype,inputs29,inputs29_filetype,inputs2_filetype,inputs3,inputs30,inputs30_filetype,inputs31,inputs31_filetype,inputs32,inputs32_filetype,inputs33,inputs33_filetype,inputs34,inputs34_filetype,inputs35,inputs35_filetype,inputs36,inputs36_filetype,inputs37,inputs37_filetype,inputs38,inputs38_filetype,inputs39,inputs39_filetype,inputs3_filetype,inputs4,inputs40,inputs40_filetype,inputs41,inputs41_filetype,inputs42,inputs42_filetype,inputs43,inputs43_filetype,inputs44,inputs44_filetype,inputs45,inputs45_filetype,inputs46,inputs46_filetype,inputs47,inputs47_filetype,inputs48,inputs48_filetype,inputs49,inputs49_filetype,inputs4_filetype,inputs5,inputs50,inputs50_filetype,inputs51,inputs51_filetype,inputs52,inputs52_filetype,inputs53,inputs53_filetype,inputs54,inputs54_filetype,inputs55,inputs55_filetype,inputs56,inputs56_filetype,inputs57,inputs57_filetype,inputs58,inputs58_filetype,inputs59,inputs59_filetype,inputs5_filetype,inputs6,inputs60,inputs60_filetype,inputs61,inputs61_filetype,inputs62,inputs62_filetype,inputs63,inputs63_filetype,inputs64,inputs64_filetype,inputs65,inputs65_filetype,inputs66,inputs66_filetype,inputs67,inputs67_filetype,inputs68,inputs68_filetype,inputs69,inputs69_filetype,inputs6_filetype,inputs7,inputs70,inputs70_filetype,inputs71,inputs71_filetype,inputs72,inputs72_filetype,inputs73,inputs73_filetype,inputs74,inputs74_filetype,inputs75,inputs75_filetype,inputs76,inputs76_filetype,inputs77,inputs77_filetype,inputs78,inputs78_filetype,inputs7_filetype,inputs8,inputs8_filetype,inputs9,inputs9_filetype,inputs_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.annotation.__current_case__,parameters.annotation.ignore_nonoverlapping_reference,parameters.annotation.ignore_nonoverlapping_transfrags,parameters.annotation.reference_annotation.values,parameters.annotation.use_ref_annotation,parameters.chromInfo,parameters.dbkey,parameters.discard_intron_redundant_transfrags,parameters.discard_single_exon,parameters.inputs.values,parameters.max_dist_exon,parameters.max_dist_group,parameters.seq_data.__current_case__,parameters.seq_data.seq_source.__current_case__,parameters.seq_data.seq_source.index,parameters.seq_data.seq_source.index_source,parameters.seq_data.seq_source.ref_file.values,parameters.seq_data.use_seq_data,processor_count,reference_annotation,reference_annotation_filetype,runner_name,seq_data|ref_file,seq_data|ref_file_filetype,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-07-15 09:41:38.611569,slurm_normal,1500111757.0,0,,1.0,main_w4_handler1,3192913,16350879,False,,9856387,9856387,,,,,,,,,,,,,,,,,,,,,gtf,11988617.0,,,,,,,,,,,,,,,,,,,,,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtf,10416144.roundup,slurm,,132112168.0,corral-repl,,,0,false,false,"[{'src': 'hda', 'id': 30491883}]",Yes,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","""""","[{'src': 'hda', 'id': 30501524}, {'src': 'hda', 'id': 30501525}]","""100""","""100""",1,1.0,,history,"[{'src': 'hda', 'id': 30491880}]",Yes,32.0,81498659.0,gff3,,380710511.0,fasta,39152818.0,1500111707.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gffcompare/gffcompare/0.9.8,0.9.8,,2017-07-15 09:42:40.411302,89879.0,50.0
,,2017-05-29 17:23:44.265058,slurm_normal,1496078775.0,0,,1.0,main_w3_handler0,3131653,15961792,False,,18295866,18295866,,,,,,,,,,,,,,,,,,,,,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtf,10058717.roundup,slurm,,132112168.0,corral-repl,,,1,,,,No,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""false""","""""","[{'src': 'hda', 'id': 29807776}]","""100""","""100""",1,0.0,mm9,cached,,Yes,32.0,,,,,,38281238.0,1496078635.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gffcompare/gffcompare/0.9.8,0.9.8,,2017-05-29 17:26:17.178174,87897.0,140.0
,,2017-05-29 17:23:23.727706,slurm_normal,1496078739.0,0,,1.0,main_w4_handler1,3131653,15961791,False,,18128986,18128986,,,,,,,,,,,,,,,,,,,,,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtf,10058715.roundup,slurm,,132112168.0,corral-repl,,,1,,,,No,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""false""","""""","[{'src': 'hda', 'id': 29807764}]","""100""","""100""",1,0.0,mm9,cached,,Yes,32.0,,,,,,38281238.0,1496078614.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gffcompare/gffcompare/0.9.8,0.9.8,,2017-05-29 17:25:41.520981,87897.0,125.0
,,2017-05-29 17:24:06.052905,slurm_normal,1496078864.0,0,,1.0,main_w4_handler1,3131653,15961797,False,,17813859,17813859,,,,,,,,,,,,,,,,,,,,,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtf,10058723.roundup,slurm,,132112168.0,corral-repl,,,1,,,,No,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""false""","""""","[{'src': 'hda', 'id': 29807778}]","""100""","""100""",1,0.0,mm9,cached,,Yes,32.0,,,,,,38281238.0,1496078753.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gffcompare/gffcompare/0.9.8,0.9.8,,2017-05-29 17:27:49.077643,87897.0,111.0
,,2017-05-29 23:59:37.845518,slurm_normal,1496102392.0,0,,1.0,main_w4_handler1,2015632,15963712,False,,88962,88962,,,,,,,,,,,,,,,,,,,,,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtf,10060538.roundup,slurm,,132112168.0,corral-repl,,,0,false,false,"[{'src': 'hda', 'id': 29801238}]",Yes,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","""""","[{'src': 'hda', 'id': 29801784}]","""100""","""100""",1,1.0,,history,"[{'src': 'hda', 'id': 29801236}]",Yes,32.0,1653371.0,gff3,,4084064.0,fasta,38032192.0,1496102387.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gffcompare/gffcompare/0.9.8,0.9.8,,2017-05-29 23:59:55.824441,39668.0,5.0
,,2017-04-11 15:16:58.073756,slurm_normal,1491924047.0,0,,1.0,main_w3_handler1,2152636,15555993,False,,139487208,139487208,,,,,,,,,,,,,,,,,,,,,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtf,9679180.roundup,slurm,,132112168.0,corral-repl,,,0,false,false,"[{'src': 'hda', 'id': 29170687}]",Yes,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""false""","""""","[{'src': 'hda', 'id': 29170796}]","""100""","""100""",1,0.0,Homo_sapiens_nuHg19_mtrCRS,cached,,Yes,32.0,128858960.0,gtf,,,,37243467.0,1491923911.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gffcompare/gffcompare/0.9.8,0.9.8,,2017-04-11 15:21:16.048219,57588.0,136.0
,,2017-05-30 13:06:44.065155,slurm_normal,1496149665.0,0,,1.0,main_w3_handler0,3057600,15968070,False,,59136906,59136906,,,,,,,,,,,,,,,,,,,,,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtf,10064833.roundup,slurm,,132112168.0,corral-repl,,,0,false,false,"[{'src': 'hda', 'id': 29265031}]",Yes,"""/galaxy-repl/main/files/019/283/dataset_19283847.dat""","""Sko_v3""","""false""","""""","[{'src': 'hda', 'id': 29810009}]","""100""","""100""",1,1.0,,history,"[{'src': 'hda', 'id': 29265215}]",Yes,32.0,50083548.0,gtf,,636393676.0,fasta,36695187.0,1496149614.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gffcompare/gffcompare/0.9.8,0.9.8,,2017-05-30 13:07:49.159948,22860.0,51.0
,,2017-05-30 14:06:03.478825,slurm_normal,1496153210.0,0,,1.0,main_w4_handler0,3057600,15968736,False,,114250286,114250286,,,,,,,,,,,,,,,,,,,,,gtf,89072614.0,,,,,,,,,,,,,,,,,,,,,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtf,10065475.roundup,slurm,,132112168.0,corral-repl,,,0,false,false,"[{'src': 'hda', 'id': 29265031}]",Yes,"""/galaxy-repl/main/files/019/283/dataset_19283847.dat""","""Sko_v3""","""false""","""""","[{'src': 'hda', 'id': 29807293}, {'src': 'hda', 'id': 29807424}]","""100""","""100""",0,,,,,No,32.0,50083548.0,gtf,,,,36695187.0,1496153175.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gffcompare/gffcompare/0.9.8,0.9.8,,2017-05-30 14:06:52.226288,22860.0,35.0
,,2017-05-08 11:21:04.854760,slurm_normal,1494242484.0,0,,1.0,main_w4_handler1,3090426,15778555,False,,16436625,16436625,,,,,,,,,,,,,,,,,,,,,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtf,9884888.roundup,slurm,,132112168.0,corral-repl,,,0,false,false,"[{'src': 'hda', 'id': 29394506}]",Yes,"""/galaxy-repl/localdata/chrom/droVir3.len""","""droVir3""","""false""","""""","[{'src': 'hda', 'id': 29514600}]","""100""","""100""",0,,,,,No,32.0,59622482.0,gtf,,,,37576491.0,1494242470.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gffcompare/gffcompare/0.9.8,0.9.8,,2017-05-08 11:21:28.785226,104699.0,14.0
,,2017-05-31 15:13:36.005089,slurm_normal,1496243820.0,0,,1.0,main_w3_handler0,3026517,15979650,False,,669577,669577,,,,,,,,,,,,,,,,,,,,,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtf,10075230.roundup,slurm,,132112168.0,corral-repl,,,0,false,false,"[{'src': 'hda', 'id': 29833637}]",Yes,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","""""","[{'src': 'hda', 'id': 29833881}]","""100""","""100""",0,,,,,No,32.0,2267553.0,gff3,,,,36549044.0,1496243814.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gffcompare/gffcompare/0.9.8,0.9.8,,2017-05-31 15:17:03.247139,101832.0,6.0
