create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.averageType,parameters.advancedOpt.colors,parameters.advancedOpt.outFileNameData,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotHeight,parameters.advancedOpt.plotTitle,parameters.advancedOpt.plotType,parameters.advancedOpt.plotWidth,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.clustering.k_kmeans,parameters.advancedOpt.used_multiple_regions.clustering.n_hclust,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.outFileFormat,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,parameters.scaleRegions.__current_case__,parameters.scaleRegions.endLabel,parameters.scaleRegions.showScaleRegionsOpt,parameters.scaleRegions.startLabel,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-06-17 02:17:41.272699,slurm_normal,1466129915.0,0,1.0,main_w2_handler0,2666333,13189590,False,,7374279.roundup,slurm,,7771275,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,mean,,false,false,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b58af71d934b2ac146'}]",1,png,false,yes,1,TES,yes,TSS,32.0,,29491810.0,1466129901.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-06-17 02:18:37.561726,3720,14.0
2016-10-12 04:17:13.212039,slurm_normal,1476245927.0,0,1.0,main_w3_handler1,2694982,14060218,False,,8277129.roundup,slurm,,6982348,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,mean,,false,true,5,,fill,11,,ARF13 ARF16,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/Zea_mays_B73_RefGen_v2.len""","""Zea_mays_B73_RefGen_v2""","[{'src': 'hda', 'id': 'bbd44e69cb8906b592feabfff76b6ee2'}]",0,,,no,0,,no,,32.0,,33486407.0,1476245837.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-10-12 04:18:49.600323,84133,90.0
2016-06-17 01:55:30.429398,slurm_normal,1466128547.0,0,1.0,main_w2_handler1,2666333,13189528,False,,7374196.roundup,slurm,,3013822,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,mean,,false,true,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b55f268a0c44d50f4f'}]",0,,,no,1,TES,yes,TSS,32.0,,30370648.0,1466128538.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-06-17 01:55:52.218680,3720,9.0
2016-06-17 02:20:05.700406,slurm_normal,1466130029.0,0,1.0,main_w1_handler1,2666333,13189612,False,,7374306.roundup,slurm,,7771275,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,mean,,false,true,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b58af71d934b2ac146'}]",0,,,no,1,TES,yes,TSS,32.0,,30370648.0,1466130017.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-06-17 02:20:32.016878,3720,12.0
2016-06-17 03:11:04.596491,slurm_normal,1466133083.0,0,1.0,main_w1_handler1,2666333,13189738,False,,7374472.roundup,slurm,,656587,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,mean,,false,false,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b59cb2837cde4c076e'}]",0,,,no,1,TES,yes,TSS,32.0,,30370648.0,1466133078.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-06-17 03:11:26.237398,3720,5.0
2016-06-17 06:20:48.051465,slurm_normal,1466144496.0,0,1.0,main_w1_handler1,2704732,13190487,False,,7375297.roundup,slurm,,93198172,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,mean,,false,true,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b520abaeb245be0bee'}]",1,png,false,yes,1,TES,yes,TSS,32.0,,30879728.0,1466144464.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-06-17 06:21:38.910301,84384,32.0
2016-09-07 23:36:48.426995,slurm_normal,1473291428.0,0,1.0,main_w4_handler1,2778213,13802421,False,,8022868.roundup,slurm,,72769,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,mean,,false,false,5,Oct4 G1 peaks,fill,11,,,yes,0.0,2.0,none,,,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5bf2b2830c7f28adf'}]",1,png,false,yes,0,,no,,32.0,,31779472.0,1473291420.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-09-07 23:37:10.942090,51642,8.0
2016-09-07 23:46:08.435804,slurm_normal,1473292007.0,0,1.0,main_w4_handler1,2778213,13802439,False,Job output deleted by user before job completed.,8022889.roundup,slurm,,5318455,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,mean,,false,false,5,Oct4 G1 peaks,fill,11,,,yes,0.0,2.0,none,,,no,16.0,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b8c2fcbddf4efb48'}]",1,png,false,yes,0,,no,,32.0,,31779472.0,1473291983.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-09-07 23:46:51.421855,51642,24.0
2016-09-07 23:21:18.743067,slurm_normal,1473290502.0,0,1.0,main_w3_handler1,2778213,13802375,False,,8022727.roundup,slurm,,5776417,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,mean,,false,false,5,Oct4 S peaks,fill,11,,,yes,0.0,2.0,none,,,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b52033bb1e0e762e99'}]",1,png,false,yes,1,TES,yes,TSS,32.0,,31779472.0,1473290490.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-09-07 23:21:49.083714,51642,12.0
2016-09-07 23:30:24.459769,slurm_normal,1473291055.0,0,1.0,main_w3_handler0,2778213,13802397,False,,8022832.roundup,slurm,,5318455,deeptools_compute_matrix_archive,132112168.0,corral-repl,,,1,mean,,false,false,5,Oct4 S peaks,fill,11,,,yes,0.0,2.0,none,,,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b8c2fcbddf4efb48'}]",1,png,false,yes,0,,no,,32.0,,31779472.0,1473291041.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.2.3.0,2.2.3.0,,2016-09-07 23:31:00.177632,51642,14.0
