create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.ignorebz,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.window,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-11-03 21:35:27.325889,slurm_normal,1446586546.0,0,1.0,main_w1_handler2,2494311,10811261,False,,36983,fasta,948,compseq,5066618.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",21862140,,21864863,,"""30""",32.0,,26074369,1446586539.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: oddcomp64/5.0.0,5.0.0,,2015-11-03 21:35:47.101237,,7.0
2015-11-03 21:34:15.805847,slurm_normal,1446586470.0,0,1.0,main_w2_handler1,2494311,10811250,False,,36983,fasta,2818,compseq,5066614.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",21862140,,21864885,,"""30""",32.0,,26074369,1446586466.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: oddcomp64/5.0.0,5.0.0,,2015-11-03 21:34:32.842036,,4.0
2016-09-23 12:59:12.687451,slurm_normal,1474635797.0,0,1.0,main_w3_handler1,2822285,13925165,False,,587,fasta,125,gff,8147474.roundup,slurm,,132112168.0,corral-repl,,"""833cb6c4818d11e692ee005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b574a0126afd3bf93c'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55f9a03167e2b5475'}]","""30""",32.0,,33121667,1474635739.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: oddcomp64/5.0.0,5.0.0,,2016-09-23 13:03:25.254246,90329.0,58.0
